Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Cash & Equivalents,3.62,3.93,4.36,4.57,5.15,5.42,5.56,7.97,6.76,7.48,7.38,7.04,7.41,8.02,8.05,8.03,8.04,11.3,12.15,11.25,11.46,10.89,24.24,32.25,31.21,35.68,35.77,35.22,37.5,38.95,36.56,33.56,33.81,33.5,34.64,36.83,37.35,10.81,-
Cash & Cash Equivalents,3.62,3.93,4.36,4.57,5.15,5.42,5.56,7.97,6.76,7.48,7.38,7.04,7.41,8.02,8.05,8.03,8.04,11.3,12.15,11.25,11.46,10.89,24.24,32.25,31.21,35.68,35.77,35.22,37.5,38.95,36.56,33.56,33.81,33.5,34.64,36.83,37.35,10.81,0
Cash Growth,-29.68%,-27.50%,-21.64%,-42.67%,-23.88%,-27.53%,-24.60%,13.15%,-8.74%,-6.74%,-8.36%,-12.27%,-7.85%,-29.06%,-33.72%,-28.63%,-29.84%,3.78%,-49.89%,-65.14%,-63.27%,-69.49%,-32.23%,-8.42%,-16.78%,-8.39%,-2.15%,4.94%,10.93%,16.29%,5.55%,-8.88%,-9.48%,209.77%,-,-,-,-,-
Receivables,0.21,0.33,0.58,0.63,0.04,0.29,0.72,1.09,0.14,0.47,0.69,0.92,0.23,0.52,0.85,1,0.01,0.02,2.12,2.37,3.61,3.84,7.93,12.17,1.67,4.09,9.47,9.66,1.69,4.14,6.76,11.03,2.02,4.1,6.26,13.48,0.04,0,-
"Property, Plant & Equipment",0.09,0.05,0.07,0.1,0.12,0.14,0.16,0.19,0.21,0.24,0.26,0.28,0.29,0.14,0.15,0.16,0.17,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0,-
Total Assets,16.85,16.62,15.93,17.67,17.15,17.69,16.5,10.26,8.81,9.08,9.11,9.4,9.05,9.5,9.79,9.99,8.56,12.56,19.32,20.33,21.13,21.39,41.22,61.3,47.48,51,58,59.04,52.44,52.69,53.98,56.28,49.48,49.69,50.26,50.82,37.53,11.36,-
Accounts Payable,0.33,0.29,0.29,0.37,0.39,0.34,0.34,0.4,0.21,0.21,0.15,0.16,0.3,0.28,0.23,0.13,0.13,0.14,0.7,0.95,1.21,0.24,0.17,2.88,2.37,1.67,7.03,4.92,12.11,10.09,7.93,5.89,9.26,7.24,5.15,3.1,2.2,1.88,-
Total Liabilities,1.66,1.63,1.65,1.27,0.86,1.04,1.43,1.73,0.74,1.06,1.27,1.54,1.36,1.45,1.82,2.01,0.39,4.25,4.6,6.3,7.4,7.48,27.3,23.67,10.1,13.84,17.53,20.71,14.77,15.66,17.38,19.22,12,12.99,14.59,15.75,3.06,3.91,-
Total Debt,0.26,0.26,0.28,0.31,0.33,0.35,0.37,0.4,0.42,0.44,0.46,0.48,0.88,0.73,0.74,0.75,0.15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Debt Growth,-21.88%,-25.93%,-24.33%,-22.53%,-20.91%,-19.86%,-18.52%,-17.54%,-52.94%,-40.25%,-37.97%,-35.79%,493.29%,-,-63.00%,-62.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,32.54,32.49,32.46,32.44,32.39,32.36,32.34,32.33,32.32,32.3,32.29,32.28,32.28,32.27,32.26,32.25,32.24,32.23,32.2,32.17,32.14,32.11,32.07,32.43,32.73,33.04,33.35,33.66,33.69,33.66,33.63,33.6,33.58,33.55,33.55,33.55,33.5,6.6,-
Retained Earnings,-17.36,-17.5,-18.18,-16.03,-16.1,-15.71,-17.27,-23.8,-24.25,-24.28,-24.46,-24.42,-24.59,-24.23,-24.29,-24.27,-24.07,-23.92,-17.47,-18.12,-18.38,-18.15,-18.13,5.52,5.1,4.53,7.56,5.3,5.15,4.84,5.19,5.18,4.25,3.15,2.18,1.52,0.98,0.85,-
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.02,-0.02,-0.04,-0.03,-0.32,-0.45,-0.41,-0.45,-0.63,-1.19,-1.47,-2.22,-1.72,-0.34,0.02,-0.05,0,0,0,-
Shareholders' Equity,15.19,14.99,14.28,16.41,16.3,16.65,15.07,8.53,8.07,8.03,7.84,7.86,7.69,8.04,7.97,7.98,8.17,8.31,14.72,14.03,13.74,13.92,13.92,37.63,37.38,37.16,40.47,38.33,37.66,37.03,36.6,37.06,37.48,36.71,35.68,35.07,34.48,7.45,-
Total Liabilities and Equity,16.85,16.62,15.93,17.67,17.15,17.69,16.5,10.26,8.81,9.08,9.11,9.4,9.05,9.5,9.79,9.99,8.56,12.56,19.32,20.33,21.13,21.39,41.22,61.3,47.48,51,58,59.04,52.44,52.69,53.98,56.28,49.48,49.69,50.26,50.82,37.53,11.36,-
Net Cash / Debt,3.36,3.67,4.08,4.26,4.82,5.07,5.19,7.57,6.35,7.04,6.92,6.56,6.53,7.28,7.31,7.28,7.89,11.3,10.15,9.25,11.46,10.89,24.24,32.25,31.21,35.68,35.77,35.22,37.5,38.95,36.56,33.56,33.81,33.5,34.64,36.83,37.35,10.81,0
Net Cash / Debt Growth,-30.21%,-27.61%,-21.45%,-43.72%,-24.07%,-28.01%,-25.00%,15.39%,-2.76%,-3.36%,-5.36%,-9.86%,-17.31%,-35.54%,-27.95%,-21.27%,-31.14%,3.78%,-58.14%,-71.34%,-63.27%,-69.49%,-32.23%,-8.42%,-16.78%,-8.39%,-2.15%,4.94%,10.93%,16.29%,5.55%,-8.88%,-9.48%,209.77%,-,-,-,-,-
Net Cash Per Share,0.57,0.64,0.71,0.74,0.84,0.88,0.91,1.32,1.11,1.23,1.21,1.14,1.14,1.27,1.28,1.27,1.38,-,-,-,2.00,-,-,-,5.30,-,-,-,6.19,-,-,-,5.59,6.89,5.77,6.14,26.93,-,-
Book Value Per Share,2.59,2.60,2.47,2.84,2.83,2.90,2.63,1.49,1.41,1.40,1.37,1.37,1.34,1.40,1.39,1.39,1.43,1.45,2.57,2.45,2.40,2.40,2.40,6.45,6.34,6.17,6.70,6.33,6.21,6.11,6.04,6.12,6.20,7.55,5.95,5.84,24.86,1.39,-
