Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Cash & Equivalents,175.56,135.31,199.91,113.83,355.98,415.13,359.27,449.27,390.57,277.44,455.93,368.82,91.45,101.27,154.02,156.09,120.32,105.44,52.59,58.22,51.13,82.8,69.79,48.09,60.04,80.11,73.45,-,-,100.19,-,73.93
Cash & Cash Equivalents,175.56,135.31,199.91,113.83,355.98,415.13,359.27,449.27,390.57,277.44,455.93,368.82,91.45,101.27,154.02,156.09,120.32,105.44,52.59,58.22,51.13,82.8,69.79,48.09,60.04,80.11,73.45,0,0,100.19,0,73.93
Cash Growth,-50.68%,-67.41%,-44.36%,-74.66%,-8.85%,49.63%,-21.20%,21.81%,327.08%,173.96%,196.01%,136.29%,-23.99%,-3.96%,192.88%,168.09%,135.35%,27.35%,-24.65%,21.06%,-14.85%,3.35%,-4.99%,-,-,-20.04%,-,-,-,-,-,-
"Property, Plant & Equipment",24.38,24.86,24.69,24.92,25.46,25.73,25.89,26.17,26.42,26.69,27.73,17.71,18.9,19.18,19.42,19.5,19.63,18.82,9.58,5.83,5.86,5.88,5.98,6.07,5.86,5.35,4.72,-,-,4.9,-,5.66
Goodwill and Intangibles,45.69,46.07,46.47,46.88,47.31,47.76,48.22,48.7,49.19,49.7,50.22,43.63,44.01,44.39,44.79,45.2,45.62,46.05,6.22,6.22,6.23,6.24,6.25,6.26,6.28,6.29,6.3,-,-,6.34,-,6.4
Total Assets,"3,232.75","3,117.17","3,165.71","3,096.54","3,190.75","3,133.05","3,112.13","3,212.39","3,150.46","2,987.01","3,024.35","2,445.17","2,072.59","2,037.2","2,033.91","2,018.42","2,035.81","1,963.88","1,416.91","1,401.18","1,382.75","1,344.43","1,338.56","1,371.63","1,381.7","1,333.68","1,318.06",-,-,"1,206.8",-,"1,128.4"
Total Liabilities,"2,878.84","2,762.99","2,818.34","2,738.8","2,821.83","2,752.95","2,741.8","2,852.64","2,806.51","2,643.52","2,690.45","2,163.22","1,796.8","1,764.16","1,765.83","1,755.76","1,776.06","1,709.5","1,259.4","1,248.04","1,234.05","1,197.48","1,194.36","1,233.6","1,241.49","1,194.47","1,179.63",-,-,"1,098.21",-,"1,025.74"
Total Debt,85.2,44.67,149.63,74.6,29.57,29.53,29.5,29.49,29.46,39.42,39.42,39.46,10,10,10,10,75,125,125,95,100,70,95,105,75,55,30,-,-,48.76,-,34.84
Debt Growth,188.17%,51.25%,407.25%,152.99%,0.38%,-25.09%,-25.16%,-25.28%,194.55%,294.23%,294.18%,294.64%,-86.67%,-92.00%,-92.00%,-89.47%,-25.00%,78.57%,31.58%,-9.52%,33.33%,27.27%,216.67%,-,-,12.81%,-,-,-,-,-,-
Common Stock,255.24,262.58,265.65,265.43,270.41,270.88,270.49,270.11,268.83,268.88,268.8,224.89,224.35,225.45,225.1,226.31,229.32,230.39,134.65,133.37,131.8,130.58,129.84,128.67,128.36,128.23,128.21,-,-,105.47,-,105.01
Retained Earnings,142.52,141.66,133.5,127.63,119.84,110.49,99.34,87.56,76.82,66.88,58.3,51.91,46.65,46.22,41.71,36.17,31.34,27.3,28.74,25.09,22.09,18.89,18.54,14.12,17.46,17.13,14.21,-,-,8.04,-,0.48
Comprehensive Income,-43.85,-50.05,-51.78,-35.33,-21.33,-1.27,0.5,2.08,-1.7,7.73,6.8,5.15,4.79,1.38,1.27,0.19,-0.9,-3.32,-5.88,-5.31,-5.19,-2.53,-4.18,-4.76,-5.61,-6.15,-3.99,-,-,-4.91,-,-2.83
Shareholders' Equity,353.91,354.18,347.37,357.74,368.92,380.09,370.33,359.75,343.94,343.49,333.9,281.95,275.79,273.05,268.08,262.66,259.75,254.38,157.51,153.15,148.69,146.95,144.2,138.03,140.21,139.21,138.43,-,-,108.59,-,102.65
Total Liabilities and Equity,"3,232.75","3,117.17","3,165.71","3,096.54","3,190.75","3,133.05","3,112.13","3,212.39","3,150.46","2,987.01","3,024.35","2,445.17","2,072.59","2,037.2","2,033.91","2,018.42","2,035.81","1,963.88","1,416.91","1,401.18","1,382.75","1,344.43","1,338.56","1,371.63","1,381.7","1,333.68","1,318.06",-,-,"1,206.8",-,"1,128.4"
Net Cash / Debt,90.36,90.64,50.28,39.23,326.42,385.59,329.77,419.78,361.11,238.02,416.51,329.36,81.45,91.27,144.02,146.09,45.32,-19.56,-72.41,-36.78,-48.88,12.8,-25.21,-56.91,-14.96,25.11,43.45,0,0,51.43,0,39.1
Net Cash / Debt Growth,-72.32%,-76.49%,-84.75%,-90.66%,-9.61%,62.00%,-20.83%,27.45%,343.35%,160.79%,189.20%,125.46%,79.72%,-,-,-,-,-,-,-,-,-49.04%,-,-,-,-51.17%,-,-,-,-,-,-
