Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,0.12,0.09,0.27,0.4,0.53,0.8,0.85,0.15,0.22,0.02,-,-,-,0.03
Cash & Cash Equivalents,0.12,0.09,0.27,0.4,0.53,0.8,0.85,0.15,0.22,0.02,0,0,0,0.03
Cash Growth,-76.78%,-89.02%,-68.78%,170.77%,139.84%,3421.59%,-,-,-,-8.84%,-,-,-,-
Other Current Assets,0.14,0.29,0.17,0.21,0.22,0.19,0.36,-,0,0,-,-,-,0
Total Current Assets,0.26,0.37,0.44,0.61,0.76,0.99,1.21,-,0.22,0.02,-,-,-,0.03
Long-Term Investments,24.6,24.68,117.45,116.92,116.77,116.74,116.73,-,0,0,-,-,-,0
Other Long-Term Assets,0,0,0,0.01,0.06,0.1,0,-,0.07,0,-,-,-,0
Total Long-Term Assets,24.6,24.68,117.45,116.94,116.83,116.84,116.73,-,0.07,0,-,-,-,0
Total Assets,24.86,25.05,117.89,117.55,117.59,117.83,117.94,0.31,0.29,0.02,-,-,-,0.03
Accounts Payable,0.95,0.67,0.15,0.11,0.12,0.24,0.08,0,0,0,-,-,-,0
Current Debt,0.2,0,0,0,0,0,0,0.2,0.2,0,-,-,-,0
Other Current Liabilities,0.14,0.4,0.09,0,0,0,0,0.09,0.07,0,-,-,-,0
Total Current Liabilities,1.28,1.06,0.25,0.12,0.12,0.24,0.08,0.29,0.27,0,-,-,-,0
Total Liabilities,1.28,1.06,0.25,0.12,0.12,0.24,0.08,0.29,0.27,0,-,-,-,0
Total Debt,0.2,0,0,0,0,0,0,0.2,0.2,0,-,-,-,0
Common Stock,0.09,0.25,0.92,1.27,1.27,1.27,1.27,0.03,0.03,0.03,-,-,-,0.03
Retained Earnings,-1,-0.58,-0.35,-0.56,-0.53,-0.41,-0.13,-0,-0,-0,-,-,-,-0
Shareholders' Equity,-0.91,-0.33,0.56,0.71,0.74,0.86,1.14,0.02,0.02,0.02,-,-,-,0.02
Total Liabilities and Equity,0.38,0.73,0.81,0.82,0.86,1.11,1.22,0.31,0.29,0.02,-,-,-,0.03
Net Cash / Debt,-0.08,0.09,0.27,0.4,0.53,0.8,0.85,-0.05,0.02,0.02,0,0,0,0.03
Net Cash / Debt Growth,-,-89.02%,-68.78%,-,2296.57%,3421.59%,-,-,-,-8.84%,-,-,-,-
Net Cash Per Share,-0.01,0.01,0.02,0.03,0.04,0.11,0.09,-0.02,0.01,0.01,-,-,-,-
Working Capital,-1.02,-0.69,0.19,0.49,0.64,0.75,1.13,-,-0.05,0.02,-,-,-,0.02
Book Value Per Share,-0.16,-0.02,0.04,0.05,0.05,0.12,0.12,0.01,0.01,0.01,-,-,-,0.01
