Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31
Cash & Equivalents,2.42,3.14,3.28,8.04,4.58,4.61,2.64,4,5.56,6.6,6.6,13.03,9.01,6.63,2.03,6.05,6.41,4.64,2.7,4.06,1.52,6.88,6.85,10.1,32.52,4.38,-,-,-,2.18,1.14
Cash & Cash Equivalents,2.42,3.14,3.28,8.04,4.58,4.61,2.64,4,5.56,6.6,6.6,13.03,9.01,6.63,2.03,6.05,6.41,4.64,2.7,4.06,1.52,6.88,6.85,10.1,32.52,4.38,0,0,0,2.18,1.14
Cash Growth,-47.11%,-31.83%,24.27%,101.13%,-17.57%,-30.19%,-60.00%,-69.31%,-38.30%,-0.42%,224.91%,115.50%,40.52%,42.67%,-24.86%,49.07%,320.72%,-32.45%,-60.57%,-59.86%,-95.32%,57.11%,-,-,-,100.82%,-,-,-,-,-
Receivables,31.78,31.27,30.32,29.76,27.41,27.2,26.16,24.86,22.6,23.51,22.74,25.07,22.22,22.37,23.25,22.4,22.08,21.4,21.9,21.43,19.93,19.01,18.22,17.84,17.5,17.48,-,-,-,15.64,40.38
"Property, Plant & Equipment",3.34,3.31,3.31,3.21,3.19,3.14,3.09,3.08,2.82,2.86,2.85,2.93,3,3.03,3.09,6.88,6.79,3.33,6.92,6.59,6.66,6.63,6.43,6.51,5.94,5.93,-,-,-,4.24,3.61
Total Assets,197.81,192.16,189.43,192.9,198.61,200,195.31,196.11,182.74,183.94,179.98,188.43,164.56,163,161.47,163.26,163.27,150.28,153.25,152.47,149.06,152.34,153.16,149.17,152.46,122.16,-,-,-,123.37,123.43
Accounts Payable,0.28,1.41,1.23,0.81,0.5,1.37,1.18,0.84,0.35,0.37,0.73,1.4,0.35,0.37,0.1,0.43,4.54,0.99,1.24,0.94,0.68,0.33,0.18,0.13,0.15,0.11,-,-,-,0,0
Deferred Revenue,41.1,40.53,40.19,39.51,37.51,36.21,34.92,33.4,30.47,29.79,29.92,30.21,29.82,30.39,31.62,31.31,29.98,29.97,30.38,29.3,27.45,26.56,26.79,25.8,24.56,24.78,-,-,-,23.95,22.5
Total Liabilities,134.21,131.72,132.78,131.39,128.92,125.3,121.94,122.62,110.96,111.2,111.95,121.26,101.79,96.66,98.53,101.05,102.82,91.69,93.97,90.3,86.76,88.23,89.42,85.11,88.82,88.56,-,-,-,93.21,94.39
Total Debt,15,15,15,15,18.45,18.46,18.46,18.46,13.46,13.47,15.1,15.1,9.47,3.48,3.48,3.48,3.48,3.48,3.49,3.49,3.49,4.34,4.45,4.99,5.22,3.79,-,-,-,3.27,2.79
Debt Growth,-18.71%,-18.72%,-18.73%,-18.74%,37.06%,37.06%,22.26%,22.25%,42.12%,287.49%,334.15%,333.69%,171.84%,-0.27%,-0.27%,-0.21%,-0.19%,-19.69%,-21.71%,-30.09%,-33.06%,14.58%,-,-,-,15.68%,-,-,-,-,-
Common Stock,25.68,25.58,25.48,27.55,27.62,27.5,27.39,27.25,27.19,27.08,27,26.98,26.89,26.78,26.7,26.65,26.59,26.49,26.39,29.29,29.18,29.09,28.98,29.25,29.14,0,-,-,-,0,0
Retained Earnings,45.17,43.7,40.62,39.99,44.12,44.28,42.29,41.86,41.3,40.14,35.82,35.42,34.64,36.61,33.03,33.05,32.6,33.68,33.05,33.25,33.46,32.79,32.71,33.06,33.3,32.45,-,-,-,29.64,27.48
Comprehensive Income,-7.25,-8.84,-9.45,-6.04,-2.05,2.92,3.69,4.37,3.29,5.52,5.21,4.77,1.24,2.95,3.21,2.51,1.26,-1.58,-0.16,-0.38,-0.34,2.23,2.05,1.75,1.21,1.15,-,-,-,0.53,1.55
Shareholders' Equity,63.6,60.44,56.65,61.51,69.69,74.7,73.37,73.49,71.78,72.74,68.03,67.17,62.77,66.34,62.94,62.21,60.45,58.59,59.28,62.17,62.31,64.1,63.74,64.06,63.64,33.6,-,-,-,30.17,29.03
Total Liabilities and Equity,197.81,192.16,189.43,192.9,198.61,200,195.31,196.11,182.74,183.94,179.98,188.43,164.56,163,161.47,163.26,163.27,150.28,153.25,152.47,149.06,152.34,153.16,149.17,152.46,122.16,-,-,-,123.37,123.43
Net Cash / Debt,-12.58,-11.86,-11.72,-6.96,-13.87,-13.85,-15.82,-14.46,-7.91,-6.87,-8.5,-2.07,-0.47,3.15,-1.45,2.56,2.92,1.16,-0.78,0.57,-1.97,2.54,2.4,5.11,27.3,0.59,0,0,0,-1.09,-1.64
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,171.64%,-,352.55%,-,-54.28%,-,-88.92%,-,330.13%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-4.25,-3.91,-3.81,-2.26,-4.52,-4.52,-5.13,-4.72,-2.60,-2.26,-2.80,-0.68,-0.15,1.05,-0.48,0.85,0.97,0.39,-0.25,0.18,-0.62,0.80,0.76,1.62,8.67,0.19,-,-,-,-,-
Book Value Per Share,21.61,19.93,18.51,20.04,22.77,24.51,23.91,24.09,23.66,24.02,22.45,22.17,20.81,22.05,20.90,20.68,20.16,19.64,18.91,19.58,19.63,20.24,20.20,20.31,20.20,10.67,-,-,-,8.62,-
