Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Cash & Equivalents,209.19,87.04,75.5,73.52,71.89,143.47,189.5,92.2,200.9,160.68,91.51,178.43,61.53,31.94,89.62,66.39,48.75,28.44,21.54,21.92,20.13,23.73,-,-,-,16.5
Cash & Cash Equivalents,209.19,87.04,75.5,73.52,71.89,143.47,189.5,92.2,200.9,160.68,91.51,178.43,61.53,31.94,89.62,66.39,48.75,28.44,21.54,21.92,20.13,23.73,0,0,0,16.5
Cash Growth,191.00%,-39.33%,-60.16%,-20.26%,-64.22%,-10.71%,107.08%,-48.33%,226.52%,403.13%,2.11%,168.76%,26.21%,12.27%,316.12%,202.91%,142.24%,19.89%,-,-,-,43.80%,-,-,-,-
"Property, Plant & Equipment",47.8,48.45,48.94,49.29,49.04,49.4,49.8,50.18,51.3,50.99,48.89,43.06,35.27,27.63,25.76,18.62,15.7,13.07,11.39,10.46,10.15,10.12,-,-,-,9.57
Goodwill and Intangibles,2.87,2.91,2.96,3.01,3.06,3.11,3.15,3.2,3.25,3.3,3.34,3.39,3.44,3.49,3.54,3.58,3.63,3.68,3.73,3.77,3.82,3.87,-,-,-,4.06
Total Assets,"4,602.9","4,345.66","4,128.99","3,883.26","3,607.92","3,477.66","3,389.13","3,162.61","3,072.36","2,927.35","2,774.56","2,754.46","2,418.73","2,268.83","2,232.34","2,123.63","2,048.11","1,973.74","1,885.79","1,752.92","1,681.6","1,616.61",-,-,-,"1,260.39"
Total Liabilities,"4,200.89","3,951.6","3,746.98","3,508.38","3,228.48","3,098.39","3,021.32","2,871.78","2,793.19","2,661.94","2,509.13","2,497.27","2,170.59","2,024.04","1,996.28","1,894.49","1,816.34","1,752.74","1,674.94","1,546.99","1,482.56","1,479.45",-,-,-,"1,145.03"
Total Debt,726.75,476.66,376.06,234.96,157.85,134.74,139.65,131.41,131.33,142.24,212.67,233.16,244.76,174.23,179.71,181.18,163.16,181.63,187.1,124.58,123.05,132.53,-,-,-,116
Debt Growth,360.41%,253.76%,169.28%,78.79%,20.20%,-5.27%,-34.33%,-43.64%,-46.34%,-18.36%,18.34%,28.69%,50.02%,-4.07%,-3.95%,45.44%,32.59%,37.05%,-,-,-,14.25%,-,-,-,-
Common Stock,164.51,163.32,162.76,163.48,170.55,170.92,170.27,105.09,104.37,104,110.3,111.19,110.73,112.38,111.96,114.13,126.51,126.33,126.02,125.82,125.63,66.57,-,-,-,66.02
Retained Earnings,255.39,248.69,235.96,222.46,210.6,199.35,188,176.5,165.5,154.83,149.85,142.68,135.08,127.64,119.07,111.26,103.25,96.23,88.47,82.01,75.26,69.51,-,-,-,52.62
Comprehensive Income,-17.9,-17.94,-16.72,-11.06,-1.71,9.01,9.53,9.24,9.3,6.58,5.28,3.32,2.33,4.77,5.04,3.75,2.01,-1.57,-3.64,-1.9,-1.85,1.08,-,-,-,-3.28
Shareholders' Equity,402.01,394.06,382.01,374.88,379.44,379.27,367.8,290.83,279.17,265.41,265.43,257.19,248.14,244.79,236.06,229.14,231.78,221,210.85,205.93,199.04,137.16,-,-,-,115.37
Total Liabilities and Equity,"4,602.9","4,345.66","4,128.99","3,883.26","3,607.92","3,477.66","3,389.13","3,162.61","3,072.36","2,927.35","2,774.56","2,754.46","2,418.73","2,268.83","2,232.34","2,123.63","2,048.11","1,973.74","1,885.79","1,752.92","1,681.6","1,616.61",-,-,-,"1,260.39"
Net Cash / Debt,-517.56,-389.61,-300.56,-161.44,-85.96,8.73,49.85,-39.22,69.57,18.44,-121.16,-54.73,-183.23,-142.3,-90.09,-114.79,-114.41,-153.19,-165.57,-102.66,-102.93,-108.8,0,0,0,-99.5
Net Cash / Debt Growth,-,-,-,-,-,-52.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,14.48,14.28,13.85,13.40,13.45,13.51,13.05,10.33,9.93,9.38,9.20,8.93,8.56,8.51,8.19,7.62,7.70,7.35,7.74,7.56,6.85,4.72,-,-,-,-
