Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Cash & Equivalents,24.5,16.84,13.33,7.6,69.05,105.07,116.33,100.67,125.98,80.39,71.41,51.81,65.71,127.86,32.77,25.14,-,24.52,-,22.56
Cash & Cash Equivalents,24.5,16.84,13.33,7.6,69.05,105.07,116.33,100.67,125.98,80.39,71.41,51.81,65.71,127.86,32.77,25.14,0,24.52,0,22.56
Cash Growth,-64.52%,-83.97%,-88.54%,-92.45%,-45.19%,30.71%,62.90%,94.31%,91.72%,-37.13%,117.94%,106.10%,-,421.51%,-,11.44%,-,-,-,-
"Property, Plant & Equipment",7.85,7.88,7.95,8.01,8.06,8.13,8.13,7.9,7.15,5.67,4.31,4.1,4.16,4.2,4.16,4.21,-,4.66,-,4.45
Goodwill and Intangibles,0.25,0.27,0.28,0.3,0.32,0.34,0.35,0.38,0.4,0,0,0,0,0,0,0,-,0,-,0
Total Assets,950.29,951.1,946.21,874.95,850.69,837.36,835.03,818.85,843.89,740.9,753.5,738.67,708.74,766.61,665.63,663.95,-,665.01,-,641.14
Total Liabilities,811.2,811.44,805.09,734.48,705.66,689.79,689.42,674.23,700.81,612.44,626.1,612.34,584.06,691.63,591.5,590.46,-,592.53,-,572.83
Total Debt,115.53,105.49,132.03,118.71,80.94,87.91,93.69,100.56,111.41,106.85,111.41,115.8,102.57,100.28,113.46,82.85,-,78.97,-,93.33
Debt Growth,42.74%,20.01%,40.92%,18.05%,-27.35%,-17.73%,-15.91%,-13.16%,8.62%,6.55%,-1.80%,39.76%,-,26.99%,-,-11.23%,-,-,-,-
Common Stock,53.02,54.11,57.92,59.27,61.38,62.97,62.94,63.01,62.94,51.38,51.33,51.27,51.16,0,0,0,-,0,-,0
Retained Earnings,92.53,91.76,89.85,87.92,86.28,84.88,82.85,81.8,80.37,77.36,76.31,75.36,73.95,75.29,74.5,73.83,-,72.79,-,68.66
Comprehensive Income,-6.46,-6.21,-6.66,-6.73,-2.63,-0.27,-0.17,-0.19,-0.23,-0.27,-0.24,-0.3,-0.43,-0.31,-0.37,-0.34,-,-0.32,-,-0.35
Shareholders' Equity,139.09,139.66,141.12,140.46,145.03,147.58,145.62,144.62,143.08,128.47,127.4,126.33,124.69,74.98,74.13,73.49,-,72.48,-,68.31
Total Liabilities and Equity,950.29,951.1,946.21,874.95,850.69,837.36,835.03,818.85,843.89,740.9,753.5,738.67,708.74,766.61,665.63,663.95,-,665.01,-,641.14
Net Cash / Debt,-91.03,-88.65,-118.71,-111.11,-11.88,17.16,22.64,0.11,14.57,-26.47,-40,-63.99,-36.86,27.58,-80.69,-57.72,0,-54.45,0,-70.77
Net Cash Per Share,-6.97,-6.72,-8.77,-8.11,-0.86,1.18,1.61,0.01,1.11,-2.09,-3.16,-5.06,-,-,-,-,-,-,-,-
Book Value Per Share,10.69,10.50,10.48,10.28,10.46,10.68,10.39,10.37,10.92,10.14,10.06,9.99,11.65,5.70,5.63,5.58,-,-,-,-
