Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31,2018-12-31
Cash & Equivalents,"4,310.5","4,172.32","3,692.79","3,701.02","2,968.62","2,705.68","1,996.73",-,"2,705.68","2,343.78",-,"1,246.57",379.21
Cash & Cash Equivalents,"4,310.5","4,172.32","3,692.79","3,701.02","2,968.62","2,705.68","1,996.73",0,"2,705.68","2,343.78",0,"1,246.57",379.21
Cash Growth,45.20%,54.21%,84.94%,-,9.72%,15.44%,-,-,613.51%,-,-,-,-
Receivables,"10,235.13","8,754.74","6,987.95","6,478.47","6,234.82","4,830.87","4,061.51",-,"4,780.52","2,908.91",-,"2,786.52","1,623.83"
"Property, Plant & Equipment",46.94,46.46,37.91,40.55,37.19,20.54,19.56,-,20.54,20.51,-,25.86,6.7
Goodwill and Intangibles,612.79,579.56,565.32,557.04,530.14,474.21,455.67,-,474.21,13.2,-,1.11,0.5
Total Assets,"29,489.39","29,916.56","26,006.99","25,188.68","24,258","19,858.68","14,926.1",-,"19,858.68","10,154.25",-,"6,760.03","2,785.79"
Accounts Payable,0,0,0,0,0,0,"4,127.69",-,0,"3,331.26",-,"2,976.51","1,675.85"
Deferred Revenue,47.12,41.69,36.45,36.6,37.14,30.66,29.42,-,30.66,25.97,-,21.15,10.83
Total Liabilities,"24,280.87","25,025.78","21,254.31","20,450.52","19,467.42","15,416.14","13,020.7",-,"15,416.14","9,716.14",-,"6,147.78","2,489.06"
Total Debt,814.64,803.16,64.93,41.93,23.52,20.68,"12,561.12",-,20.68,"9,610.92",-,"6,317.1","2,535.36"
Debt Growth,3363.75%,3784.14%,-99.48%,-,13.74%,-99.78%,-,-,-99.18%,-,-,-,-
Common Stock,"4,965.88","4,963.86","4,963.27","4,962.66","4,960.64","4,678.67","2,113.58",-,"4,678.67",638.05,-,631.29,389.44
Retained Earnings,257.09,64.58,-45.88,-95.91,-116.81,-128.41,-108.89,-,-128.41,-102.44,-,28.19,-57.99
Comprehensive Income,-14.45,-137.65,-164.71,-128.59,-54.79,-109.23,-101.02,-,-109.23,-97.5,-,-47.23,-34.71
Shareholders' Equity,"5,208.52","4,890.78","4,752.68","4,738.16","4,789.05","4,441.03","1,903.67",-,"4,441.03",438.11,-,612.25,296.73
Total Liabilities and Equity,"29,489.39","29,916.56","26,006.99","25,188.68","24,256.47","19,857.17","14,924.37",-,"19,857.17","10,154.25",-,"6,760.03","2,785.79"
Net Cash / Debt,"3,495.86","3,369.15","3,627.87","3,659.09","2,945.1","2,685","-10,564.39",0,"2,685","-7,267.14",0,"-5,070.53","-2,156.16"
Net Cash / Debt Growth,18.70%,25.48%,-,-,9.69%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.73,0.72,0.75,0.78,0.63,1.68,-7.42,-,1.99,-5.45,-,-,-
Book Value Per Share,1.11,1.04,1.01,1.01,1.03,2.77,1.34,-,3.30,0.33,-,0.54,0.27
