Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Cash & Equivalents,61.87,85.16,101.58,78.48,76.51,96.19,119.98,265.83,156.27,198.15,0.27,2,0.15,79.87,0.17,0.29,0.45,0.56,0.05,-,-,0.05,-,0.05
Cash & Cash Equivalents,61.87,85.16,101.58,78.48,76.51,96.19,119.98,265.83,156.27,198.15,0.27,2,0.15,79.87,0.17,0.29,0.45,0.56,0.05,0,0,0.05,0,0.05
Cash Growth,-19.13%,-11.46%,-15.34%,-70.48%,-51.04%,-51.46%,44231.34%,13182.29%,105010.48%,148.10%,61.11%,585.77%,-66.87%,14161.10%,266.06%,-,-,1120.37%,-,-,-,-,-,-
Receivables,47.8,48.32,56.4,40.86,44.44,125.07,54.69,67.1,50.4,95.27,0,0,0,44.89,0,0,0,0,0,-,-,0,-,0
Other Current Assets,-,-,-,-,-,-,-,-,-,-,0.02,0.04,0.06,-124.74,0.02,0.04,0.06,0,-,-,-,0.07,-,-
Total Current Assets,-,-,-,-,-,-,-,-,-,-,0.29,2.04,0.21,0.01,0.19,0.33,0.51,0.56,-,-,-,0.12,-,-
"Property, Plant & Equipment",16.38,17.1,17.74,19.14,20.16,5.41,5.63,5.88,6.11,7.87,0,0,0,8.87,0,0,0,0,0,-,-,0,-,0
Long-Term Investments,-,-,-,-,-,-,-,-,-,-,218.72,286.57,292.19,291.76,290.57,288.96,287.25,277.97,-,-,-,0,-,-
Goodwill and Intangibles,32.57,32.9,33.48,34.06,34.64,35.22,35.8,36.38,36.96,37.55,0,0,0,45.05,0,0,0,0,0,-,-,0,-,0
Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-,0,0,0,-53.92,0,0,0,0,-,-,-,0,-,-
Total Long-Term Assets,-,-,-,-,-,-,-,-,-,-,218.72,286.57,292.19,291.76,290.57,288.96,287.25,277.97,-,-,-,0,-,-
Total Assets,471.93,488.93,549.05,507.81,517.21,581.62,512.88,664.83,534.84,632.28,219.01,288.61,292.4,373.16,290.75,289.29,287.76,278.53,0.18,-,-,0.12,-,0.1
Accounts Payable,0,0,0,0,0,0,0,0,0,0,0.13,0.47,0.35,0,0.05,0,0.11,0.1,0.08,-,-,0.04,-,0.04
Total Liabilities,580,582.94,596.02,552.76,570.51,637.43,623.03,588.73,454.59,599.35,6.42,7.21,4.64,586.99,3.87,4.05,3.52,2.88,0.13,-,-,0.07,-,0.05
Total Debt,401.74,403.15,403.96,406.79,408.95,390.52,391.23,392.23,284.98,335.16,6.07,5.32,2.83,448.5,2.83,2.83,2.83,2.75,0,-,-,0,-,0
Debt Growth,-1.76%,3.23%,3.25%,3.71%,43.50%,16.52%,6349.98%,7278.70%,9984.86%,-25.27%,114.65%,88.11%,-,16209.09%,-,-,-,-,-,-,-,-,-,-
Common Stock,1.3,0.02,0.02,1.79,2.88,1.52,0.02,15.4,13.94,2.72,0.92,0.56,0.3,-308.44,1.17,2.81,3.81,4.81,0.05,-,-,0.05,-,0.05
Retained Earnings,-29.93,-23.93,-23.91,-22.4,-26.09,-26.22,-35.78,-33.19,-33.83,-29.83,4.08,4.44,4.7,0,3.83,2.19,1.19,0.19,-0.01,-,-,-0.01,-,-0.01
Comprehensive Income,2.75,4.1,4.98,2.98,3.01,-1.01,-1.85,-2.21,-1.57,-2.23,0,0,0,-6.85,0,0,0,0,0,-,-,0,-,0
Shareholders' Equity,-25.88,-19.82,-18.91,-17.62,-20.2,-25.71,-37.6,-19.99,-21.47,-29.34,5,5,5,-315.29,5,5,5,5,0.04,-,-,0.04,-,0.04
Total Liabilities and Equity,554.12,563.12,577.11,535.14,550.31,611.72,585.43,568.73,433.12,570.01,11.42,12.21,9.64,271.69,8.87,9.05,8.52,7.88,0.18,-,-,0.12,-,0.1
Net Cash / Debt,-339.87,-317.98,-302.39,-328.31,-332.44,-294.33,-271.25,-126.4,-128.71,-137.01,-5.8,-3.31,-2.68,-368.63,-2.66,-2.53,-2.38,-2.19,0.05,0,0,0.05,0,0.05
Net Cash Per Share,-1.82,-1.70,-1.61,-1.73,-1.75,-1.53,-1.44,-0.67,-0.68,-,-,-,-,-,-,-,-,-,0.01,-,-,-,-,-
Book Value Per Share,-0.61,-0.47,-0.43,-0.39,-0.45,-0.58,-0.85,-0.45,-0.51,-0.73,0.15,0.14,0.14,-8.78,0.18,0.14,0.14,0.16,0.01,-,-,0.01,-,0.01
