Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Cash & Equivalents,186.82,230.47,250.62,283.93,243.91,227.74,421.44,275.98,122.55,142.02,58,204.44,55.97,71.07,17.51,15.83,-,8,-,3.22
Cash & Cash Equivalents,186.82,230.47,250.62,283.93,243.91,227.74,421.44,275.98,122.55,142.02,58,204.44,55.97,71.07,17.51,15.83,0,8,0,3.22
Cash Growth,-23.41%,1.20%,-40.53%,2.88%,99.03%,60.35%,626.64%,35.00%,118.97%,99.83%,231.23%,1191.54%,-,788.94%,-,391.39%,-,-,-,-
Receivables,580.46,532.11,447.96,429.07,377.05,342.51,233.16,209.66,206.59,155.52,98.39,102.7,71.67,58.84,45.28,53.6,-,29.5,-,4.75
Other Current Assets,13.2,9.82,12.32,13.53,14.23,8.15,5.84,5.16,4.64,4.45,2.69,3.21,3.29,3.02,5.66,2.2,-,1.1,-,0.56
Total Current Assets,780.48,772.4,710.89,726.53,635.18,578.39,660.44,490.8,333.78,301.99,159.07,310.34,130.92,132.93,68.45,71.63,-,38.59,-,8.53
"Property, Plant & Equipment",120.79,121.87,122.55,109.13,101.29,99.12,13.78,11.56,11.58,11.02,7.79,6.36,4.03,3.32,2.79,2.46,-,2.15,-,1.08
Goodwill and Intangibles,"2,503.13","2,521.98","2,539.06","2,540.67","2,160","2,173.21","1,538.04","1,219.05","1,216.88","1,205.82",547.95,544.98,308.8,256.92,263.21,232.65,-,95.51,-,34.92
Other Long-Term Assets,43.88,45.94,39.89,34.32,45.54,25.59,20.85,14.89,14.8,11.08,7.95,7.99,6.51,5.6,11.74,11.52,-,3.58,-,0.45
Total Long-Term Assets,"2,667.8","2,689.78","2,701.5","2,684.12","2,306.84","2,297.91","1,572.67","1,245.5","1,243.25","1,227.93",563.69,559.33,319.33,265.84,277.75,246.63,-,101.23,-,36.45
Total Assets,"3,448.27","3,462.18","3,412.39","3,410.65","2,942.02","2,876.31","2,233.11","1,736.3","1,577.03","1,529.91",722.76,869.67,450.25,398.77,346.2,318.26,-,139.83,-,44.98
Accounts Payable,544.09,525.22,417.46,422.36,361.57,351.88,211.01,210.01,177.45,159.84,95.64,123.74,68.07,58.01,50.02,54.31,-,27.15,-,3.81
Deferred Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.79,-,0,-,2.96
Current Debt,1.53,1.53,0,0,61.5,61.5,66.5,5,4,0,0,0,0,0,0,0,-,0.53,-,0.52
Other Current Liabilities,227.21,172.46,155.84,147.95,108.21,127.31,106.26,139.8,68.89,57.58,28.92,20.86,13.88,14.81,11.51,6.9,-,5.55,-,5.03
Total Current Liabilities,772.82,699.21,573.3,570.3,531.28,540.69,383.76,354.81,250.34,217.42,124.55,144.6,81.95,72.83,65.88,66,-,33.23,-,12.32
Long-Term Debt,"1,380.5","1,402.55","1,426.72","1,414.08",960.79,920.97,597.34,497.99,380.83,381.38,101,226,60.36,40.36,193.43,169.83,-,72.24,-,23.85
Other Long-Term Liabilities,167.84,220.38,188.3,166.38,210.91,227.09,140.29,91.16,140.22,161.14,80.52,76.44,53.09,48.31,35.94,32.62,-,11.56,-,2.75
