Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.07,0.03,0.01,0.17,0.5,0.66,0.99,1.44,0
Cash & Cash Equivalents,0.07,0.03,0.01,0.17,0.5,0.66,0.99,1.44,0
Cash Growth,-86.35%,-95.82%,-99.22%,-88.47%,-,-,-,-,-
Other Current Assets,0.04,0.14,0.24,0.35,0.34,0.36,0.39,0.7,0
Total Current Assets,0.11,0.17,0.25,0.52,0.84,1.03,1.38,2.14,0
Long-Term Investments,279.38,277.16,276.27,276.13,276.08,276.06,276.04,276.01,0
Other Long-Term Assets,0,0,0,0,0.03,0.12,0.2,0,0.08
Total Long-Term Assets,279.38,277.16,276.27,276.13,276.11,276.17,276.23,276.01,0.08
Total Assets,279.49,277.32,276.51,276.65,276.95,277.2,277.62,278.15,0.08
Accounts Payable,2.62,0.94,0.85,0.74,0.63,0.07,0.11,0,0.02
Current Debt,0.15,0,0,0,0,0,0,0.1,0.04
Other Current Liabilities,1.11,0.4,0.12,0.05,0.2,0.15,0.1,0.36,0
Total Current Liabilities,3.88,1.35,0.97,0.79,0.83,0.22,0.21,0.47,0.06
Other Long-Term Liabilities,6.56,10.62,11.84,14.01,17.04,21.98,24.25,20.52,0
Total Long-Term Liabilities,6.56,10.62,11.84,14.01,17.04,21.98,24.25,20.52,0
Total Liabilities,10.44,11.97,12.8,14.8,17.88,22.2,24.45,20.99,0.06
Total Debt,0.15,0,0,0,0,0,0,0.1,0.04
Common Stock,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0.03
Retained Earnings,-9.47,-11.58,-12.4,-14.19,-16.96,-17.21,-22.87,-18.84,-0
Shareholders' Equity,-9.44,-11.55,-12.37,-14.16,-16.93,-17.18,-22.84,-18.84,0.02
Total Liabilities and Equity,1.01,0.42,0.43,0.65,0.95,5.02,1.62,2.15,0.08
Net Cash / Debt,-0.08,0.03,0.01,0.17,0.5,0.66,0.99,1.34,-0.04
Net Cash / Debt Growth,-,-95.82%,-99.22%,-87.61%,-,-,-,-,-
Net Cash Per Share,-0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.06,-
Working Capital,-3.77,-1.18,-0.72,-0.27,0,0.8,1.17,1.67,-0.06
Book Value Per Share,-0.27,-0.34,-0.36,-0.41,-0.50,-0.50,-0.66,-0.86,0.00
