Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-03-31
Cash & Equivalents,1.54,1.97,1.85,1.19,2.8,1.77,4.04,4.34,3.54,4.39,0.52,0.83,1.17,2.54,5.44,3.97,9.29,10.07,10.25,11.14,-,-,-,0.16,0
Short-Term Investments,0.17,0.21,0.26,0.31,0.36,0.46,0.5,0.54,0.67,0.51,0.55,0.46,0.43,0.37,0.27,0.01,0,0,0,0,-,-,-,0,0
Cash & Cash Equivalents,1.71,2.18,2.11,1.5,3.16,2.22,4.54,4.88,4.22,4.9,1.07,1.29,1.6,2.91,5.71,3.98,9.29,10.07,10.25,11.14,0,0,0,0.16,0
Cash Growth,-45.92%,-2.01%,-53.52%,-69.29%,-25.09%,-54.63%,326.18%,277.58%,163.08%,68.53%,-81.34%,-67.50%,-82.75%,-71.09%,-44.32%,-64.29%,-,-,-,6807.70%,-,-,-,-,-
Receivables,0.21,5.71,1.13,0.42,0.85,0.86,1.43,0.56,1.68,1.56,1.57,1.57,3.21,2.87,2.39,0.34,0.16,0.64,1.24,1.2,-,-,-,0,0
Inventory,0,0,0.22,0.29,0.21,0.22,0.26,0.13,0.43,0.81,1.1,1,1.53,2.2,2.54,1.51,0,0,0,0,-,-,-,0,0
Other Current Assets,2.02,-3.36,1.94,3.4,3.78,3.95,4.5,5.32,2.95,2.82,2.35,2.74,4.53,3.48,4.37,5.57,2.72,-0.56,-1.16,-1.13,-,-,-,0.02,21.51
Total Current Assets,3.94,4.53,5.4,5.6,8,7.25,10.73,10.89,9.28,10.1,6.08,6.61,10.87,11.46,15.01,11.4,12.17,10.14,10.33,11.21,-,-,-,0.18,21.51
"Property, Plant & Equipment",4.53,4.89,5.85,6.59,9.46,9.33,10.64,5.1,7.57,7.83,7.6,6.63,1.09,1.27,0.81,0.13,0.06,0.03,0.02,0.01,-,-,-,0,0
Long-Term Investments,0.05,0.06,0.07,0.09,0.16,0.19,0.34,0.47,0.5,0.73,0.67,0.73,0.75,0.73,0.58,0.02,0,0,0,0,-,-,-,0,0
Goodwill and Intangibles,0.82,0.86,0.9,0.96,0.94,0.9,0.94,1.1,1.12,0.74,0.76,0.78,0,0.03,0.32,0,1.97,1.67,1.77,1.95,-,-,-,9.87,0
Other Long-Term Assets,6.19,5.48,5.88,6.64,0.03,0.04,0.11,4.74,0.45,0.6,0.73,0.88,2,2.15,1.14,0.77,0,0.6,1.22,1.2,-,-,-,0,0
Total Long-Term Assets,11.59,11.29,12.7,14.28,10.59,10.46,12.02,11.41,9.64,9.89,9.76,9.02,3.84,4.19,2.85,0.91,2.04,2.3,3.02,3.16,-,-,-,9.87,0
Total Assets,15.54,15.82,18.1,19.88,18.59,17.7,22.75,22.3,18.92,20,15.84,15.63,14.71,15.65,17.85,12.31,14.2,12.44,13.35,14.37,-,-,-,10.05,21.51
Accounts Payable,0.06,0,0,0.01,0.12,0.18,0.18,0.04,0.24,0,0.01,0,0.06,0.29,1.48,0,1.05,1.04,1.12,1.09,-,-,-,0.33,0
Current Debt,0.69,0.51,0.66,0.83,5.55,6.07,6.17,0.71,5.88,5.64,4.62,4,0.42,0.53,0.55,0.7,0.21,0,0,0,-,-,-,0,0
