Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30
Cash & Equivalents,47.17,39.6,32.67,44.77,31.41,33.76,171.6,119.92,45.49,32.14,17.58,16.32,22.05,9.41,11.1,10.12,5.89,6.11,4.65,9.21,6.93,11.61,11.97,37.49,8.93,4.57,14.67,15.45,11.8,22.71,11.72,11.48,8.99,8.61,-,-
Cash & Cash Equivalents,47.17,39.6,32.67,44.77,31.41,33.76,171.6,119.92,45.49,32.14,17.58,16.32,22.05,9.41,11.1,10.12,5.89,6.11,4.65,9.21,6.93,11.61,11.97,37.49,8.93,4.57,14.67,15.45,11.8,22.71,11.72,11.48,8.99,8.61,0,0
Cash Growth,50.17%,17.29%,-80.96%,-62.66%,-30.94%,5.06%,876.22%,634.91%,106.31%,241.56%,58.33%,61.21%,274.25%,53.92%,138.86%,9.95%,-14.98%,-47.33%,-61.16%,-75.45%,-22.44%,154.24%,-18.43%,142.61%,-24.27%,-79.90%,25.19%,34.63%,31.24%,163.79%,-,-,-,-,-,-
Receivables,30.22,31.78,44.31,22.2,20.96,23.28,22.04,21.67,26.23,24.19,10.02,8.56,6.65,5.8,0.09,9.06,2.46,2.6,3.27,2.2,6.8,3.71,3.45,3.2,2.45,4.14,3.44,10.82,12.9,2.34,11.96,9.58,9.73,9.01,-,-
Total Assets,"3,605.88","3,591.31","3,709.41","3,678.38","3,543.53","3,550.99","3,322.96","3,310.01","3,287.63","3,312.36","1,569.45","1,550.6","1,533.47","1,475.28","1,454.71","1,567.69","1,428.26","1,396.98","1,343.2","1,263.37","1,286.23","1,298.59","1,207.69","1,167.02","1,194.59","1,190.53","1,175.55","1,162.61","1,130.63","1,132.76","1,178.76","1,052.32",939.46,967.49,-,-
Accounts Payable,78.5,55.35,55.41,54.55,55.51,54.95,62.26,74.15,53.65,54.3,20.96,19.78,21.33,23.67,35.2,26.14,22.26,21.54,31.88,27,27.75,25.89,27.22,23.81,24.81,22.24,26.55,22.82,21.87,20.94,24.02,39.39,22.9,38.65,-,-
Total Liabilities,"2,025.44","2,088.92","2,165.5","2,092.7","1,933.58","1,936.59","1,702.87","1,678.48","1,661.69","1,697.22",943.03,939.11,938.62,799.15,769.87,874.26,733.51,687.08,614.56,536.89,559.52,572.76,476.53,436.33,530.99,525.4,500.58,494.13,452.91,444.11,475.22,346.06,251.9,392.91,-,-
Total Debt,"1,935.41","2,012.66","2,096.71","2,019.78","1,865.31","1,861.43","1,626.3","1,583.74","1,591.92","1,627.06",911.69,909.26,908.07,769.73,727.74,842.82,704.4,659.1,573.29,504.71,526.49,542.53,443.81,408.09,501.62,498.15,471.25,468.55,428.05,419,447,301,224,350,-,-
Debt Growth,3.76%,8.12%,28.93%,27.53%,17.17%,14.40%,78.38%,74.18%,75.31%,111.38%,25.28%,7.88%,28.92%,16.78%,26.94%,66.99%,33.79%,21.49%,29.18%,23.68%,4.96%,8.91%,-5.82%,-12.90%,17.19%,18.89%,5.43%,55.66%,91.09%,19.71%,-,-,-,-,-,-
Common Stock,"1,807.84","1,708.6","1,685.62","1,673.64","1,670.66","1,669.42","1,624.48","1,623.08","1,621.63","1,620.49",778.14,777.45,777.45,776.75,802.95,802.28,801.59,800.84,800.67,799.44,799.06,798.56,799.67,799.27,718.71,718.46,718.58,718.42,718.31,718.31,718.59,718.47,701.36,586.49,-,-
Retained Earnings,-227.4,-206.2,-141.72,-87.97,-60.71,-55.02,-4.39,8.45,4.32,-5.35,-151.71,-165.95,-182.59,-100.63,-118.11,-108.85,-106.85,-90.94,-46,-49.29,-51.48,-72.73,-30.19,-28.73,3.33,1.9,-0.95,18.72,16.86,11.98,5.32,1.15,1.67,1.85,-,-
