Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.02,0,0.05,0.17,0.49,0.62,0.02
Short-Term Investments,59.81,58.87,58.1,58.07,58.08,0,-
Cash & Cash Equivalents,59.83,58.87,58.15,58.24,58.56,0.62,0.02
Cash Growth,2.17%,9367.65%,232705.46%,-,-,-,-
Other Current Assets,0.02,0.12,0.05,0.1,0.1,0.15,-
Total Current Assets,59.85,58.99,58.2,58.34,58.66,0.77,-
Long-Term Investments,0,0,0,0,0,58.08,-
Total Long-Term Assets,0,0,0,0,0,58.08,-
Total Assets,59.85,58.99,58.2,58.34,58.66,58.85,0.12
Accounts Payable,1.24,0.9,0.63,0.33,0.03,0.01,0
Current Debt,1.81,1.11,0.16,0,0,0,0.1
Other Current Liabilities,43.55,2.01,2.01,2.01,2.16,0,0
Total Current Liabilities,46.59,4.02,2.8,2.34,2.19,0.01,0.1
Other Long-Term Liabilities,0,0,0,0,0,2.01,0
Total Long-Term Liabilities,0,0,0,0,0,2.01,0
Total Liabilities,46.59,4.02,2.8,2.34,2.19,2.02,0.1
Total Debt,1.81,1.11,0.16,0,0,0,0.1
Debt Growth,-,-,67.90%,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03
Retained Earnings,-5.18,-3.68,-2.68,-2.08,-1.6,-1.25,-0
Shareholders' Equity,-5.18,-3.68,-2.68,-2.08,-1.6,-1.25,0.02
Total Liabilities and Equity,41.42,0.34,0.12,0.26,0.59,0.77,0.12
Net Cash / Debt,58.02,57.77,57.99,58.24,58.56,0.62,-0.07
Net Cash / Debt Growth,-0.93%,9189.50%,-,-,-,-,-
Net Cash Per Share,40.36,40.19,7.75,7.79,54.80,0.43,-0.05
Working Capital,13.26,54.97,55.39,56,56.48,0.76,-
Book Value Per Share,-3.60,-2.56,-0.36,-0.28,-1.50,-0.87,0.02
