Metrics,2022-09-30,2022-03-31,2021-09-30,2021-03-31,2020-03-31
Cash & Equivalents,25.67,7.96,9.16,6.84,4.86
Cash & Cash Equivalents,25.67,7.96,9.16,6.84,4.86
Cash Growth,427.77%,-,-,-,-
Receivables,6.33,3.59,3.62,2.71,8.02
"Property, Plant & Equipment",0.62,0.66,0.31,0.02,0.02
Goodwill and Intangibles,0.06,0.06,0.06,0.06,0.06
Total Assets,38.62,13.88,14.43,10.26,13.29
Accounts Payable,3.76,3.31,5.91,3.26,6.14
Deferred Revenue,0,0,0.31,0,0
Total Liabilities,4.11,3.69,6.82,3.51,6.86
Total Debt,0.2,0.24,0.29,0,0
Common Stock,25.46,2.96,2.96,2.96,2.96
Retained Earnings,9.1,7.26,4.64,3.77,3.43
Comprehensive Income,-0.05,-0.03,0.01,0.02,0.04
Shareholders' Equity,34.51,10.2,7.61,6.75,6.43
Total Liabilities and Equity,38.62,13.88,14.43,10.26,13.29
Net Cash / Debt,25.47,7.71,8.87,6.84,4.86
Net Cash / Debt Growth,423.62%,-,-,-,-
Book Value Per Share,1.04,0.34,0.25,0.23,0.21
