Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Cash & Equivalents,621.62,513.78,535.78,583.95,440.16,425.83,451.58,435.32,-,452.79,-,585.06
Cash & Cash Equivalents,621.62,513.78,535.78,583.95,440.16,425.83,451.58,435.32,0,452.79,0,585.06
Cash Growth,41.23%,20.65%,18.64%,34.14%,-,-5.96%,-,-25.59%,-,-,-,-
Receivables,42.01,41.74,40.33,41.04,40.38,42.27,43.43,43.29,-,46.46,-,41.16
Total Assets,"5,842.23","5,709.15","5,722.84","5,760.43","5,792.41","5,865.77","5,991.31","5,862.09",-,"5,652.71",-,"4,502.92"
Deferred Revenue,188.68,202.72,212.99,224.78,236.41,246.32,254.81,263.57,-,306.95,-,383.46
Total Liabilities,"1,545.61","1,608.24","1,605.85","1,679.93","1,743.82","1,760.25","1,789.93","1,772.24",-,"1,770.9",-,675.85
Total Debt,743.46,742.83,742.21,741.6,741,740.42,739.84,739.27,-,738.16,-,0
Debt Growth,0.33%,0.33%,0.32%,0.32%,-,0.31%,-,-,-,-,-,-
Common Stock,"2,363.9","2,383.7","2,381.2","2,378.67","2,376.2","2,373.49","2,371.45","2,371.23",-,"2,370.33",-,"2,363.61"
Retained Earnings,"2,252.96","2,099.96","2,162.87","1,994.86","1,813.08","1,648.45","1,695.98","1,558.77",-,"1,303.11",-,"1,370.04"
Comprehensive Income,-320.24,-382.74,-427.09,-293.03,-140.69,83.58,133.96,159.85,-,208.38,-,93.43
Shareholders' Equity,"4,296.62","4,100.91","4,116.99","4,080.5","4,048.59","4,105.52","4,201.38","4,089.85",-,"3,881.81",-,"3,827.08"
Total Liabilities and Equity,"5,842.23","5,709.15","5,722.84","5,760.43","5,792.41","5,865.77","5,991.31","5,862.09",-,"5,652.71",-,"4,502.92"
Net Cash / Debt,-121.84,-229.06,-206.44,-157.66,-300.84,-314.59,-288.26,-303.95,0,-285.37,0,585.06
Net Cash Per Share,-0.75,-1.40,-1.26,-0.97,-1.85,-1.93,-1.77,-1.87,-,-1.75,-,-
Book Value Per Share,26.45,25.19,25.28,25.06,24.86,25.21,25.80,25.12,-,23.84,-,23.50
