Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.47,0.31,0.46,0.77,0.91,1.07,0
Cash & Cash Equivalents,0.47,0.31,0.46,0.77,0.91,1.07,0
Cash Growth,-47.84%,-70.62%,-,-,-,-,-
Other Current Assets,0.14,0.2,0.33,0.46,0.52,0.5,-
Total Current Assets,0.61,0.51,0.79,1.24,1.43,1.57,-
Long-Term Investments,132.95,131.53,130.42,129.82,129.71,129.67,-
Other Long-Term Assets,0,0,0,0,0.1,0.21,-
Total Long-Term Assets,132.95,131.53,130.42,129.82,129.81,129.88,-
Total Assets,133.56,132.04,131.21,131.06,131.24,131.45,0.35
Accounts Payable,0.05,0.05,0.05,0.05,0.06,0.01,0
Current Debt,0.45,0,0,0,0,0,0
Other Current Liabilities,2.26,0.84,0.63,0.55,0.46,0.32,0.34
Total Current Liabilities,2.76,0.89,0.68,0.6,0.52,0.33,0.34
Other Long-Term Liabilities,3.73,3.73,3.73,3.73,3.73,3.73,0
Total Long-Term Liabilities,3.73,3.73,3.73,3.73,3.73,3.73,0
Total Liabilities,6.49,4.62,4.4,4.33,4.25,4.05,0.34
Total Debt,0.45,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0.03
Retained Earnings,-5.88,-4.11,-3.62,-3.09,-2.72,-2.28,-0.01
Shareholders' Equity,-5.88,-4.11,-3.62,-3.09,-2.72,-2.28,0.01
Total Liabilities and Equity,0.61,0.51,0.79,1.24,1.53,1.78,0.35
Net Cash / Debt,0.02,0.31,0.46,0.77,0.91,1.07,0
Net Cash / Debt Growth,-97.31%,-70.62%,-,-,-,-,-
Net Cash Per Share,0.00,0.02,0.03,0.05,0.06,0.23,-
Working Capital,-2.15,-0.38,0.11,0.63,0.91,1.24,-
Book Value Per Share,-0.37,-0.26,-0.23,-0.20,-0.17,-0.48,0.01
