Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Cash & Equivalents,224.06,179.49,179.72,223.1,424.73,441.34,253.29,313.93,174.22,150.69,126.53,215.77,207.64,276.41,274.55,-,-,138.43,-,95.83
Cash & Cash Equivalents,224.06,179.49,179.72,223.1,424.73,441.34,253.29,313.93,174.22,150.69,126.53,215.77,207.64,276.41,274.55,0,0,138.43,0,95.83
Cash Growth,-47.25%,-59.33%,-29.04%,-28.94%,143.79%,192.88%,100.18%,45.49%,-16.09%,-45.48%,-53.91%,-,-,99.68%,-,-,-,-,-,-
"Property, Plant & Equipment",23.2,22.72,22.5,21.37,21.74,22.41,22.97,23.64,24.15,24.2,24.87,25.45,26.01,26.42,26.92,-,-,14.39,-,12.38
Total Assets,"3,419.01","3,427.24","3,348.44","3,167.85","3,142.32","3,106.16","2,750.23","2,517.84","2,154.36","1,897.49","1,739.87","1,721.76","1,604.54","1,631.86","1,644.75",-,-,"1,432.65",-,"1,288.97"
Total Liabilities,"3,066.05","3,077.82","2,999.41","2,844.78","2,831.91","2,815.94","2,474.07","2,253.59","1,898.99","1,652.66","1,502.78","1,492.34","1,380.81","1,415.13","1,450.32",-,-,"1,264.04",-,"1,153.85"
Total Debt,383.83,384.28,384.7,384.43,389.85,510.32,310.71,211.12,91.53,121.39,111.83,94.83,95.3,75.61,76.08,-,-,4.26,-,125.04
Debt Growth,-1.55%,-24.70%,23.81%,82.09%,325.94%,320.39%,177.83%,122.63%,-3.95%,60.56%,47.00%,-,-,1676.02%,-,-,-,-,-,-
Common Stock,45.3,45.55,49.17,50.09,52.01,51.81,51.44,53.18,56.23,55.93,55.36,54.78,54.4,54.11,39.77,-,-,40.16,-,38.66
Retained Earnings,293.14,285.83,279.48,266.43,254.17,238.58,224.71,210.91,199.1,188.71,181.58,174.52,169.61,162.62,154.65,-,-,128.56,-,96.53
Comprehensive Income,14.53,18.04,20.39,6.56,4.24,-0.17,0.01,0.16,0.04,0.2,0.17,0.12,-0.27,-0,0,-,-,-0.1,-,-0.07
Shareholders' Equity,352.96,349.42,349.03,323.07,310.41,290.22,276.15,264.25,255.38,244.83,237.1,229.42,223.74,216.72,194.42,-,-,168.61,-,135.12
Total Liabilities and Equity,"3,419.01","3,427.24","3,348.44","3,167.85","3,142.32","3,106.16","2,750.23","2,517.84","2,154.36","1,897.49","1,739.87","1,721.76","1,604.54","1,631.86","1,644.75",-,-,"1,432.65",-,"1,288.97"
Net Cash / Debt,-159.76,-204.79,-204.98,-161.33,34.88,-68.98,-57.42,102.81,82.69,29.3,14.7,120.94,112.34,200.81,198.47,0,0,134.17,0,-29.21
Net Cash / Debt Growth,-,-,-,-,-57.82%,-,-,-14.99%,-26.39%,-85.41%,-92.59%,-,-,49.67%,-,-,-,-,-,-
Book Value Per Share,14.04,13.81,13.71,12.69,12.19,11.40,10.83,10.30,9.95,9.54,9.23,8.99,8.76,8.49,7.68,-,-,6.66,-,-
