Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-22
Cash & Equivalents,0.03,0.07,0.07,0.4,1.13,1.61,1.81,1.91,0
Cash & Cash Equivalents,0.03,0.07,0.07,0.4,1.13,1.61,1.81,1.91,0
Cash Growth,-97.20%,-95.65%,-96.14%,-78.87%,-,-,-,-,-
Other Current Assets,0.04,0.02,0.06,0.08,0.02,0.02,0.02,0.02,0.01
Total Current Assets,0.07,0.09,0.13,0.48,1.15,1.63,1.83,1.93,0.01
Long-Term Investments,350.33,347.66,345.71,345.19,345.07,345.05,345.01,345,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.08
Total Long-Term Assets,350.33,347.66,345.71,345.19,345.07,345.05,345.01,345,0.08
Total Assets,350.4,347.75,345.84,345.68,346.22,346.67,346.84,346.94,0.09
Accounts Payable,1.81,1.83,0.8,0.83,1.2,0.93,0.8,0.14,0
Other Current Liabilities,3.73,2.03,3.1,0.16,0.04,0.65,0.19,0.79,0.08
Total Current Liabilities,5.55,3.86,3.89,0.99,1.24,1.57,0.98,0.92,0.08
Other Long-Term Liabilities,12.95,13.47,14.86,19.22,27.94,27.59,28.81,38.05,0
Total Long-Term Liabilities,12.95,13.47,14.86,19.22,27.94,27.59,28.81,38.05,0
Total Liabilities,18.49,17.33,18.76,20.21,29.18,29.17,29.79,38.97,0.08
Common Stock,0,0,0,0,0,0,0,5.9,0.03
Retained Earnings,-18.32,-17.14,-18.53,-19.63,-27.96,-27.49,5,-0.9,-0.01
Shareholders' Equity,-18.32,-17.14,-18.53,-19.63,-27.96,-27.49,5,5,0.01
Total Liabilities and Equity,0.17,0.19,0.23,0.58,1.22,1.67,34.79,43.97,0.09
Net Cash / Debt,0.03,0.07,0.07,0.4,1.13,1.61,1.81,1.91,0
Net Cash / Debt Growth,-97.20%,-95.65%,-96.14%,-78.87%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.01,0.03,0.04,0.04,0.12,-
Working Capital,-5.48,-3.77,-3.76,-0.5,-0.09,0.05,0.85,1.01,-0.07
Book Value Per Share,-0.42,-0.40,-0.43,-0.46,-0.65,-0.64,0.12,0.32,0.00
