Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,27.53,13.47,36.2,29.14,40.1,40.88,100.4,29.09,37.07,25.25,-,-,-,17.91
Cash & Cash Equivalents,27.53,13.47,36.2,29.14,40.1,40.88,100.4,29.09,37.07,25.25,0,0,0,17.91
Cash Growth,-31.35%,-67.05%,-63.95%,0.17%,8.16%,61.95%,-,-,-,40.96%,-,-,-,-
"Property, Plant & Equipment",6.2,6.3,6.39,6.49,6.48,6.58,6.66,6.55,5.45,5.49,-,-,-,5.29
Total Assets,275.83,263.32,283.41,280.98,287.27,285.61,311.56,238.64,236.74,224.69,-,-,-,218.5
Total Liabilities,189.7,174.85,194.09,188.57,192.81,187.06,259.56,187.91,186.39,174.16,-,-,-,167.38
Total Debt,9.24,9.2,9.15,9.11,9.06,9.02,8.97,8.93,8.88,8.84,-,-,-,25
Debt Growth,1.99%,2.00%,2.01%,2.02%,2.03%,2.04%,-,-,-,-64.65%,-,-,-,-
Common Stock,41.65,44.81,46.94,46.82,46.75,46.68,0,0,0,0,-,-,-,0
Retained Earnings,52.48,52.74,52.38,52.24,52.22,52.56,52.27,50.84,50.58,50.43,-,-,-,51.13
Comprehensive Income,-8,-9.07,-9.99,-6.65,-4.51,-0.68,-0.27,-0.11,-0.22,0.11,-,-,-,-0.01
Shareholders' Equity,86.13,88.47,89.33,92.41,94.46,98.55,52,50.73,50.36,50.53,-,-,-,51.12
Total Liabilities and Equity,275.83,263.32,283.41,280.98,287.27,285.61,311.56,238.64,236.74,224.69,-,-,-,218.5
Net Cash / Debt,18.28,4.27,27.04,20.03,31.03,31.87,91.43,20.16,28.19,16.41,0,0,0,-7.09
Net Cash / Debt Growth,-41.08%,-86.59%,-70.42%,-0.65%,10.09%,94.22%,-,-,-,-,-,-,-,-
Book Value Per Share,17.03,16.73,16.89,17.47,17.86,18.63,9.83,9.59,9.52,-,-,-,-,-
