Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.04,0.03,0.15,0.14,0.32,0.37,0.44,0
Cash & Cash Equivalents,0.04,0.03,0.15,0.14,0.32,0.37,0.44,0
Cash Growth,-88.88%,-92.22%,-65.52%,3215.85%,-,-,-,-
Other Current Assets,0,0,0.01,0.1,0.23,0.32,0.6,-
Total Current Assets,0.04,0.03,0.16,0.24,0.56,0.69,1.04,-
Long-Term Investments,19.43,106.13,105.84,104.3,104.3,104.29,104.29,-
Other Long-Term Assets,0,0,0,0,0,0.18,0,-
Total Long-Term Assets,19.43,106.13,105.84,104.3,104.3,104.48,104.29,-
Total Assets,19.47,106.16,106,104.53,104.85,105.17,105.33,0.26
Accounts Payable,1.92,0.95,0.54,0.51,0.37,0.29,0.01,0
Current Debt,0.32,0.32,0.26,0.11,0.16,0.16,0.16,-
Other Current Liabilities,0,0,0,0,0,0,0.1,-
Total Current Liabilities,2.25,1.27,0.8,0.62,0.53,0.45,0.28,-
Other Long-Term Liabilities,6.28,7.15,7.46,7.86,12.71,10.3,17.07,-
Total Long-Term Liabilities,6.28,7.15,7.46,7.86,12.71,10.3,17.07,-
Total Liabilities,8.52,8.42,8.26,8.48,13.25,10.75,17.35,0.24
Total Debt,0.32,0.32,0.26,0.11,0.16,0.16,0.16,0.04
Debt Growth,98.14%,98.14%,61.34%,164.60%,-,-,-,-
Common Stock,2.25,3.37,3.37,0,0,0,5.76,0.03
Retained Earnings,-10.72,-11.57,-11.47,-8.24,-12.69,-9.87,-0.76,-0.01
Shareholders' Equity,-8.48,-8.21,-8.11,-8.24,-12.69,-9.87,5,0.02
Total Liabilities and Equity,0.05,0.21,0.15,0.24,0.56,0.87,22.35,0.26
Net Cash / Debt,-0.29,-0.29,-0.11,0.03,0.16,0.21,0.28,-0.04
Net Cash Per Share,-0.02,-0.02,-0.01,0.00,0.01,0.02,0.05,-0.02
Working Capital,-2.21,-1.24,-0.65,-0.39,0.02,0.24,0.76,-
Book Value Per Share,-0.69,-0.63,-0.62,-0.63,-0.97,-0.76,0.89,0.01
