Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2020-12-31
Cash & Equivalents,"3,152","3,545","2,601","2,640","3,545","2,494","2,494","2,494","2,101"
Cash & Cash Equivalents,"3,152","3,545","2,601","2,640","3,545","2,494","2,494","2,494","2,101"
Cash Growth,-11.09%,42.14%,4.29%,5.85%,68.73%,-,-,-,-
Receivables,"2,721","2,550","8,222","7,553","2,550","6,956","6,769","6,769","6,829"
"Property, Plant & Equipment",67,68,61,62,68,48,48,48,21
Goodwill and Intangibles,320,308,307,308,308,313,313,313,320
Total Assets,"13,973","14,087","28,179","27,519","14,087","25,643","25,729","25,729","22,471"
Accounts Payable,"2,430","2,653","14,741","12,515","2,653","10,079","10,239","10,239","10,051"
Total Liabilities,"2,448","2,670","16,315","14,661","2,670","11,240","11,400","11,400","10,523"
Total Debt,0,0,683,"1,315",0,461,461,461,0
Debt Growth,-,-,48.16%,185.25%,-,-,-,-,-
Common Stock,"9,274","9,271","11,864","12,858","9,271","9,715","14,329","14,329","11,948"
Retained Earnings,72,84,-,-,84,0,-,-,-
Comprehensive Income,159,153,0,0,153,156,0,0,0
Shareholders' Equity,"9,505","9,508","11,864","12,858","9,508","9,871","14,329","14,329","11,948"
Total Liabilities and Equity,"11,953","12,178","28,179","27,519","12,178","21,111","25,729","25,729","22,471"
Net Cash / Debt,"3,152","3,545","1,918","1,325","3,545","2,033","2,033","2,033","2,101"
Net Cash / Debt Growth,-11.09%,74.37%,-5.66%,-34.83%,68.73%,-,-,-,-
Book Value Per Share,24.65,24.65,30.76,33.34,24.65,25.59,-,-,-
