Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,0.01,0,0,0.01,0.01,0.01,0.17,0.35,0.69,0,0
Cash & Cash Equivalents,0.01,0,0,0.01,0.01,0.01,0.17,0.35,0.69,0,0
Cash Growth,161.50%,-99.21%,-99.26%,-97.21%,-99.22%,-,-,-,-,-,-
Other Current Assets,0.19,0.25,0.17,0.1,0.12,0.18,0.2,0.25,0.14,-,-
Total Current Assets,0.2,0.25,0.17,0.11,0.13,0.19,0.37,0.6,0.83,-,-
Long-Term Investments,17.73,17.55,49.39,119.13,117.93,116.76,116.75,116.75,116.73,-,-
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.02,-,-
Total Long-Term Assets,17.73,17.55,49.39,119.13,117.93,116.76,116.75,116.75,116.76,-,-
Total Assets,17.93,17.81,49.56,119.25,118.06,116.95,117.12,117.35,117.59,0.14,0.05
Accounts Payable,5.55,3.29,3.18,1.26,1.8,0.24,0.25,0.04,0.07,0,0
Current Debt,0,1.42,0.89,2.61,0,0.06,0.09,0.13,0.14,0.11,0.03
Other Current Liabilities,0,0,0.1,0.25,0.2,0.15,0.1,0.05,0.1,0,0
Total Current Liabilities,5.55,4.71,4.16,4.11,2,0.45,0.44,0.21,0.3,0.11,0.03
Other Long-Term Liabilities,1.18,0.85,2.76,3.61,7.11,8.86,12.63,11.51,17.51,0,0
Total Long-Term Liabilities,1.18,0.85,2.76,3.61,7.11,8.86,12.63,11.51,17.51,0,0
Total Liabilities,6.74,5.56,6.93,7.72,9.11,9.31,13.08,11.72,17.81,0.11,0.03
Total Debt,0,1.42,0.89,2.61,0,0.06,0.09,0.13,0.14,0.11,0.03
Debt Growth,-,2352.61%,860.31%,1960.91%,-,-49.43%,235.87%,-,-,-,-
Common Stock,0,0,0,0,0,0.48,0,0,0,0.03,0.03
Retained Earnings,-6.53,-5.31,-6.71,-7.5,-8.92,-7.83,5,5,-15.22,0,0
Shareholders' Equity,-6.53,-5.3,-6.7,-7.5,-8.92,-7.36,5,5,-15.22,0.03,0.03
Total Liabilities and Equity,0.2,0.25,0.22,0.22,0.19,1.95,18.08,16.72,2.59,0.14,0.05
Net Cash / Debt,0.01,-1.42,-0.89,-2.6,0.01,-0.05,0.07,0.22,0.56,-0.11,-0.03
Net Cash / Debt Growth,161.50%,-,-,-,-99.03%,-,-,-,-,-,-
Net Cash Per Share,0.00,-0.19,-0.08,-0.18,0.00,-0.00,0.01,0.02,0.12,-0.04,-0.01
Working Capital,-5.35,-4.46,-4,-4,-1.87,-0.27,-0.07,0.38,0.53,-,-
Book Value Per Share,-0.70,-0.72,-0.64,-0.51,-0.61,-0.50,0.34,0.34,-3.27,0.01,0.01
