Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,1.41,0.98,0.53,0.82,1.05,1.88,2.04,2.26,0.03
Cash & Cash Equivalents,1.41,0.98,0.53,0.82,1.05,1.88,2.04,2.26,0.03
Cash Growth,34.49%,-48.04%,-73.94%,-63.78%,4105.20%,-,-,-,-
Other Current Assets,0.1,0.27,0.44,0.61,0.69,0.83,0.99,1.14,0
Total Current Assets,1.51,1.25,0.97,1.43,1.74,2.71,3.03,3.41,0.03
Long-Term Investments,558.88,555.03,552.93,552.29,552.14,552.04,551.99,552.01,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.06
Total Long-Term Assets,558.88,555.03,552.93,552.29,552.14,552.04,551.99,552.01,0.06
Total Assets,560.4,556.27,553.9,553.72,553.88,554.75,555.03,555.42,0.08
Accounts Payable,0,0,0,0,0,0,0.1,0.06,0
Other Current Liabilities,1.37,0.83,0.2,0.2,0.16,0.62,55.41,47.58,0.06
Total Current Liabilities,1.37,0.83,0.2,0.2,0.16,0.62,55.51,47.64,0.06
Other Long-Term Liabilities,21.26,22.92,27.92,35.17,45.15,49.98,0,0,0
Total Long-Term Liabilities,21.26,22.92,27.92,35.17,45.15,49.98,0,0,0
Total Liabilities,22.64,23.75,28.12,35.37,45.31,50.6,55.51,47.64,0.06
Common Stock,0,0,0,0,0,0,17.41,9.14,0.03
Retained Earnings,-19.34,-21.03,-26.22,-33.65,-43.44,-47.85,-12.41,-4.14,-0
Shareholders' Equity,-19.34,-21.03,-26.22,-33.65,-43.44,-47.85,5,5,0.02
Total Liabilities and Equity,3.3,2.72,1.9,1.72,1.88,2.75,60.51,52.64,0.08
Net Cash / Debt,1.41,0.98,0.53,0.82,1.05,1.88,2.04,2.26,0.03
Net Cash / Debt Growth,34.49%,-48.04%,-73.94%,-63.78%,4105.20%,-,-,-,-
Net Cash Per Share,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.06,0.00
Working Capital,0.14,0.41,0.77,1.23,1.58,2.09,-52.48,-44.23,-0.03
Book Value Per Share,-0.28,-0.30,-0.38,-0.49,-0.63,-0.69,0.07,0.13,0.00
