Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Cash & Equivalents,"1,344.8","2,100.79","1,484.82","1,339.5","2,102.86","2,179.83","2,309.5","2,766.17","2,582.19","3,289.59","2,160.9","2,227.9","1,978.23","2,550.07","3,605.05","2,010.98","2,601.27","2,053.88","1,259.1","1,755.91","1,845.63","1,535.14","1,545.52","1,719.83","1,867.31","2,101.65","1,484.79",-,-,"2,288.89"
Cash & Cash Equivalents,"1,344.8","2,100.79","1,484.82","1,339.5","2,102.86","2,179.83","2,309.5","2,766.17","2,582.19","3,289.59","2,160.9","2,227.9","1,978.23","2,550.07","3,605.05","2,010.98","2,601.27","2,053.88","1,259.1","1,755.91","1,845.63","1,535.14","1,545.52","1,719.83","1,867.31","2,101.65","1,484.79",0,0,"2,288.89"
Cash Growth,-36.05%,-3.63%,-35.71%,-51.58%,-18.56%,-33.74%,6.88%,24.16%,30.53%,29.00%,-40.06%,10.79%,-23.95%,24.16%,186.32%,14.53%,40.94%,33.79%,-18.53%,2.10%,-1.16%,-26.96%,4.09%,-,-,-8.18%,-,-,-,-
"Property, Plant & Equipment",149.12,146.14,143.64,141.52,140.73,138.69,137.56,141.27,146.3,150.75,157.09,159.2,155.89,158.23,157.49,154.86,154.56,158.06,157.1,159.49,162.72,164.79,164.34,164.8,166.16,167.77,171.18,-,-,183.38
Goodwill and Intangibles,74.06,74.37,71.85,77.47,82.94,86.11,87.26,90.19,91.54,92.82,90.69,89.67,91.2,96.5,93.39,72.16,74.1,74.74,76.89,77.32,90.86,60.6,61.39,61.51,61.41,61.91,64.6,-,-,51.13
Total Assets,"13,732.7","14,306.06","13,699.34","14,349.93","15,266.02","15,335.2","15,332.17","15,664.83","14,804.78","14,738.63","13,460.75","13,150.7","13,197.39","13,921.58","14,216.3","11,228.97","11,643.06","10,773.18","10,429.66","11,002.38","10,988.24","10,779.24","10,578.38","10,678.73","10,943.56","11,103.55","10,978.46",-,-,"10,275.56"
Accounts Payable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.58,0,0,51.91,0,52.43,0,0,0,-,-,0
Total Liabilities,"12,795.8","13,441.25","12,944.48","13,547.5","14,424.22","14,357.71","14,358.28","14,698.21","13,868.31","13,756.69","12,471.84","12,160.39","12,216.88","12,957.83","13,251.74","10,300.29","10,746.88","9,890.84","9,558.01","10,153.74","10,164.01","9,956.36","9,775.97","9,908.86","10,202.56","10,392.8","10,013.78",-,-,"9,525.21"
Total Debt,172.39,172.29,172.19,172.08,171.98,171.88,171.77,171.67,171.57,171.46,196.36,241.47,143.55,143.5,143.46,143.41,143.37,143.32,143.28,143.23,117,117,117,117,117,117,117,-,-,117
Debt Growth,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,-12.52%,-28.91%,19.52%,19.49%,36.88%,68.38%,0.12%,0.12%,0.12%,0.12%,22.54%,22.50%,22.46%,22.42%,-,-,-,-,-,-,-,-,-,-
