Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Cash & Equivalents,399.46,445.09,455.19,343.26,332.77,447.15,794.73,627.24,255.27,357.91,220.47,187.99,382.92,317.16,197.62,247.85,98.77,127.6,151.87,161.58,25.9,20.07,19.23,90.56,160.72,209.35,215.15,258.19,49.72
Cash & Cash Equivalents,399.46,445.09,455.19,343.26,332.77,447.15,794.73,627.24,255.27,357.91,220.47,187.99,382.92,317.16,197.62,247.85,98.77,127.6,151.87,161.58,25.9,20.07,19.23,90.56,160.72,209.35,215.15,258.19,49.72
Cash Growth,20.04%,-0.46%,-42.72%,-45.28%,30.36%,24.93%,260.48%,233.67%,-33.34%,12.85%,11.56%,-24.15%,287.68%,148.55%,30.12%,53.39%,281.36%,535.76%,689.65%,78.42%,-83.89%,-90.41%,-91.06%,-64.92%,223.27%,-,-,-,-
Receivables,22.03,17.71,20.3,23.2,15.9,3.95,81.55,3.97,6.72,8.66,2.92,2.26,2.19,11.73,25.55,2.58,2.7,8.1,6.27,4.42,2.51,23.4,1.98,0,0,0,0,19.6,0
Total Assets,"13,679.1","13,584.85","13,413.19","13,088.38","13,203.7","13,298.17","13,075.88","12,635.43","11,588.24","11,304.36","10,234.26","9,497.13","9,418.29","9,203.62","8,568.67","7,547.8","6,979.99","5,951.04","4,875.9","3,668.92","3,071.97","2,443.55","2,234.84","1,890.58","1,299.41","1,180.82",859.44,498.16,50.77
Accounts Payable,218.51,217.91,205.11,199.81,199.4,203.88,200.54,335.55,187.81,213.62,200.5,383.63,221.51,159.28,149.47,244.22,105.64,98.43,111.35,73.51,49.83,47.03,70.55,7.49,5.97,6.43,3.75,76.16,1.63
Total Liabilities,"7,761.73","7,702.45","7,565.4","7,383.94","7,332.2","7,360.29","7,198.89","6,793.16","5,786.15","5,557.92","4,539.91","3,911.36","3,911.03","3,226.34","2,644.04","1,837.95","2,899.67","2,686.2","2,103.05","1,570.95","1,398.01",970.97,930.44,806.68,605.36,500.3,390.58,77.3,3.08
Total Debt,"7,383.21","7,281.74","7,196.15","7,053.5","7,034.22","7,079.33","6,934.94","6,383.74","5,545.89","5,292.72","4,305.64","3,494.87","3,638.57","3,038.23","2,459.02","1,570.62","2,769.81","2,567.72","1,974.63","1,485.46","1,338.5",919.43,856.27,796.11,596.95,491.91,385.66,0,0
Debt Growth,4.96%,2.86%,3.77%,10.49%,26.84%,33.76%,61.07%,82.66%,52.42%,74.20%,75.10%,122.52%,31.37%,18.32%,24.53%,5.73%,106.93%,179.27%,130.61%,86.59%,124.22%,86.91%,122.03%,-,-,-,-,-,-
Common Stock,"5,952.51","5,974.6","5,996.23","5,996.23","6,006.25","5,994.3","5,989.36","5,975.61","5,964.02","5,944.88","5,923.39","5,879.44","5,954.53","5,959.53","5,911.82","5,687.28","4,062.78","3,273.32","2,739.55","2,066.16","1,646.35","1,452.87","1,263.34","1,051.62",669.02,665.01,465.26,425.26,50
Retained Earnings,-35.14,-92.2,-148.45,-291.79,-134.76,-56.42,-112.37,-133.34,-161.94,-198.45,-229.04,-293.68,-447.27,17.75,12.81,22.58,17.53,-8.48,12.13,7.21,5.33,19.71,28.81,18.44,11.97,7.88,0.65,-4.92,-2.32
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.17,24.61,22.28,0,12.25,13.84,13.07,7.63,2.94,0.52,0
Shareholders' Equity,"5,917.37","5,882.4","5,847.79","5,704.45","5,871.49","5,937.88","5,876.99","5,842.26","5,802.09","5,746.43","5,694.35","5,585.76","5,507.26","5,977.28","5,924.63","5,709.86","4,080.31","3,264.85","2,772.85","2,097.97","1,673.96","1,472.58","1,304.4","1,083.91",694.06,680.53,468.85,420.86,47.68
Total Liabilities and Equity,"13,679.1","13,584.85","13,413.19","13,088.38","13,203.7","13,298.17","13,075.88","12,635.43","11,588.24","11,304.36","10,234.26","9,497.13","9,418.29","9,203.62","8,568.67","7,547.8","6,979.99","5,951.04","4,875.9","3,668.92","3,071.97","2,443.55","2,234.84","1,890.58","1,299.41","1,180.82",859.44,498.16,50.77
Net Cash / Debt,"-6,983.76","-6,836.66","-6,740.96","-6,710.24","-6,701.45","-6,632.18","-6,140.21","-5,756.49","-5,290.63","-4,934.81","-4,085.18","-3,306.89","-3,255.65","-2,721.07","-2,261.41","-1,322.78","-2,671.03","-2,440.11","-1,822.76","-1,323.88","-1,312.6",-899.36,-837.03,-705.55,-436.23,-282.55,-170.51,258.19,49.72
Net Cash Per Share,-17.86,-17.36,-17.12,-17.02,-17.00,-16.85,-15.64,-14.69,-13.53,-12.68,-10.57,-8.58,-8.27,-8.38,-5.88,-4.65,-11.32,-16.66,-11.16,-10.79,-13.01,-13.41,-11.44,-12.40,-9.51,-13.24,-5.75,31.09,461.94
Book Value Per Share,15.13,14.94,14.85,14.47,14.89,15.09,14.96,14.91,14.84,14.77,14.73,14.49,14.00,18.41,15.39,20.05,17.30,22.30,16.97,17.10,16.59,21.95,17.84,19.05,15.13,31.88,15.82,50.67,443.03
