Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-03-31,2019-12-31
Cash & Equivalents,100.57,92.46,96.53,116.65,85.75,-,-,74.22,47.38,-,34.78
Cash & Cash Equivalents,100.57,92.46,96.53,116.65,85.75,0,0,74.22,47.38,0,34.78
Cash Growth,17.27%,-,-,57.16%,80.98%,-,-,-,-,-,-
"Property, Plant & Equipment",14.52,13.52,12.77,11.71,3.29,-,-,1.49,1.26,-,0.93
Total Assets,400.78,385.57,365.99,424.48,380.21,-,-,330.05,317.52,-,177.06
Total Liabilities,260.32,251.28,235.45,299.53,264.77,-,-,277.74,271.64,-,143.97
Total Debt,7.33,7.59,7.77,8.34,1.05,-,-,79.7,101.01,-,0
Debt Growth,598.48%,-,-,-89.54%,-98.96%,-,-,-,-,-,-
Common Stock,54.63,55.13,55.03,54.93,54.85,-,-,18.01,16.86,-,15.28
Retained Earnings,85.83,79.16,75.51,70.03,60.59,-,-,34.3,29.01,-,17.81
Shareholders' Equity,140.46,134.29,130.54,124.96,115.44,-,-,52.31,45.87,-,33.1
Total Liabilities and Equity,400.78,385.57,365.99,424.48,380.21,-,-,330.05,317.52,-,177.06
Net Cash / Debt,93.23,84.87,88.76,108.31,84.7,0,0,-5.48,-53.62,0,34.78
Net Cash / Debt Growth,10.07%,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,7.06,6.37,6.62,7.98,7.85,-,-,-0.66,-,-,-
Book Value Per Share,11.03,10.50,10.27,9.78,11.38,-,-,6.46,5.72,-,4.70
