Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,15.9,30.52,33.02,60.13,78.52,140.13,223.23,92.68,39.84,10.17,-,-,-,2.95
Short-Term Investments,352.44,203.63,223.42,188.81,367.6,323.95,263.83,166.08,242.38,101.96,-,-,-,27.31
Cash & Cash Equivalents,368.34,234.14,256.44,248.94,446.12,464.07,487.06,258.76,282.22,112.14,0,0,0,30.26
Cash Growth,-17.44%,-49.55%,-47.35%,-3.79%,58.07%,313.85%,-,-,-,270.62%,-,-,-,-
Receivables,2.87,1.59,1.85,2.93,3.74,0.65,0.1,0.94,1.11,0.45,-,-,-,0
Other Current Assets,7.04,9.89,7.63,3.1,3.81,3.36,3.67,5.73,1.5,-7.27,-,-,-,0.32
Total Current Assets,378.24,245.62,265.92,254.97,453.68,468.08,490.83,265.43,284.83,105.32,-,-,-,30.58
"Property, Plant & Equipment",120.92,124.96,207.37,194.79,149.01,96.13,53.12,33.98,29.67,32.52,-,-,-,34.88
Goodwill and Intangibles,14.96,15.14,13.23,13.58,13.92,0,0,0,0,0,-,-,-,0
Other Long-Term Assets,27.33,27.22,75.4,109.53,136.83,156.5,107.26,63.25,25.3,7.36,-,-,-,5.78
Total Long-Term Assets,163.21,167.31,296,317.9,299.76,252.63,160.38,97.23,54.98,39.88,-,-,-,40.66
Total Assets,541.45,412.94,561.92,572.87,753.44,720.71,651.21,362.66,339.8,145.2,-,-,-,71.24
Accounts Payable,22.19,13.92,12.34,12.18,8.64,9.57,11.55,8.22,7.31,3.89,-,-,-,2.5
Current Debt,16.2,16.22,15.45,11.85,13.91,16.49,10.34,6.09,1.3,25.76,-,-,-,6.23
Total Current Liabilities,38.39,30.13,27.8,24.03,22.54,26.06,21.89,14.32,8.61,29.65,-,-,-,8.73
Long-Term Debt,32.09,31.2,34.83,37.96,29.57,24.2,0,0,0,0,-,-,-,19.81
Other Long-Term Liabilities,0.34,0.21,4.52,1.6,50.77,104.48,0,0,14.39,0,-,-,-,0
Total Long-Term Liabilities,32.42,31.41,39.35,39.56,80.34,128.68,0,0,14.39,0,-,-,-,19.81
Total Liabilities,70.81,61.55,67.14,63.59,102.89,154.74,21.89,14.32,23,29.65,-,-,-,28.54
Total Debt,48.28,47.42,50.28,49.81,43.48,40.69,10.34,6.09,1.3,25.76,-,-,-,26.04
Debt Growth,11.04%,16.53%,386.49%,717.22%,3242.39%,57.99%,-,-,-,-1.08%,-,-,-,-
Common Stock,785.51,782.46,739.18,729.9,684.52,650.69,614.04,400.58,284.32,185.42,-,-,-,177.29
Retained Earnings,-322.57,-431.07,-244.41,-220.62,-132.55,-188.26,-77.08,-100.46,-80.03,-115.55,-,-,-,-134.59
Comprehensive Income,7.71,0,0,0,98.59,103.54,92.36,48.22,112.51,45.68,-,-,-,0
Shareholders' Equity,470.64,351.39,494.78,509.28,650.56,565.97,629.32,348.34,316.81,115.55,-,-,-,42.7
Total Liabilities and Equity,541.45,412.94,561.92,572.87,753.44,720.71,651.21,362.66,339.8,145.2,-,-,-,71.24
Net Cash / Debt,320.06,186.72,206.16,199.14,402.65,423.38,476.72,252.67,280.92,86.38,0,0,0,4.22
Net Cash / Debt Growth,-20.51%,-55.90%,-56.75%,-21.19%,43.33%,390.14%,-,-,-,1947.82%,-,-,-,-
Net Cash Per Share,1.40,-,1.06,1.12,2.26,-,3.06,1.95,2.21,-,-,-,-,-
Working Capital,339.86,215.49,238.13,230.94,431.14,442.02,468.94,251.11,276.22,75.67,-,-,-,21.85
Book Value Per Share,2.13,1.79,2.54,2.86,3.82,3.86,4.30,2.83,2.80,1.23,-,-,-,0.48
