Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,229.22,278.39,301.07,356.4,547.12,784.86,730.56,667.47,603,447.2,270.89,241.35,80.46,133.29,106.32,101.62,177.96,151.91,-,-,-,59.67
Cash & Cash Equivalents,229.22,278.39,301.07,356.4,547.12,784.86,730.56,667.47,603,447.2,270.89,241.35,80.46,133.29,106.32,101.62,177.96,151.91,0,0,0,59.67
Cash Growth,-58.10%,-64.53%,-58.79%,-46.60%,-9.27%,75.51%,169.69%,176.56%,649.41%,235.50%,154.78%,137.52%,-54.79%,-12.25%,-,-,-,154.59%,-,-,-,-
"Property, Plant & Equipment",59.08,58.52,57.08,56.56,55.11,51.8,51.28,51.36,51,51.08,48.76,45.82,46.17,46.3,44.48,44.78,44.88,39.69,-,-,-,35.9
Goodwill and Intangibles,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,-,-,-,0
Total Assets,"3,030.58","3,082.69","3,059.68","3,121.11","3,212.46","3,224.71","3,020.78","2,878.48","2,820.67","2,642.63","2,490.93","2,361.87","2,010.7","1,988.23","1,938.85","1,892.92","1,922.12","1,860.59",-,-,-,"1,724.26"
Total Liabilities,"2,753.94","2,816.93","2,816.27","2,867.52","2,947.59","2,926.56","2,722.1","2,585.55","2,535.76","2,357.16","2,212.85","2,090.75","1,746.53","1,736.33","1,693.47","1,655.01","1,719.93","1,666.89",-,-,-,"1,546.16"
Total Debt,4.14,4.26,4.38,4.49,4.61,3.84,3.94,4.04,4.14,4.23,4.33,4.42,4.51,4.6,4.69,9.93,16.2,11.34,-,-,-,11.52
Debt Growth,-10.28%,10.83%,11.01%,11.18%,11.41%,-9.24%,-8.87%,-8.53%,-8.27%,-8.04%,-7.70%,-55.49%,-72.15%,-59.41%,-,-,-,-1.58%,-,-,-,-
Common Stock,61.95,62.14,62.06,61.99,61.93,62.05,66.88,67.63,68.73,69.6,69.54,69.61,69.51,69.35,68.08,68.08,41.27,42.14,-,-,-,45.54
Retained Earnings,283.24,274.78,265.09,255.41,246.77,239.88,231.87,224.24,216.51,208.96,202.14,195.29,188.88,182.57,177.03,170.12,164.53,159.07,-,-,-,137.95
Comprehensive Income,-68.54,-71.17,-83.74,-63.8,-43.82,-3.77,-0.06,1.06,-0.33,6.92,6.4,6.22,5.79,-0.02,0.27,-0.29,-3.62,-7.51,-,-,-,-5.39
Shareholders' Equity,276.64,265.75,243.41,253.6,264.87,298.15,298.69,292.92,284.91,285.48,278.08,271.12,264.18,251.9,245.39,237.91,202.18,193.7,-,-,-,178.1
Total Liabilities and Equity,"3,030.58","3,082.69","3,059.68","3,121.11","3,212.46","3,224.71","3,020.78","2,878.48","2,820.67","2,642.63","2,490.93","2,361.87","2,010.7","1,988.23","1,938.85","1,892.92","1,922.12","1,860.59",-,-,-,"1,724.26"
Net Cash / Debt,225.08,274.13,296.7,351.91,542.51,781.02,726.62,663.43,598.86,442.97,266.56,236.93,75.95,128.69,101.63,91.69,161.77,140.57,0,0,0,48.14
Net Cash / Debt Growth,-58.51%,-64.90%,-59.17%,-46.96%,-9.41%,76.32%,172.59%,180.01%,688.47%,244.22%,162.28%,158.41%,-53.05%,-8.45%,-,-,-,191.97%,-,-,-,-
Book Value Per Share,38.53,36.99,33.88,35.34,36.89,40.98,41.05,40.10,38.98,38.97,37.95,37.02,36.08,34.48,33.59,32.59,28.04,26.86,-,-,-,-
