Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2019-12-31
Cash & Equivalents,949.6,"1,125.75","1,072.07","1,198.39","1,477.25",991.24,"1,800.57",-,-,875.06,669.02
Cash & Cash Equivalents,949.6,"1,125.75","1,072.07","1,198.39","1,477.25",991.24,"1,800.57",0,0,875.06,669.02
Cash Growth,-35.72%,13.57%,-40.46%,-,-,13.28%,169.14%,-,-,-,-
Receivables,193.14,202.64,178.92,248.13,207.82,185.32,244.61,-,-,220.07,459.37
"Property, Plant & Equipment",0,0,0,0,0,0,161.93,-,-,179.6,203.18
Total Assets,"7,967.32","7,941.74","8,596.72","8,587.08","9,664.33","8,962.01","10,770.03",-,-,"7,000.55","5,509.35"
Accounts Payable,382.57,238.03,403.57,389.37,430.87,961.35,"1,528.26",-,-,549.92,583
Total Liabilities,"4,309.53","4,202.23","4,828.69","4,522.15","5,238.99","1,700.57","2,166.6",-,-,"1,479.84","1,253.46"
Total Debt,444.73,444.57,444.4,444.04,443.97,444.44,496.07,-,-,570.43,566.95
Debt Growth,0.17%,0.03%,-10.42%,-,-,-22.09%,-12.50%,-,-,-,-
Common Stock,523.2,506.95,-0.46,4.79,-41.26,"1,606.59","3,506.72",-,-,"2,460.87","2,017.97"
Retained Earnings,-13.98,2.72,0.46,-4.79,41.26,0,-,-,-,-,-
Shareholders' Equity,509.22,509.67,0,0,0,"1,606.59","3,506.72",-,-,"2,460.87","2,017.97"
Total Liabilities and Equity,"4,818.75","4,711.9","4,828.69","4,522.15","5,238.99","3,307.17","5,673.32",-,-,"3,940.71","3,271.43"
Net Cash / Debt,504.87,681.18,627.67,754.36,"1,033.28",546.79,"1,304.49",0,0,304.63,102.07
Net Cash / Debt Growth,-51.14%,24.58%,-51.88%,-,-,79.49%,1178.06%,-,-,-,-
Net Cash Per Share,1.63,2.20,2.03,2.44,3.35,-,-,-,-,-,-
Book Value Per Share,6.41,6.43,-,-,-,5.23,11.42,-,-,8.02,-
