Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Cash & Equivalents,144.94,81.55,68.34,207.92,138.99,240.96,152.87,215.41,219.88,141.06,95.9,90.6,85.56,33.14,112.41,44.35,43.76,43.5,55.34,-,-,22.57,-,8.68
Cash & Cash Equivalents,144.94,81.55,68.34,207.92,138.99,240.96,152.87,215.41,219.88,141.06,95.9,90.6,85.56,33.14,112.41,44.35,43.76,43.5,55.34,0,0,22.57,0,8.68
Cash Growth,4.29%,-66.15%,-55.29%,-3.48%,-36.79%,70.82%,59.41%,137.75%,156.99%,325.63%,-14.69%,104.29%,95.51%,-23.80%,103.14%,-,-,92.74%,-,-,-,-,-,-
"Property, Plant & Equipment",10.89,10.9,11.33,10.89,11.37,11.75,12.13,12.09,12.37,12.78,13.15,13.54,15.1,15.36,15.63,13.89,14.1,2.27,1.42,-,-,1.24,-,1.27
Goodwill and Intangibles,7.74,7.79,7.85,7.91,7.98,8.05,8.12,8.2,8.28,8.36,8.44,8.53,8.61,8.69,8.12,8.22,8.34,8.44,0.08,-,-,0.1,-,0.12
Total Assets,"2,349","2,344.32","2,204.98","2,305.91","2,090.12","2,202.92","1,997.9","1,975.25","1,884.52","1,821.48","1,794.17","1,781.15","1,602.61","1,537.3","1,565.2","1,484.6","1,419.76","1,351.58","1,175.44",-,-,"1,053.22",-,909.31
Total Liabilities,"2,144.84","2,141.94","2,010.35","2,108.31","1,889.25","1,993.13","1,793.71","1,774.56","1,689.59","1,631.98","1,609.68","1,600.5","1,424.92","1,358.22","1,390.13","1,314.44","1,255.77","1,193.24","1,036.66",-,-,954.94,-,829.49
Total Debt,219.01,294.96,105.31,170.02,55.31,55.62,55.98,80.7,80.95,81.21,76.96,62.23,62.96,63.17,53.44,36.62,36.61,24.41,39.39,-,-,24.33,-,51.25
Debt Growth,295.97%,430.30%,88.12%,110.68%,-31.67%,-31.51%,-27.26%,29.68%,28.56%,28.55%,44.02%,69.92%,72.00%,158.83%,35.67%,-,-,0.33%,-,-,-,-,-,-
Common Stock,124.33,124.06,124.23,123.85,123.57,121.94,121.49,121.04,120.69,119.7,119.43,119.27,119.05,125.92,125.62,170.16,124.46,124.02,107.49,-,-,74.12,-,63.23
Retained Earnings,112.69,114.89,109.98,102.94,96.52,89.9,83.39,78.71,73.54,67.97,62.96,59.08,56.2,52.47,48.75,-,40.57,36.73,35.32,-,-,25.86,-,17.88
Comprehensive Income,-32.86,-36.57,-39.58,-29.19,-19.21,-2.04,-0.69,0.94,0.7,1.83,2.1,2.3,2.44,0.69,0.7,0,-1.03,-2.41,-4.03,-,-,-1.69,-,-1.3
Shareholders' Equity,204.16,202.38,194.64,197.6,200.87,209.8,204.19,200.69,194.93,189.5,184.49,180.65,177.69,179.08,175.07,170.16,163.99,158.34,138.78,-,-,98.28,-,79.81
Total Liabilities and Equity,"2,349","2,344.32","2,204.98","2,305.91","2,090.12","2,202.92","1,997.9","1,975.25","1,884.52","1,821.48","1,794.17","1,781.15","1,602.61","1,537.3","1,565.2","1,484.6","1,419.76","1,351.58","1,175.44",-,-,"1,053.22",-,909.31
Net Cash / Debt,-74.07,-213.41,-36.97,37.9,83.68,185.34,96.89,134.71,138.93,59.86,18.93,28.37,22.6,-30.03,58.97,7.73,7.16,19.09,15.95,0,0,-1.76,0,-42.56
Net Cash / Debt Growth,-,-,-,-71.87%,-39.77%,209.64%,411.75%,374.80%,514.79%,-,-67.89%,267.21%,215.70%,-,269.78%,-,-,-,-,-,-,-,-,-
Book Value Per Share,11.55,11.57,11.14,11.31,11.54,12.26,11.94,11.77,11.43,11.25,10.95,10.74,10.55,10.32,10.10,9.88,9.54,9.25,8.66,-,-,6.13,-,-
