Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Cash & Equivalents,141.03,144.48,107.33,117.45,136.92,176.03,222.59,183.86,188.99,159.83,90.71,89.94,-,-,-,40.62
Cash & Cash Equivalents,141.03,144.48,107.33,117.45,136.92,176.03,222.59,183.86,188.99,159.83,90.71,89.94,0,0,0,40.62
Cash Growth,3.01%,-17.92%,-51.78%,-36.12%,-27.55%,10.14%,145.38%,104.43%,-,-,-,121.40%,-,-,-,-
Receivables,78.52,47.86,73.35,53.51,43.73,44.5,48.82,39.57,33.03,32.74,40.56,34.81,-,-,-,26.58
"Property, Plant & Equipment",104.77,62.77,72.13,61.07,63.32,65.48,64.71,0,0,0,0,0,-,-,-,0
Goodwill and Intangibles,946.06,956.93,967.8,978.67,992.37,"1,003.11",11.66,12.28,13.12,13.95,14.79,15.62,-,-,-,20.65
Total Assets,"3,503.14","3,575.59","3,906.18","4,188.13","4,036.63","3,831.49","1,622.77","1,320.77",994.82,817.72,549.39,680.83,-,-,-,491.72
Accounts Payable,285.01,280.79,265.93,279.9,263.98,217.43,172.59,161.25,97.25,99.76,44.2,39.8,-,-,-,36.55
Total Liabilities,"1,892.96","1,934.49","2,156.81","2,363.8","2,218.58","2,099.73",861.63,661.08,460.69,393.33,393.32,443.86,-,-,-,346.06
Total Debt,207.55,135.2,146.27,133.84,136.2,188.45,75.51,0,0,0,142.97,143.14,-,-,-,143.85
Debt Growth,52.39%,-28.26%,93.70%,-,-,-,-47.18%,-,-,-,-,-0.49%,-,-,-,-
Common Stock,606.61,596.46,593.27,587.35,578.23,525.23,205.66,188.85,121.36,120.37,134.91,216.05,-,-,-,128.43
Retained Earnings,144.5,164.04,205.95,229.62,197.22,158.13,99.06,60.41,24.79,-0.79,-,0,-,-,-,-
Comprehensive Income,0.61,0.67,0.59,0.66,0.25,0.27,0.22,0.16,0.05,-0.02,0.31,0.18,-,-,-,0.28
Shareholders' Equity,751.72,761.18,799.8,817.63,775.7,683.63,304.93,249.41,146.2,119.56,135.21,216.23,-,-,-,128.71
Total Liabilities and Equity,"2,644.68","2,695.66","2,956.61","3,181.42","2,994.27","2,783.36","1,166.56",910.49,606.89,512.89,528.54,660.09,-,-,-,474.77
Net Cash / Debt,-66.52,9.28,-38.94,-16.4,0.72,-12.42,147.08,183.86,188.99,159.83,-52.26,-53.21,0,0,0,-103.23
Net Cash / Debt Growth,-,-,-,-,-99.62%,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-1.07,0.15,-0.64,-0.26,0.01,-0.27,3.43,5.24,5.78,5.47,-,-,-,-,-,-
Book Value Per Share,12.09,12.39,13.08,16.41,13.40,16.38,7.81,8.07,5.00,4.09,1.43,2.28,-,-,-,-
