Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.12,0.11,0.15,0.04,0.4,0.43,0.89,0.03,0.03,0
Cash & Cash Equivalents,0.12,0.11,0.15,0.04,0.4,0.43,0.89,0.03,0.03,0
Cash Growth,-69.44%,-75.28%,-83.23%,46.15%,1513.12%,-,-,-,-,-
Other Current Assets,0.22,0.42,0.65,0.87,1.03,1.24,1.46,1.21,0.81,0
Total Current Assets,0.34,0.53,0.8,0.91,1.44,1.67,2.35,1.23,0.83,0
Long-Term Investments,352.76,348.01,347.24,345.61,345.22,345.07,345.03,0,0,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.08
Total Long-Term Assets,352.76,348.01,347.24,345.61,345.22,345.07,345.03,0,0,0.08
Total Assets,353.11,348.54,348.04,346.52,346.66,346.74,347.38,1.23,0.83,0.08
Accounts Payable,1.98,0.79,0.76,0.56,0.54,0.49,0.29,0,0,0
Current Debt,3.3,3.3,3.3,3,3,2,2,0.16,-,0
Other Current Liabilities,0.07,0.07,0.07,0.07,0.07,0.07,0.07,1.04,-,0.06
Total Current Liabilities,5.35,4.15,4.12,3.63,3.61,2.56,2.36,1.21,-,0.06
Other Long-Term Liabilities,12.08,12.08,12.08,12.08,12.08,12.08,12.08,0,-,0
Total Long-Term Liabilities,12.08,12.08,12.08,12.08,12.08,12.08,12.08,0,-,0
Total Liabilities,17.42,16.23,16.2,15.7,15.69,14.63,14.43,1.21,0.81,0.06
Total Debt,3.3,3.3,3.3,3,3,2,2,0.16,0.14,0
Debt Growth,10.00%,65.00%,65.00%,1723.97%,1992.40%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-16.05,-15.61,-15.17,-14.18,-14.03,-12.9,-12.06,-0,-0,-0
Shareholders' Equity,-16.05,-15.61,-15.17,-14.18,-14.03,-12.9,-12.06,0.03,0.03,0.03
Total Liabilities and Equity,1.37,0.62,1.03,1.52,1.66,1.74,2.38,1.23,0.83,0.08
Net Cash / Debt,-3.18,-3.19,-3.15,-2.96,-2.6,-1.57,-1.11,-0.14,-0.12,0
Net Cash Per Share,-0.07,-0.07,-0.07,-0.07,-0.06,-0.07,-0.03,-0.02,-0.01,-
Working Capital,-5,-3.62,-3.33,-2.72,-2.17,-0.89,-0.01,0.03,-,-0.06
Book Value Per Share,-0.37,-0.36,-0.35,-0.33,-0.33,-0.54,-0.32,0.00,0.00,0.00
