Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.63,0.35,0.68,0.86,0.03,-
Short-Term Investments,235.59,233.77,232.64,0,0,-
Cash & Cash Equivalents,236.22,234.12,233.31,0.86,0.03,0
Cash Growth,696457.23%,-,-,-,-,-
Receivables,0.01,0.02,0.02,0.02,0,-
Other Current Assets,0.3,0.39,0.43,0.43,0,-
Total Current Assets,236.52,234.53,233.76,1.3,0.03,-
Long-Term Investments,0,0,0,232.32,0,-
Other Long-Term Assets,0,0,0.07,0.17,0.7,-
Total Long-Term Assets,0,0,0.07,232.49,0.7,-
Total Assets,236.52,234.53,233.83,233.8,0.74,-
Accounts Payable,0.05,0.02,0.05,0.03,0,-
Current Debt,0.81,0.35,0,0,0.13,-
Other Current Liabilities,7.01,10.11,9.58,1.04,0.59,-
Total Current Liabilities,7.86,10.47,9.62,1.07,0.71,-
Other Long-Term Liabilities,0,0,0,8.05,0,-
Total Long-Term Liabilities,0,0,0,8.05,0,-
Total Liabilities,7.86,10.47,9.62,9.12,0.71,-
Total Debt,0.81,0.35,0,0,0.13,-
Debt Growth,544.94%,-,-,-,-,-
Common Stock,0,0,0,0,0.03,-
Retained Earnings,-6.92,-9.72,-8.43,-7.65,-0,-
Shareholders' Equity,-6.92,-9.72,-8.43,-7.64,0.02,-
Total Liabilities and Equity,0.94,0.76,1.19,1.48,0.74,-
Net Cash / Debt,235.41,233.77,233.31,0.86,-0.09,0
Net Cash Per Share,7.33,7.41,7.39,0.05,-0.01,-
Working Capital,228.66,224.06,224.14,0.23,-0.68,-
Book Value Per Share,-0.22,-0.31,-0.27,-0.47,0.00,-
