Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.5,0.94,1.15,1.18,1.49,0.03,0
Cash & Cash Equivalents,0.5,0.94,1.15,1.18,1.49,0.03,0
Cash Growth,-66.50%,3383.65%,-,-,-,-,-
Other Current Assets,0.45,0.51,0.49,0.49,0.48,0.21,-
Total Current Assets,0.95,1.45,1.64,1.67,1.97,0.24,-
Long-Term Investments,306.52,304.47,303.1,303.04,303.01,0,-
Other Long-Term Assets,0,0.04,0.16,0.28,0.4,0,-
Total Long-Term Assets,306.52,304.51,303.26,303.32,303.41,0,-
Total Assets,307.47,305.96,304.9,304.98,305.37,0.24,0.19
Accounts Payable,2.27,0,0,0,0.97,0.19,0.17
Other Current Liabilities,0,1.32,1.02,0.9,0,-,-
Total Current Liabilities,2.27,1.32,1.02,0.9,0.97,-,-
Other Long-Term Liabilities,15.94,15.64,14.32,14.66,14.28,-,-
Total Long-Term Liabilities,15.94,15.64,14.32,14.66,14.28,-,-
Total Liabilities,18.22,16.97,15.34,15.56,15.25,0.22,0.17
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-16.94,-14.68,-13.54,-13.62,-12.88,-0,-0
Shareholders' Equity,-16.93,-14.68,-13.54,-13.62,-12.88,0.02,0.02
Total Liabilities and Equity,1.28,2.28,1.8,1.95,2.37,0.24,0.19
Net Cash / Debt,0.5,0.94,1.15,1.18,1.49,0.03,0
Net Cash / Debt Growth,-66.50%,3383.65%,-,-,-,-,-
Net Cash Per Share,0.01,0.03,0.03,0.04,0.11,0.00,-
Working Capital,-1.33,0.12,0.62,0.76,1,-,-
Book Value Per Share,-0.45,-0.39,-0.36,-0.45,-0.92,0.00,0.00
