Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Cash & Equivalents,158.65,156.27,126.21,120.89,104.16,121.04,90.01,128.01,132.54,77.09,78.7,62.98,52.55,100.41,86.31,78.13,102.87,75.09,64.74,79.67,56.66,81.75,96.68,93.43,75.56,50.75,103.76,22.24,-,24.54,-,-,23.96
Cash & Cash Equivalents,158.65,156.27,126.21,120.89,104.16,121.04,90.01,128.01,132.54,77.09,78.7,62.98,52.55,100.41,86.31,78.13,102.87,75.09,64.74,79.67,56.66,81.75,96.68,93.43,75.56,50.75,103.76,22.24,0,24.54,0,0,23.96
Cash Growth,52.31%,29.11%,40.22%,-5.56%,-21.41%,57.01%,14.38%,103.26%,152.19%,-23.22%,-8.82%,-19.40%,-48.91%,33.72%,33.31%,-1.93%,81.57%,-8.14%,-33.04%,-14.73%,-25.01%,61.07%,-6.82%,320.17%,-,106.78%,-,-,-,-,-,-,-
Receivables,347.57,326.21,284.91,232.35,215.68,193.97,175.74,171.22,151.4,141.86,135.95,123.99,113.61,107.06,98.77,100.09,90.28,81.04,87.41,78.46,73.63,69.38,65.59,58.79,59.35,95.87,100.4,97.43,-,123.15,-,-,90.48
Goodwill and Intangibles,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,-,3.54,-,-,3.54
Total Assets,"2,997.82","2,747.12","2,464.23","2,198.12","2,114.56","2,025.66","1,898.9","1,806.28","1,645.34","1,546.9","1,468.59","1,289.35","1,165.49","1,090.55","1,036.45",894.81,852.87,773.06,770.5,728.9,687.77,667.85,662.99,622.97,594.46,614.39,663.27,563.59,-,545.28,-,-,437.6
Accounts Payable,45.62,63.39,48.54,34.43,24.99,39.36,31.82,31.92,21.51,26.32,22.04,24.34,18.19,19.52,15.58,14.42,10.37,11.66,11.04,7.94,6.41,9.75,9.5,8.23,6.72,12.84,10.15,9.01,-,11.24,-,-,10.13
Deferred Revenue,563.73,499.68,471.74,442.48,387.62,347.73,334.62,317.46,284.83,260.99,247.08,229.6,207.66,187.37,170.93,157.75,140.74,128.25,125.57,120.74,110.36,103.11,102.3,100.19,93.74,89.34,88.28,86.88,-,81.71,-,-,75.25
Total Liabilities,"2,182.09","2,001.67","1,844.78","1,564.05","1,448.99","1,326.32","1,239.73","1,176.64","1,057.77",970.66,934.46,833.23,764.16,684.67,646.41,586.9,563.98,509.08,512.6,480.96,447.92,429.66,431.24,396.92,377.98,404.18,453.39,433.77,-,431.83,-,-,345.02
Total Debt,195.81,195.75,123.16,42.76,42.73,42.7,42.66,42.63,42.6,42.57,40.14,33.11,24.08,16.74,11.21,0,0,0,0,0,0,0,0,0,0,0,27.22,29.68,-,29.6,-,-,27.48
