Metrics,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30
Cash & Equivalents,"4,360.7","3,661.32","4,427.41","2,945.34","2,420.21","2,280.66","2,558.36","2,707.15","3,008.36","3,026.42","3,237.99","3,269.14","2,716.79","2,822.71","2,617.31","3,034.49",919.44,"1,230.08","2,886.8","3,662.87","3,153.79","2,607.92","2,274.71","2,186.51","2,080.61","2,128.97","1,760.16","1,330.09",319.02
Cash & Cash Equivalents,"4,360.7","3,661.32","4,427.41","2,945.34","2,420.21","2,280.66","2,558.36","2,707.15","3,008.36","3,026.42","3,237.99","3,269.14","2,716.79","2,822.71","2,617.31","3,034.49",919.44,"1,230.08","2,886.8","3,662.87","3,153.79","2,607.92","2,274.71","2,186.51","2,080.61","2,128.97","1,760.16","1,330.09",319.02
Cash Growth,80.18%,60.54%,73.06%,8.80%,-19.55%,-24.64%,-20.99%,-17.19%,10.73%,7.22%,23.71%,7.73%,195.48%,129.47%,-9.34%,-17.16%,-70.85%,-52.83%,26.91%,67.52%,51.58%,22.50%,29.23%,64.39%,552.18%,-,-,-,-
Receivables,"2,113.98","1,399.36","1,233.65","2,290.18","1,027.38","1,293.26","1,060.09","1,756.92","1,684.74","1,587.69","1,617.76","3,390.94","1,745.73","1,818.73",340.92,"5,311.39",128.48,126.47,140.19,138.59,200.92,20.93,41.29,30.26,180.81,156.31,161.88,169.88,202.69
"Property, Plant & Equipment",111.17,121.32,140.87,183.3,186.22,217.27,232.82,252.87,324.52,409.02,479.91,529.99,597.51,628.23,629.12,266,96.64,96.77,83.28,82.25,81.52,59.84,42.31,35.5,29.95,22.28,20.27,16.18,7.27
Goodwill and Intangibles,0.79,1.61,2.55,9.96,34.71,44.68,62.06,65.53,124.01,145.81,149.92,160,143.07,141.48,143.32,145.46,134.58,0,0,0,0,0,0,0,0,0,0,0,0
Total Assets,"8,536.1","7,986.46","7,999.35","7,739.44","7,556.41","7,200.16","6,945.23","6,702.25","8,371.36","8,527.62","9,076.78","9,644.42","10,388.64","10,904.28","11,058.28","14,251.82","7,296.11","8,165.81","9,408.28","7,518.66","6,982.85","5,989.53","5,376.84","4,783.39","4,031","3,041.34","2,635.22","2,190","1,002.47"
Accounts Payable,241.87,315.49,492.04,503.88,562.54,613.81,834.75,"1,032.84",328.25,224.65,151.1,150.23,352.13,223.35,371.65,"9,209.71",503,"1,385.46",182.61,223.83,190.57,261.53,396.51,443.99,376.89,190.17,281.22,261.07,53.13
Deferred Revenue,65.54,0.53,1.71,12.38,11.86,21.14,44.41,50.9,135.59,190.71,254.93,358.2,381.9,390.62,459.81,569.47,376.91,294.68,334.66,222.91,194.65,173.39,168.42,164.32,151.67,141.33,132.25,117.48,24.47
Total Liabilities,"2,505.28","2,438.8","2,740.5","2,918.01","3,064.96","3,037.32","2,987.05","2,924.59","4,030.32","4,267.45","4,592.17","5,154.33","7,464.75","8,223.24","8,525","14,615.23","2,521.94","3,584.85","5,060.32","4,548.61","4,487.18","3,236.78","2,888.18","2,643.47","2,289.94","1,661.22","1,528.46","1,213.06",671.48
