Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Cash & Equivalents,131.67,66.05,36.5,67.94,122.1,109.73,107.1,105.34,-,55.38,-,-,110.58
Cash & Cash Equivalents,131.67,66.05,36.5,67.94,122.1,109.73,107.1,105.34,0,55.38,0,0,110.58
Cash Growth,7.83%,-39.81%,-65.92%,-35.51%,-,98.14%,-,-,-,-,-,-,-
"Property, Plant & Equipment",40.77,38.62,35.76,34.92,35.2,32.35,28.97,24.8,-,21.85,-,-,19.33
Total Assets,"1,069.84",938.9,930.28,921.38,888.54,917.1,943.74,"1,198.23",-,"1,544.69",-,-,531.24
Total Liabilities,979.5,847.01,839.64,828.08,793.66,820.81,849.45,"1,105.42",-,"1,473.62",-,-,479.91
Total Debt,36.93,37.37,40.3,53.08,13.55,82.37,158.54,457.34,-,894.89,-,-,24.46
Debt Growth,172.58%,-54.63%,-74.58%,-88.39%,-,-90.80%,-,-,-,-,-,-,-
Common Stock,62.35,62.13,61.73,61.25,60.91,60.76,60.88,60.09,-,57.68,-,-,48.87
Retained Earnings,31.17,33.48,32.69,34.62,35.43,35.95,33.62,32.85,-,13.39,-,-,2.46
Comprehensive Income,-3.18,-3.72,-3.78,-2.57,-1.46,-0.42,-0.2,-0.12,-,0,-,-,0
Shareholders' Equity,90.34,91.88,90.64,93.3,94.88,96.29,94.3,92.81,-,71.07,-,-,51.33
Total Liabilities and Equity,"1,069.84",938.9,930.28,921.38,888.54,917.1,943.74,"1,198.23",-,"1,544.69",-,-,531.24
Net Cash / Debt,94.73,28.67,-3.81,14.86,108.55,27.36,-51.45,-352,0,-839.51,0,0,86.12
Net Cash / Debt Growth,-12.73%,4.80%,-,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,22.04,22.75,22.50,23.25,23.64,24.23,24.38,24.00,-,18.38,-,-,-
