Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Cash & Equivalents,0.85,1.17,1.51,1.62,1.71,0.05
Cash & Cash Equivalents,0.85,1.17,1.51,1.62,1.71,0.05
Cash Growth,-50.24%,2245.16%,-,-,-,-
Other Current Assets,0.07,0.02,0.09,0.04,0.05,0.09
Total Current Assets,0.92,1.19,1.6,1.66,1.76,0.14
Long-Term Investments,88.99,88.1,87.47,87.18,87.11,0
Total Long-Term Assets,88.99,88.1,87.47,87.18,87.11,0
Total Assets,89.91,89.3,89.07,88.84,88.87,0.14
Accounts Payable,0.43,0.38,0.23,0.12,0.09,0
Current Debt,0,0,0,0,0,0.08
Other Current Liabilities,0,0,0.02,0.02,0.02,0.04
Total Current Liabilities,0.43,0.38,0.25,0.14,0.11,0.12
Other Long-Term Liabilities,3.02,3.02,3.02,3.02,3.02,0
Total Long-Term Liabilities,3.02,3.02,3.02,3.02,3.02,0
Total Liabilities,3.45,3.4,3.27,3.16,3.13,0.12
Total Debt,0,0,0,0,0,0.08
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-2.13,-2.03,-1.47,-1.43,-1.37,-0.01
Shareholders' Equity,-2.13,-2.03,-1.47,-1.43,-1.37,0.02
Total Liabilities and Equity,1.32,1.36,1.8,1.72,1.76,0.14
Net Cash / Debt,0.85,1.17,1.51,1.62,1.71,-0.03
Net Cash / Debt Growth,-50.24%,-,-,-,-,-
Net Cash Per Share,0.08,0.10,0.13,0.14,0.39,-0.01
Working Capital,0.49,0.82,1.35,1.52,1.65,0.02
Book Value Per Share,-0.19,-0.18,-0.13,-0.13,-0.32,0.01
