Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.05,0.05,0.26,0.35,0.72,0
Cash & Cash Equivalents,0.05,0.05,0.26,0.35,0.72,0
Cash Growth,-93.32%,-,-,-,-,-
Receivables,0.17,0,0,0,0,0
Other Current Assets,0.14,0.19,0.24,0.29,0.01,-
Total Current Assets,0.36,0.24,0.5,0.64,0.72,-
Long-Term Investments,19.54,117.42,116.9,116.74,116.73,-
Total Long-Term Assets,19.54,117.42,116.9,116.74,116.73,-
Total Assets,19.9,117.66,117.4,117.38,117.45,0.16
Accounts Payable,0.14,0.11,0.08,0.05,0.02,0
Current Debt,0.26,0.09,0.09,0.09,0.09,0.12
Other Current Liabilities,0.69,0.02,0,0,0.04,0.02
Total Current Liabilities,1.09,0.21,0.17,0.14,0.15,0.14
Other Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,0
Total Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,0
Total Liabilities,5.11,4.24,4.2,4.17,4.18,0.14
Total Debt,0.26,0.09,0.09,0.09,0.09,0.12
Debt Growth,192.67%,-28.16%,-,-,-,-
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-4.92,-4,-3.53,-3.51,-3.45,-0.01
Shareholders' Equity,-4.92,-4,-3.53,-3.51,-3.45,0.01
Total Liabilities and Equity,0.19,0.24,0.67,0.65,0.72,0.16
Net Cash / Debt,-0.21,-0.04,0.17,0.27,0.63,-0.12
Net Cash Per Share,-0.06,-0.01,0.05,0.09,0.21,-0.06
Working Capital,-0.72,0.03,0.33,0.5,0.57,-
Book Value Per Share,-1.45,-1.18,-1.04,-1.14,-1.15,0.01
