Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,81.95,81.45,0.36,0.3,0,0
Short-Term Investments,0,0,80.37,80.02,0,0
Cash & Cash Equivalents,81.95,81.45,80.74,80.32,0,0
Cash Growth,1655496.71%,-,-,-,-,-
Other Current Assets,0.08,0.11,0.19,0.28,0.23,0.08
Total Current Assets,82.03,81.56,80.93,80.59,0.24,0.08
Total Assets,82.03,81.56,80.93,80.59,0.24,0.08
Current Debt,0.53,0.48,0.18,0,0.19,0.06
Other Current Liabilities,3.34,3.37,2.96,2.39,0.03,0
Total Current Liabilities,3.87,3.85,3.14,2.39,0.22,0.06
Total Liabilities,3.87,3.85,3.14,2.39,0.22,0.06
Total Debt,0.53,0.48,0.18,0,0.19,0.06
Debt Growth,175.74%,661.02%,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-3.74,-3.33,-2.58,-1.82,-0.01,-0
Shareholders' Equity,-3.74,-3.33,-2.58,-1.82,0.02,0.02
Total Liabilities and Equity,0.14,0.52,0.56,0.58,0.24,0.08
Net Cash / Debt,81.42,80.97,80.56,80.32,-0.19,-0.06
Net Cash Per Share,8.17,11.12,8.09,11.14,-0.10,-
Working Capital,78.16,77.71,77.79,78.2,0.02,0.02
Book Value Per Share,-0.38,-0.46,-0.26,-0.25,0.01,0.14
