Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Cash & Equivalents,46.4,71.19,48.92,40.71,35.38,58.08,83.36,27.81,47.3,78.97,68.66,56.16,22.11,48.57,69.82,87.16,65.57,49.66,146.35,33.95,29.64,34.94,39.65,36.34,37.66,45.93,49.79,34.47,32.68,30.1,24.61,24.23,22.15,23.45,19.64,21.67,-,0,-
Cash & Cash Equivalents,46.4,71.19,48.92,40.71,35.38,58.08,83.36,27.81,47.3,78.97,68.66,56.16,22.11,48.57,69.82,87.16,65.57,49.66,146.35,33.95,29.64,34.94,39.65,36.34,37.66,45.93,49.79,34.47,32.68,30.1,24.61,24.23,22.15,23.45,19.64,21.67,0,0,0
Cash Growth,31.16%,22.58%,-41.31%,46.40%,-25.21%,-26.45%,21.40%,-50.49%,113.95%,62.57%,-1.65%,-35.56%,-66.28%,-2.19%,-52.29%,156.75%,121.25%,42.16%,269.13%,-6.57%,-21.31%,-23.93%,-20.38%,5.43%,15.24%,52.57%,102.32%,42.27%,47.54%,28.39%,25.31%,11.82%,-,-,-,-,-,-,-
Receivables,34.38,36.15,33.9,33.83,34.76,30.87,41.76,32.29,32.93,37.55,38.57,33.61,64.16,32.08,37.92,33.68,34.95,30.37,51.54,43.35,37.42,32.19,31.64,25.03,24.11,19.17,17.5,19.83,16.74,14.19,20.94,11.82,15.12,21.15,13.65,12.92,-,0,-
Total Assets,"3,378.94","3,354.93","3,347.99","3,404.78","3,361.84","3,295.81","3,168.11","3,180.06","3,128.34","3,097.52","3,032.49","2,943.56","3,103.53","3,266.06","3,132.13","2,791.32","2,650.12","2,448.67","2,521.77","2,205.94","2,078.42","1,928.02","1,950.62","1,949.83","1,880.94","1,656.02","1,617.18","1,584.6","1,572.27","1,588.15","1,569.98","1,392.1","1,487.58","1,514.92","1,398.14","1,358.11",-,650.11,-
Accounts Payable,20.17,16.9,19.08,19.35,38.84,26.13,42.62,33.38,99.21,45.48,34.68,58.46,37.11,20.4,134.02,101.19,36.55,36.42,111.04,74.17,59.46,14.6,81.8,47.92,72.43,14.47,57.47,27.3,30.5,17.09,12.73,10.96,10.69,37.23,41.69,22.07,-,0,-
Total Liabilities,"2,040.44","2,028.74","2,002.9","2,039.58","1,994","1,953.2","1,863.15","1,868.97","1,865.54","1,860.63","1,835.33","1,806.69","2,014.09","1,982.59","1,962.85","1,710.4","1,566.84","1,442.4","1,488.24","1,173.3","1,045.42",893.04,918.53,918.49,934.2,717.46,768.97,741.28,750.42,751.24,691.28,583.78,681.08,712.75,650.68,595.56,-,0,-
Total Debt,"1,994.07","1,980.66","1,964.73","1,999.51","1,942.52","1,907.19","1,808.49","1,816.59","1,752.89","1,797.59","1,788.24","1,731.22","1,964.19","1,942.3","1,810.78","1,587.52","1,507.9","1,384.1","1,354.39","1,078.71",975.04,869.5,827.1,865.34,853.6,696.74,703.67,707.84,713.49,728.07,671.83,567.86,663.91,670.61,600.83,568.1,-,0,-
Debt Growth,2.65%,3.85%,8.64%,10.07%,10.82%,6.10%,1.13%,4.93%,-10.76%,-7.45%,-1.24%,9.05%,30.26%,40.33%,33.70%,47.17%,54.65%,59.18%,63.75%,24.66%,14.23%,24.80%,17.54%,22.25%,19.64%,-4.30%,4.74%,24.65%,7.47%,8.57%,11.82%,-0.04%,-,-,-,-,-,-,-
Common Stock,"1,306.9","1,306.95","1,314.72","1,311.8","1,295.3","1,273.78","1,271.69","1,271.69","1,270.64","1,270.64","1,288.82","1,288.82","1,288.82","1,288.82","1,192.76","1,098.09","1,096.82","1,036.39","1,056.56","1,056.56","1,054.23","1,054.23","1,088.23","1,086.53","1,003.57","1,002.1",898.93,897.44,898.96,900.35,900.49,820.15,818.84,817.71,734.58,733.14,-,633.84,-
