Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.48,0.9,0.99,1.05,1.37,1.63,1.79,2.2,0.03
Cash & Cash Equivalents,0.48,0.9,0.99,1.05,1.37,1.63,1.79,2.2,0.03
Cash Growth,-65.17%,-45.09%,-44.46%,-52.42%,4445.09%,-,-,-,-
Receivables,0,0,0,0,0,0,0.02,0,0
Other Current Assets,0.17,0.24,0.39,0.5,0.55,0.51,0.52,0.51,-
Total Current Assets,0.64,1.14,1.38,1.54,1.92,2.14,2.33,2.71,-
Long-Term Investments,353.12,349.55,345.99,345.18,345.02,345.02,345.01,345,-
Other Long-Term Assets,0,0,0,0.55,1.2,0.22,0.34,0.47,-
Total Long-Term Assets,353.12,349.55,345.99,345.73,346.22,345.23,345.35,345.47,-
Total Assets,353.77,350.68,347.37,347.27,348.14,347.38,347.68,348.18,0.48
Accounts Payable,0.08,0.21,0.11,0.18,0.64,0.37,0.24,0.35,0
Other Current Liabilities,1.7,0.93,0.29,0.01,0,0,0,0,-
Total Current Liabilities,1.78,1.14,0.4,0.19,0.64,0.37,0.24,0.35,-
Other Long-Term Liabilities,20.55,18.81,19.7,18.28,20.69,43.71,31.52,43.13,-
Total Long-Term Liabilities,20.55,18.81,19.7,18.28,20.69,43.71,31.52,43.13,-
Total Liabilities,22.33,19.95,20.1,18.47,21.33,44.08,31.76,43.47,0.47
Total Debt,0,0,0,0,0,0,0,0,0.12
Common Stock,0,0,0,0,0,0,0,0,0.03
Retained Earnings,-21.69,-18.81,-18.72,-16.38,-18.22,-41.71,-29.09,-40.3,-0.01
Shareholders' Equity,-21.68,-18.81,-18.72,-16.38,-18.21,-41.71,-29.09,-40.3,0.01
Total Liabilities and Equity,0.64,1.14,1.38,2.09,3.12,2.36,2.67,3.18,0.48
Net Cash / Debt,0.48,0.9,0.99,1.05,1.37,1.63,1.79,2.2,-0.08
Net Cash / Debt Growth,-65.17%,-45.09%,-44.46%,-52.42%,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.02,0.03,0.05,0.04,0.16,-0.03
Working Capital,-1.13,-0,0.98,1.35,1.27,1.78,2.09,2.36,-
Book Value Per Share,-0.50,-0.44,-0.43,-0.38,-0.42,-1.38,-0.68,-2.97,0.01
