Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-13
Cash & Equivalents,7.59,10.3,0.8,0.86,1.5,0.29,0.58,0.71,0
Cash & Cash Equivalents,7.59,10.3,0.8,0.86,1.5,0.29,0.58,0.71,0
Cash Growth,405.67%,3488.77%,38.13%,20.86%,-,-,-,-,-
Other Current Assets,0.04,0.13,0.21,0.3,0.25,0.25,0.43,0.5,-
Total Current Assets,7.63,10.43,1.01,1.15,1.75,0.54,1.01,1.21,-
Long-Term Investments,29.71,260.19,258.97,258.81,258.8,258.79,258.77,258.76,-
Other Long-Term Assets,0,0,0,0,0.04,0.11,0,0,-
Total Long-Term Assets,29.71,260.19,258.97,258.81,258.84,258.89,258.77,258.76,-
Total Assets,37.34,270.63,259.98,259.96,260.59,259.43,259.78,259.96,0.07
Accounts Payable,2.65,2.57,2.31,1.77,1.67,2.43,1.13,0.25,0
Other Current Liabilities,9.31,2.31,0.05,0,0,0,0,0,0.05
Total Current Liabilities,11.96,4.88,2.36,1.77,1.67,2.43,1.13,0.25,0.05
Other Long-Term Liabilities,0.05,0,0.05,0.15,0.23,0.19,0.16,0.1,0
Total Long-Term Liabilities,0.05,0,0.05,0.15,0.23,0.19,0.16,0.1,0
Total Liabilities,12.01,4.88,2.41,1.92,1.9,2.62,1.28,0.34,0.05
Common Stock,0,0,0,0,0,0,6.4,5.27,0.03
Retained Earnings,4.98,5.79,-1.4,-0.77,-0.11,-1.97,-1.4,-0.27,-0
Shareholders' Equity,4.98,5.79,-1.4,-0.77,-0.11,-1.97,5,5,0.02
Total Liabilities and Equity,16.99,10.67,1.01,1.15,1.79,0.64,6.28,5.34,0.07
Net Cash / Debt,7.59,10.3,0.8,0.86,1.5,0.29,0.58,0.71,0
Net Cash / Debt Growth,405.67%,3488.77%,38.13%,20.86%,-,-,-,-,-
Net Cash Per Share,0.25,0.31,0.02,0.03,0.05,0.01,0.02,0.06,-
Working Capital,-4.33,5.55,-1.35,-0.61,0.08,-1.89,-0.12,0.96,-
Book Value Per Share,0.16,0.17,-0.04,-0.02,-0.00,-0.06,0.15,0.43,0.01
