Metrics,2023-01-31,2022-10-31,2022-07-31,2022-01-31,2021-10-31,2021-07-31,2021-01-31,2020-07-31,2020-01-31,2019-07-31,2019-01-31,2018-07-31,2017-07-31
Cash & Equivalents,0.92,1.96,1.89,3.86,-,5.83,2.11,0.78,2.33,6.62,0.87,0.07,0.14
Short-Term Investments,0.07,0.06,0.03,2.44,-,1.03,3.75,2.21,0.95,0,0.02,2.75,0.01
Cash & Cash Equivalents,0.99,2.02,1.92,6.3,0,6.86,5.86,2.99,3.28,6.62,0.88,2.82,0.16
Cash Growth,-,-70.62%,-67.17%,110.84%,-,3.68%,562.65%,5.78%,2012.40%,-,-,-,-
Receivables,2.51,0.96,0.76,2.3,-,2.3,0.31,0,1.01,1.47,1.45,0.15,0.01
Other Current Assets,3.29,3.37,3.31,0.76,-,0.69,2.9,2.25,2.56,2.5,2.02,0.72,1.07
Total Current Assets,6.79,6.35,5.99,9.35,-,9.85,9.08,5.24,6.85,10.59,4.35,3.7,1.23
"Property, Plant & Equipment",1.53,1.65,1.66,0.67,-,1.32,0.94,1.23,1.55,0.05,0.04,0.05,0.04
Long-Term Investments,0,0.43,0.34,0,-,0,0,0,1.29,1.28,0,0,0
Goodwill and Intangibles,0.11,0.13,0.15,0.19,-,0.23,0.28,0.33,0.42,0.43,0.43,0,0
Other Long-Term Assets,0,0,0,0,-,0,0,38.99,0.05,0,0,0,0
Total Long-Term Assets,1.64,2.21,2.14,0.87,-,1.55,1.21,40.55,3.3,1.76,0.47,0.05,0.04
Total Assets,8.43,8.56,8.14,10.22,-,11.4,10.29,45.79,10.16,12.34,4.82,3.75,1.27
Accounts Payable,0,0,0,0,-,0,0,0,0,0,0,0.03,0.58
Deferred Revenue,0.07,0.07,0.09,0.27,-,0.37,0.64,0.51,0.18,0.42,0.16,0.55,1.01
Current Debt,0.51,0.52,0.43,0.26,-,0.38,0.37,0.43,0.59,0,0,0,0
Other Current Liabilities,1.91,2.71,2.27,2.03,-,0.57,1.12,6.84,0.74,0.73,1.44,1.15,0.25
Total Current Liabilities,2.49,3.31,2.8,2.56,-,1.33,2.14,7.78,1.5,1.14,1.59,1.73,1.85
Long-Term Debt,0.83,0.95,0.99,0.27,-,0.39,0.04,0.2,0.54,0,0,0,0
Other Long-Term Liabilities,0,0,0,0,-,0,0,3.18,0,0,0,0,0
Total Long-Term Liabilities,0.83,0.95,0.99,0.27,-,0.39,0.04,3.38,0.54,0,0,0,0
Total Liabilities,3.31,4.25,3.78,2.83,-,1.71,2.18,11.17,2.04,1.14,1.59,1.73,1.85
Total Debt,1.34,1.47,1.42,0.53,-,0.77,0.42,0.64,1.13,0,0,0,0
Debt Growth,-,90.98%,240.55%,-16.31%,-,-,-,-,-,-,-,-,-
Common Stock,29.56,29.56,29.86,31.86,-,31.79,28.48,30.96,9.89,9.89,1.17,1.03,0.06
Retained Earnings,-24.44,-25.25,-25.14,-24.22,-,-22.06,-20.32,-13.49,-1.66,1.39,2.09,1.04,-0.69
Comprehensive Income,0,0,0,-0.18,-,-0.18,-0.05,-0.06,-0.12,-0.08,-0.02,-0.06,0.06
Shareholders' Equity,5.12,4.31,4.72,7.46,-,9.56,8.11,17.4,8.11,11.2,3.23,2.01,-0.57
Total Liabilities and Equity,8.43,8.56,8.51,10.3,-,11.28,10.29,28.57,10.16,12.34,4.82,3.75,1.27
Net Cash / Debt,-0.35,0.55,0.51,5.76,0,6.09,5.45,2.35,2.15,6.62,0.88,2.82,0.16
Net Cash / Debt Growth,-,-91.04%,-90.70%,145.32%,-,-7.95%,515.57%,-16.79%,1284.71%,-,-,-,-
Net Cash Per Share,-0.04,0.06,-,0.60,-,-,-,-,-,-,-,-,-
Working Capital,4.3,3.04,3.19,6.79,-,8.52,6.94,-2.55,5.35,9.45,2.76,1.97,-0.61
Book Value Per Share,0.53,0.45,0.50,0.78,-,1.01,0.83,2.19,1.09,1.58,0.46,0.29,-0.08
