Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.28,0.54,0.7,0.11,0.13,-
Short-Term Investments,66.72,66.15,65.85,0,0,-
Cash & Cash Equivalents,67,66.69,66.55,0.11,0.13,0
Cash Growth,53367.85%,-,-,-,-,-
Receivables,0,0,0,0,0,-
Other Current Assets,0.13,0.17,0.19,0.31,0.25,-
Total Current Assets,67.12,66.86,66.74,0.42,0.37,-
Total Assets,67.12,66.86,66.74,0.42,0.37,-
Accounts Payable,0.09,0.06,0.1,0,0,-
Current Debt,0,0,0,0.35,0.35,-
Other Current Liabilities,2.45,2.38,2.28,0.06,0,-
Total Current Liabilities,2.54,2.43,2.38,0.41,0.35,-
Total Liabilities,2.54,2.43,2.38,0.41,0.35,-
Total Debt,0,0,0,0.35,0.35,-
Common Stock,0,0,0,0.03,0.03,-
Retained Earnings,-2.14,-1.72,-1.49,-0.01,-0,-
Shareholders' Equity,-2.14,-1.72,-1.49,0.01,0.02,-
Total Liabilities and Equity,0.4,0.71,0.89,0.42,0.37,-
Net Cash / Debt,67,66.69,66.55,-0.24,-0.22,0
Net Cash Per Share,11.27,7.88,13.24,-0.16,-0.20,-
Working Capital,64.58,64.43,64.36,0.01,0.02,-
Book Value Per Share,-0.36,-0.20,-0.30,0.01,0.02,-
