Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,206.83,205.3,204.69,204.82,205.01,0
Cash & Cash Equivalents,206.83,205.3,204.69,204.82,205.01,0
Cash Growth,0.89%,-,-,-,-,-
Receivables,0.02,0.02,0.02,0.02,0.02,0
Other Current Assets,-206.48,-204.84,-203.88,-203.63,-203.63,-
Total Current Assets,0.37,0.48,0.83,1.2,1.39,-
Other Long-Term Assets,206.83,205.28,204.41,204.27,204.35,-
Total Long-Term Assets,206.83,205.28,204.41,204.27,204.35,-
Total Assets,207.2,205.76,205.24,205.47,205.75,0.15
Current Debt,0,0,0,0,0,0.2
Other Current Liabilities,1.82,0.36,0.1,0.12,0.1,0.08
Total Current Liabilities,1.82,0.36,0.1,0.12,0.1,0.28
Other Long-Term Liabilities,9,9,9,9,9,0
Total Long-Term Liabilities,9,9,9,9,9,0
Total Liabilities,10.82,9.36,9.1,9.12,9.1,0.28
Total Debt,0,0,0,0,0,0.2
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-10.45,-8.81,-8.11,-7.64,-7.35,-0.15
Shareholders' Equity,-10.45,-8.81,-8.11,-7.64,-7.35,-0.12
Total Liabilities and Equity,0.37,0.55,0.99,1.47,1.75,0.15
Net Cash / Debt,206.83,205.3,204.69,204.82,205.01,-0.2
Net Cash / Debt Growth,0.89%,-,-,-,-,-
Net Cash Per Share,7.97,7.91,7.89,7.89,30.97,-0.05
Working Capital,-1.45,0.12,0.72,1.09,1.3,-
Book Value Per Share,-0.40,-0.34,-0.31,-0.29,-1.11,-0.03
