Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-07-23
Cash & Equivalents,0.44,0.12,0.25,0.47,0.63,0.67,0.7,0.71,1.55,1.6,2.56,0
Cash & Cash Equivalents,0.44,0.12,0.25,0.47,0.63,0.67,0.7,0.71,1.55,1.6,2.56,0
Cash Growth,-29.01%,-82.66%,-64.75%,-33.16%,-59.62%,-58.39%,-72.54%,-,-,-,-,-
Other Current Assets,0.02,0.03,0.03,0.04,0.07,0.11,0.15,0.19,0.26,0.33,0.41,0.02
Total Current Assets,0.46,0.14,0.28,0.51,0.7,0.78,0.85,0.9,1.81,1.93,2.97,0.02
Long-Term Investments,48.55,69.78,69.41,324.67,324.24,324.21,324.2,324.2,324.19,324.17,300,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0,0,0.03
Total Long-Term Assets,48.55,69.78,69.41,324.67,324.24,324.21,324.2,324.2,324.19,324.17,300,0.03
Total Assets,49.01,69.92,69.68,325.18,324.94,324.99,325.06,325.1,326,326.11,302.97,0.04
Accounts Payable,0.94,0.76,0.35,0.41,0.49,0.33,0.31,0.23,0.91,0.54,0.53,0
Current Debt,2.97,1.46,1.09,0,0,0,0,0,0,0,0.9,0
Other Current Liabilities,2.09,1.26,0.87,0.21,0.22,0.16,0.13,0.13,0.16,0.13,0.08,0.03
Total Current Liabilities,6,3.48,2.31,0.62,0.7,0.49,0.44,0.36,1.07,0.67,1.5,0.03
Other Long-Term Liabilities,0.66,0.33,12.33,12.33,15.31,20.27,22.91,27.87,24.95,36.97,10.5,0
Total Long-Term Liabilities,0.66,0.33,12.33,12.33,15.31,20.27,22.91,27.87,24.95,36.97,10.5,0
Total Liabilities,6.66,3.81,14.64,12.96,16.01,20.75,23.35,28.23,26.02,37.64,12,0.03
Total Debt,2.97,1.46,1.09,0,0,0,0,0,0,0,0.9,0
Common Stock,0,0,0,0,0,0,0,3.06,0,0,5.06,0.03
Retained Earnings,-6.1,-3.56,-14.27,-12.35,-15.21,-19.85,-22.38,1.94,5,-35.62,-0.06,-0.01
Shareholders' Equity,-6.1,-3.56,-14.26,-12.35,-15.21,-19.85,-22.38,5,5,-35.62,5,0.02
Total Liabilities and Equity,0.56,0.24,0.38,0.61,0.8,0.9,0.97,33.23,31.02,2.02,17,0.04
Net Cash / Debt,-2.53,-1.35,-0.84,0.47,0.63,0.67,0.7,0.71,1.55,1.6,1.66,-0
Net Cash / Debt Growth,-,-,-,-33.16%,-59.62%,-58.39%,-57.68%,-,-,-,-,-
Net Cash Per Share,-0.17,-0.04,-0.02,0.01,0.02,0.02,0.02,0.02,0.04,0.06,0.12,-0.00
Working Capital,-5.54,-3.33,-2.03,-0.12,-0,0.29,0.41,0.54,0.74,1.26,1.47,-0.01
Book Value Per Share,-0.42,-0.11,-0.39,-0.30,-0.38,-0.49,-0.55,0.12,0.12,-1.23,0.35,0.00
