Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-06-30
Cash & Equivalents,91.67,313.06,314.96,332.78,341.24,288.89,353.5,430.27,212.21,112,57.04
Short-Term Investments,103.56,5,5,0,0,56.89,34,2,13.19,66.01,14.24
Cash & Cash Equivalents,195.22,318.06,319.96,332.78,341.24,345.79,387.5,432.27,225.41,178.01,71.28
Cash Growth,-42.79%,-8.02%,-17.43%,-23.01%,51.39%,94.25%,443.63%,-,-,-,-
Receivables,70.53,76.7,72.68,70.54,47.63,47.44,37.77,34.86,38.62,36.57,113.85
Total Current Assets,265.76,394.76,392.64,403.33,388.87,393.22,425.27,467.12,264.03,214.57,185.13
"Property, Plant & Equipment",30.49,43.54,49.39,41.35,27.6,26.95,27.9,4.03,1.77,0.89,1.02
Long-Term Investments,0,0,0,0,0,0,0,2,4,5,0
Goodwill and Intangibles,1.04,1.11,1.51,1.6,2.01,0.36,0.55,0.73,0.39,0.7,1.5
Other Long-Term Assets,27.02,24.53,25.57,21.63,12.66,12.18,8.43,5.53,3.36,4.7,4.01
Total Long-Term Assets,58.55,69.18,76.47,64.58,42.27,39.49,36.88,12.29,9.52,11.29,6.54
Total Assets,324.3,463.94,469.11,467.9,431.14,432.71,462.15,479.41,273.55,225.87,191.66
Accounts Payable,14.6,11.67,36.37,12.3,31.13,9.04,35.98,14.53,12.85,9.81,20.89
Deferred Revenue,0,1.5,0,0,0,0.42,0.02,0.18,0,0,0
Current Debt,8.86,11.89,11.27,13.71,8.37,7.4,0,0,0,0,0
Other Current Liabilities,40.81,142.07,112.24,104.29,24.12,30.66,28.4,61.12,17.36,22.41,12.23
Total Current Liabilities,64.27,167.13,159.88,130.29,63.63,47.52,64.39,75.83,30.21,32.21,33.11
Long-Term Debt,17.59,23.26,28.34,17.31,14.38,14.71,16.54,0,0,0,0
Other Long-Term Liabilities,13.5,13.5,0,0,0,0,0,0,0,0,0
Total Long-Term Liabilities,31.09,36.76,28.34,17.31,14.38,14.71,16.54,0,0,0,0
Total Liabilities,95.35,203.89,188.22,147.6,78.01,62.23,80.93,75.83,30.21,32.21,33.11
Total Debt,26.44,35.15,39.61,31.02,22.76,22.11,16.54,0,0,0,0
Debt Growth,16.21%,58.97%,139.48%,-,-,-,-,-,-,-,-
Common Stock,248.61,248.61,248.7,248.4,247.84,247.18,245.61,245.13,89.44,77.39,100.08
Retained Earnings,-19.62,11.84,33.17,72.71,105.97,120.31,132.75,155.27,150.04,107.41,48.64
Comprehensive Income,-0.04,-0.39,-0.97,-0.81,-0.67,0.47,0.24,0.01,0.09,0,0
Shareholders' Equity,228.95,260.05,280.9,320.3,353.13,367.96,378.6,400.4,239.57,184.79,148.71
Total Liabilities and Equity,324.3,463.94,469.11,467.9,431.14,430.19,459.53,476.24,269.78,217.01,181.83
Net Cash / Debt,168.78,282.91,280.36,301.77,318.49,323.68,370.96,432.27,225.41,178.01,71.28
Net Cash / Debt Growth,-47.01%,-12.60%,-24.42%,-30.19%,41.29%,81.83%,420.43%,-,-,-,-
Working Capital,201.49,227.63,232.77,273.03,325.24,345.7,360.88,391.29,233.82,182.36,152.01
Book Value Per Share,3.80,4.31,4.66,5.31,5.86,6.10,6.28,7.07,4.35,3.46,2.79
