Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-06-30
Cash & Equivalents,145.06,147.32,402.87,376.06,464.77,349.14,478.58,324.96,328.56,196.01,262.16,156.9,190.2,114.88,188.77,230.11,156.79,56.46,-,120.28,-,40.26
Cash & Cash Equivalents,145.06,147.32,402.87,376.06,464.77,349.14,478.58,324.96,328.56,196.01,262.16,156.9,190.2,114.88,188.77,230.11,156.79,56.46,0,120.28,0,40.26
Cash Growth,-68.79%,-57.81%,-15.82%,15.72%,41.46%,78.13%,82.55%,107.11%,72.74%,70.61%,38.88%,-31.81%,21.31%,103.49%,-,91.31%,-,40.23%,-,-,-,-
"Property, Plant & Equipment",42.18,42.65,43.32,38.02,37.77,38.23,38.49,38.92,39.31,39.74,40.27,40.86,41.33,41.54,41.64,41.71,41.84,42.01,-,42.9,-,37.38
Goodwill and Intangibles,10.99,11.09,11.19,11.29,11.4,11.2,9.06,9.14,9.21,9.29,9.37,9.45,9.54,9.63,9.72,9.82,9.91,10.01,-,10.17,-,5.74
Total Assets,"1,864.3","1,834.52","2,069.59","1,964.23","1,974.13","1,843.19","1,967.66","1,796.25","1,788.46","1,574.15","1,629.02","1,526.41","1,499.71","1,391.8","1,449.95","1,468.29","1,385.54","1,286.97",-,"1,284.13",-,"1,134.14"
Total Liabilities,"1,604.43","1,584.79","1,827.88","1,721.6","1,737.05","1,599.18","1,728.51","1,558.43","1,559.79","1,346.74","1,403.62","1,302.45","1,271.18","1,163.82","1,226.17","1,345.03","1,253.78","1,160.57",-,"1,166.07",-,"1,030.13"
Total Debt,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,30,-,0,-,5
Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.67%,-,-,-,500.00%,-,-,-,-
Common Stock,103.12,102.98,102.84,102.72,102.59,102.45,102.29,102.14,101.98,101.84,101.71,101.6,101.48,101.31,100.96,0,10.66,10.66,-,10.66,-,10.66
Retained Earnings,168.53,162.51,156.32,151.09,148.73,148.43,142.17,140.81,144.36,143.02,141.13,139.73,138.97,138.12,134.27,134.36,130.42,125.64,-,116.39,-,103.02
Comprehensive Income,-11.78,-15.76,-17.45,-11.18,-14.23,-6.86,-5.31,-5.13,-17.68,-17.46,-17.44,-17.37,-11.93,-11.45,-11.46,-11.1,-9.31,-9.9,-,-8.99,-,-9.67
Shareholders' Equity,259.87,249.73,241.71,242.63,237.09,244.01,239.15,237.82,228.67,227.41,225.4,223.97,228.53,227.98,223.78,123.26,131.76,126.39,-,118.06,-,104.01
Total Liabilities and Equity,"1,864.3","1,834.52","2,069.59","1,964.23","1,974.13","1,843.19","1,967.66","1,796.25","1,788.46","1,574.15","1,629.02","1,526.41","1,499.71","1,391.8","1,449.95","1,468.29","1,385.54","1,286.97",-,"1,284.13",-,"1,134.14"
Net Cash / Debt,145.06,147.32,402.87,376.06,464.77,349.14,478.58,324.96,328.56,196.01,262.16,156.9,170.2,104.88,188.77,230.11,156.79,26.46,0,120.28,0,35.26
Net Cash / Debt Growth,-68.79%,-57.81%,-15.82%,15.72%,41.46%,78.13%,82.55%,107.11%,93.04%,86.88%,38.88%,-31.81%,8.56%,296.45%,-,91.31%,-,-24.97%,-,-,-,-
Net Cash Per Share,5.76,5.86,16.02,14.93,18.50,13.91,19.07,12.95,13.11,7.82,10.47,6.27,6.80,4.20,7.56,-,-,-,-,-,-,-
Book Value Per Share,10.32,9.93,9.61,9.63,9.44,9.72,9.53,9.48,9.12,9.08,9.00,8.95,9.13,9.12,8.96,4.75,5.07,4.87,-,-,-,-
