Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Cash & Equivalents,21.55,28.04,35.41,13.15,7.84,9.91,7.51,4.67,4.43,8.19,7.55,4.81,8.1,7.46,30.85,20.42,10.41,10.79,16.46,17.02,14.41,11.87,30.85,10.86,10.2,12.49,8.54,14.17,15.84,12.7,13.58,8.6,-,18.49,-,-,11.3
Cash & Cash Equivalents,21.55,28.04,35.41,13.15,7.84,9.91,7.51,4.67,4.43,8.19,7.55,4.81,8.1,7.46,30.85,20.42,10.41,10.79,16.46,17.02,14.41,11.87,30.85,10.86,10.2,12.49,8.54,14.17,15.84,12.7,13.58,8.6,0,18.49,0,0,11.3
Cash Growth,174.96%,182.81%,371.73%,181.66%,76.95%,20.99%,-0.57%,-2.99%,-45.32%,9.77%,-75.53%,-76.43%,-22.20%,-30.84%,87.51%,19.98%,-27.73%,-9.07%,-46.65%,56.64%,41.29%,-5.00%,261.19%,-23.32%,-35.64%,-1.65%,-37.12%,64.76%,-,-31.29%,-,-,-,-,-,-,-
Receivables,44.89,39.46,43.05,45.3,40.97,35.28,35.42,36.85,22.98,21.49,24.69,26.75,19.8,21.73,22.68,27.19,24.62,26.66,25.23,25.39,22.73,25.12,22.82,23.74,24.67,30.41,21.13,24.19,21.23,19.8,18.92,15.43,-,14.48,-,-,12.3
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,2.24,-,0,-,-,2.35
Total Assets,293.17,312.35,286,275.06,284.93,290.4,268.94,269.74,259.69,261.6,259.89,250.01,249.01,247.27,238.49,243.4,238.15,232.75,233,227.33,229.65,239.03,236.31,211.4,207.97,203.7,195.92,200.06,184.02,177.93,172.63,163.68,-,163.74,-,-,96.86
Accounts Payable,21.76,26.1,9.19,14.26,9.5,11.98,7.45,7.74,6.61,8.69,17.61,9.04,15.61,9.97,9.21,12.16,11.77,5.75,13.96,12.05,10.01,11.61,16.38,7.17,5.32,5.38,5.09,12.5,5.14,3.83,3.76,7.08,-,9.59,-,-,3.34
Deferred Revenue,69.81,67.89,67.79,69.1,65.47,65.27,65.04,63.1,58.35,56.22,55.09,52.12,50.53,51.5,52.72,51.61,51.52,52.85,51.7,52.39,53.69,57.67,55.67,54.98,56.34,58.13,55.48,54.23,49.76,47.92,45.68,44.48,-,43.38,-,-,27.91
Total Liabilities,270.88,293.4,269.84,258.08,254.55,249.9,226.83,225.85,222.71,217.18,217.31,206.73,212.47,204.54,193.01,196.89,195.23,190.59,186.46,177.17,178.23,186.21,183.82,145.44,141.39,135.91,121.42,124.06,107.28,100.67,92.46,112.51,-,113.46,-,-,75.61
Total Debt,33.95,33.88,48.3,33.72,38.64,33.56,34.49,37.15,39.08,41,40.92,38.84,36.67,35.82,33.74,34.66,34.58,33.5,29.75,29.06,29.04,29.03,29.01,16.38,17.13,17.75,14.25,14.75,13.25,12.75,9.75,27.46,-,27.56,-,-,13.09
