Metrics,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-06-30,2021-03-31,2020-12-31,2019-12-31
Cash & Equivalents,16.66,9.21,9.07,11.8,16.05,-,2.05,0.16
Short-Term Investments,0.37,28.09,79.84,80.76,33.31,-,4.64,1.04
Cash & Cash Equivalents,17.03,37.3,88.91,92.56,49.36,0,6.69,1.2
Cash Growth,-65.50%,-,1229.12%,7598.71%,-,-,-,-
Receivables,5.64,99.45,84.91,63.36,39.25,-,6.29,6.24
Other Current Assets,0,0,0,0,0,-,-4.12,-4.15
Total Current Assets,22.67,136.75,173.82,155.92,88.6,-,8.86,3.29
"Property, Plant & Equipment",64.29,158.17,119.75,111.95,42.15,-,17.9,15.4
Long-Term Investments,2.72,5.14,14.09,14.22,8.66,-,1.39,1.4
Goodwill and Intangibles,1.74,3.6,8.88,5.6,0.29,-,0.37,0.48
Other Long-Term Assets,0,0,0,0,0,-,4.12,4.15
Total Long-Term Assets,68.75,166.92,142.72,131.78,51.11,-,23.78,21.44
Total Assets,91.42,303.67,316.54,287.7,139.71,-,32.64,24.73
Accounts Payable,8.31,17.63,13.8,15.25,25.21,-,0.94,3.99
Current Debt,9.63,44.73,44.65,23.4,19.37,-,3.47,0
Other Current Liabilities,2.2,2.44,14.23,16.04,3.48,-,0,0
Total Current Liabilities,20.13,64.8,72.68,54.68,48.07,-,4.41,3.99
Long-Term Debt,0.45,73.27,44.95,0.37,5.69,-,3.91,0
Other Long-Term Liabilities,39.3,0.44,0.54,30.84,0,-,0,0
Total Long-Term Liabilities,39.75,73.71,45.49,31.21,5.69,-,3.91,0
Total Liabilities,59.88,138.51,118.17,85.89,53.76,-,8.32,3.99
Total Debt,10.08,117.99,89.59,23.77,25.06,-,7.38,0
Debt Growth,-59.79%,-,1114.00%,-,-,-,-,-
Common Stock,151.03,148.92,143.04,141.95,56.69,-,1.92,25.55
Retained Earnings,-141.39,22.37,60.98,52.84,29.18,-,21.97,-4.99
Comprehensive Income,1.77,-6.13,-5.65,7.02,0.08,-,0.44,0.18
Shareholders' Equity,11.4,165.16,198.37,201.81,85.95,-,24.33,20.74
Total Liabilities and Equity,71.28,303.67,316.54,287.7,139.71,-,32.64,24.73
Net Cash / Debt,6.95,-80.69,-0.69,68.79,24.29,0,-0.69,1.2
Net Cash / Debt Growth,-71.38%,-,-,5621.84%,-,-,-,-
Working Capital,2.54,71.95,101.14,101.24,40.53,-,4.46,-0.7
Book Value Per Share,0.02,0.35,0.43,0.44,0.23,-,0.08,0.07
