Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-05
Cash & Equivalents,0.14,0.15,0.21,0.07,0.05,0.2,0.28,0.64,1.13,1.33,0.03
Cash & Cash Equivalents,0.14,0.15,0.21,0.07,0.05,0.2,0.28,0.64,1.13,1.33,0.03
Cash Growth,168.60%,-23.56%,-25.27%,-89.24%,-95.49%,-84.95%,1011.22%,-,-,-,-
Other Current Assets,0.16,0.21,0.1,0.2,0.3,0.33,0.42,0.52,0.63,0.67,-
Total Current Assets,0.3,0.36,0.31,0.27,0.35,0.53,0.7,1.17,1.76,2.01,-
Long-Term Investments,20.22,19.83,251.02,250.29,250.05,250.01,250.06,250.04,250.04,250,-
Total Long-Term Assets,20.22,19.83,251.02,250.29,250.05,250.01,250.06,250.04,250.04,250,-
Total Assets,20.52,20.19,251.33,250.55,250.4,250.53,250.76,251.21,251.79,252.01,0.07
Accounts Payable,1.59,1.49,0.81,0.77,1.27,1.06,0,0,0,0,0
Current Debt,3.02,2.32,0.94,0.94,0.81,0.54,-,-,-,-,0.04
Other Current Liabilities,0.05,0.03,0.16,0.03,0,0,-,-,-,-,0
Total Current Liabilities,4.66,3.84,1.91,1.74,2.08,1.6,-,-,-,-,0.04
Long-Term Debt,0,0,0.7,0.5,0,0,-,-,-,-,0
Other Long-Term Liabilities,9.55,9.81,9.55,9.81,12.2,15.65,-,-,-,-,0
Total Long-Term Liabilities,9.55,9.81,10.25,10.31,12.2,15.65,-,-,-,-,0
Total Liabilities,14.21,13.65,12.16,12.05,14.28,17.25,20.37,22.69,23.65,23.5,0.04
Total Debt,3.02,2.32,1.64,1.44,0.81,0.54,0,0,0,0,0.04
Debt Growth,272.74%,327.22%,-,-,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,5.7,6.08,0,0.03
Retained Earnings,-13.86,-13.27,-11.66,-11.54,-13.88,-16.72,-19.61,-0.7,-1.08,-21.49,-0
Shareholders' Equity,-13.85,-13.27,-11.66,-11.54,-13.88,-16.72,-19.61,5,5,-21.48,0.02
Total Liabilities and Equity,0.36,0.39,0.5,0.51,0.4,0.53,0.76,27.69,28.65,2.01,0.07
Net Cash / Debt,-2.88,-2.17,-1.44,-1.37,-0.76,-0.34,0.28,0.64,1.13,1.33,-0.02
Net Cash Per Share,-0.35,-0.09,-0.05,-0.04,-0.02,-0.01,0.01,0.02,0.04,0.16,-0.00
Working Capital,-4.36,-3.48,-1.61,-1.47,-1.73,-1.08,-,-,-,-,-
Book Value Per Share,-1.69,-0.54,-0.37,-0.37,-0.44,-0.54,-0.63,0.16,0.16,-2.57,0.01
