Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31
Cash & Equivalents,34.01,33.59,45.62,29.41,42.4,26.46,28.25,0.23,0.41,1.12,2.51,-,0.02,-,1,0.6,10.6,5.46,5.57,7.38,0.67
Short-Term Investments,28.21,32.4,26.95,43.9,44.87,35.02,20.99,29.36,6.29,0.65,0.15,-,0,-,0,0,0,0,0,0,0
Cash & Cash Equivalents,62.22,65.98,72.56,73.31,87.27,61.48,49.24,29.59,6.7,1.77,2.66,0,0.02,0,1,0.6,10.6,5.46,5.57,7.38,0.67
Cash Growth,-28.70%,7.32%,47.35%,147.75%,1202.69%,3366.33%,1747.98%,-,41800.52%,-,166.70%,-,-99.85%,-,-82.05%,-91.87%,1470.96%,-,-,-,-
Receivables,0,0,0,0,0,0,0,0,0,0,0,-,0,-,1.01,0,0.36,0.26,0.14,0.04,0
Other Current Assets,2.17,2.4,5.87,4.97,3.05,3.14,10.37,4.91,2.02,1.21,0.01,-,0.54,-,-0.52,5.06,1.18,4.34,3.94,0.49,0.09
Total Current Assets,64.4,68.38,78.43,78.27,90.32,64.63,59.61,34.5,8.72,2.98,2.68,-,0.56,-,1.49,5.66,12.14,10.06,9.65,7.91,0.77
"Property, Plant & Equipment",22.61,80.66,90,28.65,32.49,29.98,35.95,28.19,29.85,17.67,4.42,-,0,-,0.67,0,0.07,0.08,0.1,0.09,0.02
Long-Term Investments,1.79,2.37,0.33,0.33,1,1,1,1,0,0,0,-,0,-,0,0,0,0,0,0,0
Other Long-Term Assets,11.63,13.27,10.21,62.3,49.87,14.77,11.5,14.4,1.32,0,6.86,-,3.96,-,4.57,6.82,3.05,2.77,3.28,1.1,0.09
Total Long-Term Assets,36.03,96.29,100.54,91.29,83.36,45.75,48.45,43.59,31.17,17.67,11.28,-,3.96,-,5.24,6.82,3.12,2.86,3.37,1.19,0.11
Total Assets,100.42,164.68,178.97,169.56,173.68,110.38,108.06,78.09,39.89,20.65,13.96,-,4.52,-,6.72,12.48,15.26,12.91,13.02,9.1,0.88
Accounts Payable,3.63,2.11,1.94,3.54,2.61,3.01,2.46,1.4,1.7,0.61,1.01,-,0.12,-,2.35,0,0,0,0,0,0.01
Deferred Revenue,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0.02,0.01,0
Current Debt,0,0,0,0,0,0,0,1.28,0,0,0,-,0,-,0,0,0,0,0,0,0
Other Current Liabilities,3.81,1.35,2.15,1.34,2.44,0.65,0.71,0.41,0.19,0.16,0.21,-,0.31,-,-0,0.4,0.39,0.47,0.53,0.27,0.05
Total Current Liabilities,7.44,3.46,4.1,4.87,5.04,3.66,3.17,3.1,1.89,0.77,1.22,-,0.43,-,2.35,0.4,0.39,0.47,0.55,0.28,0.06
Other Long-Term Liabilities,3.04,2.97,2.91,2.84,3.23,0.7,0.05,0.03,0,0,0,-,0,-,0,0,0,0,0,0,0
Total Long-Term Liabilities,3.04,2.97,2.91,2.84,3.23,0.7,0.05,0.03,0,0,0,-,0,-,0,0,0,0,0,0,0
Total Liabilities,10.49,6.44,7,7.71,8.27,4.36,3.22,3.13,1.89,0.77,1.22,-,0.43,-,2.35,0.4,0.39,0.47,0.55,0.28,0.06
Total Debt,0,0,0,0,0,0,0,1.28,0,0,0,-,0,-,0,0,0,0,0,0,0
Common Stock,221.35,220.76,220.14,191.91,191.52,116.46,86.1,54.88,53.7,38.23,30.49,-,17.72,-,15.97,15.96,15.73,12.4,12.06,8.01,0.94
Retained Earnings,-131.42,-62.52,-48.18,-30.06,-26.12,-10.44,18.75,20.09,-15.7,-18.35,-17.89,-,-13.79,-,-11.59,-4.32,-1.64,-0.89,-0.49,0.05,-0.11
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,-0.1,-,-0.1,-,0,-0.03,0.18,0.33,-0.01,-0.2,-0.01
Shareholders' Equity,89.93,158.24,171.96,161.85,165.4,106.02,104.84,74.97,38,19.88,12.49,-,3.83,-,4.37,11.61,14.27,11.84,11.55,7.86,0.82
Total Liabilities and Equity,100.42,164.68,178.97,169.56,173.68,110.38,108.06,78.09,39.89,20.65,13.71,-,4.26,-,6.72,12.01,14.66,12.31,12.1,8.14,0.88
Net Cash / Debt,62.22,65.98,72.56,73.31,87.27,61.48,49.24,28.31,6.7,1.77,2.66,0,0.02,0,1,0.6,10.6,5.46,5.57,7.38,0.67
Net Cash / Debt Growth,-28.70%,7.32%,47.35%,158.95%,1202.69%,3366.33%,1747.98%,-,41800.52%,-,166.70%,-,-99.85%,-,-82.05%,-91.87%,1470.96%,-,-,-,-
Net Cash Per Share,0.75,0.79,0.91,1.05,1.57,1.12,0.99,0.59,0.22,0.04,0.14,-,0.00,-,-,-,-,-,-,-,-
Working Capital,56.95,64.92,74.33,73.4,85.27,60.97,56.44,31.4,6.83,2.22,1.46,-,0.13,-,-0.87,5.26,11.75,9.59,9.1,7.63,0.7
Book Value Per Share,1.09,1.90,2.16,2.33,2.98,1.94,2.11,1.55,1.24,0.47,0.65,-,0.25,-,0.29,0.81,1.02,1.74,21.89,302.30,-
