Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,0.09,0.04,0.14,0.28,0.49,0.75,0.92,1.05,1.19,0,-,-
Cash & Cash Equivalents,0.09,0.04,0.14,0.28,0.49,0.75,0.92,1.05,1.19,0,0,0
Cash Growth,-81.51%,-94.93%,-84.36%,-73.16%,-58.73%,-,-,-,-,-,-,-
Other Current Assets,0.05,0.06,0.21,0.35,0.42,0.54,0.66,0.8,0.93,0.52,-,-
Total Current Assets,0.14,0.1,0.35,0.63,0.91,1.29,1.58,1.85,2.12,0.52,-,-
Long-Term Investments,484.9,"1,013.38","1,005.09","1,000.49","1,000.62","1,000.28","1,000.17","1,000.06","1,000.04",0,-,-
Total Long-Term Assets,484.9,"1,013.38","1,005.09","1,000.49","1,000.62","1,000.28","1,000.17","1,000.06","1,000.04",0,-,-
Total Assets,485.04,"1,013.48","1,005.44","1,001.12","1,001.53","1,001.57","1,001.75","1,001.91","1,002.16",0.52,-,-
Accounts Payable,0.21,0.06,0,0,0,0,0,0,0,0,-,-
Current Debt,4.41,1.5,1.5,1.5,1,0,0,0,0,0.15,-,-
Other Current Liabilities,11.31,8.11,2.37,2.13,2.56,3.52,0.92,0.3,0.19,0.36,-,-
Total Current Liabilities,15.94,9.68,3.87,3.63,3.56,3.52,0.92,0.3,0.19,0.51,-,-
Other Long-Term Liabilities,66.09,51.48,39.06,43.14,49.56,66.7,65.2,79.79,66.04,0,-,-
Total Long-Term Liabilities,66.09,51.48,39.06,43.14,49.56,66.7,65.2,79.79,66.04,0,-,-
Total Liabilities,82.04,61.15,42.94,46.77,53.12,70.23,66.12,80.09,66.23,0.51,-,-
Total Debt,4.41,1.5,1.5,1.5,1,0,0,0,0,0.15,-,-
Debt Growth,341.43%,-,-,-,-,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,-1.32,-15.37,0.03,-,-
Retained Earnings,-81.8,-60.96,-42.49,-45.66,-51.6,-68.66,-64.38,6.32,20.37,-0.01,-,-
Shareholders' Equity,-81.8,-60.96,-42.49,-45.65,-51.59,-68.66,-64.38,5,5,0.01,-,-
Total Liabilities and Equity,0.24,0.2,0.45,1.12,1.53,1.57,1.75,85.09,71.23,0.52,-,-
Net Cash / Debt,-4.32,-1.46,-1.36,-1.22,-0.51,0.75,0.92,1.05,1.19,-0.15,0,0
Net Cash Per Share,-0.04,-0.01,-0.01,-0.01,-0.00,0.01,0.01,0.01,0.01,-0.01,-,-
Working Capital,-15.81,-9.58,-3.52,-3.01,-2.65,-2.24,0.66,1.56,1.92,0.01,-,-
Book Value Per Share,-0.83,-0.49,-0.34,-0.36,-0.41,-0.55,-0.52,0.04,0.04,-,-,-
