Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Cash & Equivalents,178.22,165.68,189.7,134.86,170.33,162.08,271.95,345.67,215.8,268.11,269.6,332.62,180.24,110.02,100.96,126.01,117.18,86.61,177.6,127.55,148.4,174.49,107.02,-,-,201.35,-,100.56
Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,-,147.22
Cash & Cash Equivalents,178.22,165.68,189.7,134.86,170.33,162.08,271.95,345.67,215.8,268.11,269.6,332.62,180.24,110.02,100.96,126.01,117.18,86.61,177.6,127.55,148.4,174.49,107.02,0,0,362.35,0,247.78
Cash Growth,4.63%,2.22%,-30.24%,-60.99%,-21.07%,-39.55%,0.87%,3.92%,19.73%,143.69%,167.03%,163.96%,53.82%,27.02%,-43.15%,-1.21%,-21.04%,-50.36%,65.95%,-,-,-51.84%,-,-,-,-,-,-
Other Current Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.2,-,54.68
Total Current Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,418.55,-,302.46
"Property, Plant & Equipment",84.46,93.15,102.09,103.35,169.17,170.94,150.3,157.87,169.9,174.78,172.74,176.12,181.06,188.26,188.64,213.98,210.67,76.75,79.79,80.42,83.52,87.09,88.82,-,-,95.9,-,99.71
Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.06,-,83.78
Goodwill and Intangibles,403.87,399.95,544.64,466.12,544.61,539.72,272.5,274.12,273.9,176.52,171.81,169.68,166.77,154.54,152.78,151.11,149.85,149.07,177.17,174.58,177.73,178.38,178.7,-,-,172.46,-,177.73
Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.83,-,2.35
Total Long-Term Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362.24,-,363.56
Total Assets,"2,621.79","2,789.19","2,777.35","2,678.17","2,542.37","2,460.6","1,592.12","1,544.47","1,407.6","1,182.99","1,126.53","1,127.16","1,066.77","1,081.9","1,068.13","1,085.36","1,034.13",919.62,995.73,820.85,785.38,859.73,762.14,-,-,780.8,-,666.02
