Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
Cash & Equivalents,"55,715.59","59,529.84","69,564.81","65,315.58","59,291.51","62,393.14","64,193.3","69,745.71","43,521.76","34,223.31","31,899.61","24,114.81","14,903.44","11,719.5","11,955.8","12,356.12","11,987.1",-,-,-,"7,551.84","3,524.19"
Short-Term Investments,"27,389.28","29,761.77","28,853.18","26,373.9","30,863.25",-,-,-,"19,125.37",-,-,-,-,-,-,-,-,-,-,-,-,-
Cash & Cash Equivalents,"83,104.87","89,291.6","98,417.98","91,689.48","90,154.76","62,393.14","64,193.3","69,745.71","62,647.12","34,223.31","31,899.61","24,114.81","14,903.44","11,719.5","11,955.8","12,356.12","11,987.1",0,0,0,"7,551.84","3,524.19"
Cash Growth,-7.82%,43.11%,53.32%,31.46%,43.91%,82.31%,101.24%,189.22%,320.35%,192.02%,166.81%,95.16%,24.33%,-,-,-,58.73%,-,-,-,-,-
Receivables,"9,574.36","7,021.94","9,600.14","12,010.08","10,396.97","10,878.52","11,623.65","10,412.63","8,057.16","4,227.47","3,838.13","1,792.25","1,777.45",951.97,866.78,"1,033.19",722.06,-,-,-,387.47,813.02
Other Current Assets,385.08,282.2,217.91,166.68,150.73,-,-,-,138.19,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Current Assets,"93,064.3","96,595.74","108,236.03","103,866.24","100,702.46",-,-,-,"70,842.47",-,-,-,-,-,-,-,-,-,-,-,-,-
"Property, Plant & Equipment",196.86,200.03,212.53,226.3,243.86,238.51,259.29,218.72,208.86,133.01,137.29,148.28,161.62,0,0,0,0,-,-,-,0,0
Long-Term Investments,276.46,282.74,249.59,23.48,23.39,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Long-Term Assets,965.21,943.14,"1,060.13","1,074.98",568.81,-,-,-,286.44,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Long-Term Assets,"1,438.53","1,425.91","1,522.25","1,324.76",836.06,-,-,-,495.3,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Assets,"94,502.83","98,021.65","109,758.28","105,191","101,538.51","104,979.05","129,735.36","112,597.78","71,337.77","75,508.09","42,961.56","30,685.42","21,399.92","17,300.74","16,881.25","17,192.49","16,062.93",-,-,-,"10,923.89","4,517.48"
Accounts Payable,"69,219.73","69,354.95","83,790.28","78,455.95","67,264.6","68,818.45","72,351.8","77,235.32","51,135.3","38,676.76","37,389.79","26,277.95","16,983.13","13,061","13,430.6","13,232.48","13,234.18",-,-,-,"8,368.08","4,156.15"
Current Debt,"2,589.95","6,652.83","4,458.04","4,881.73","10,922.13",-,-,-,"11,002.19",-,-,-,-,-,-,-,-,-,-,-,-,-
Other Current Liabilities,"1,716.02","1,699.16","1,817.42","1,341.22","2,191.57",-,-,-,722.68,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Current Liabilities,"73,525.7","77,706.94","90,065.74","84,678.9","80,378.3",-,-,-,"62,860.16",-,-,-,-,-,-,-,-,-,-,-,-,-
Long-Term Debt,101.73,107.74,123.62,150,163.72,-,-,-,155.9,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Long-Term Liabilities,13.62,20.73,16.09,9.58,10.94,-,-,-,14.02,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Long-Term Liabilities,115.35,128.47,139.72,159.58,174.65,-,-,-,169.91,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Liabilities,"73,641.05","77,835.4","90,205.46","84,838.48","80,552.96","83,403.27","108,830.47","103,110.97","63,030.08","69,806.18","40,011.49","27,980","18,851.37","14,806.78","14,417.71","14,782.51","14,962.65",-,-,-,"9,973.31","4,378.53"
Total Debt,"2,691.68","6,760.57","4,581.66","5,031.73","11,085.85","13,107.78","35,239.46","24,330.93","11,158.09","30,649.22","2,255.47","1,463.27","1,641.64","1,316.23",811.5,"1,363.75","1,576.25",-,-,-,"1,542.45",193.21
Debt Growth,-75.72%,-48.42%,-87.00%,-79.32%,-0.65%,-57.23%,1462.40%,1562.78%,579.69%,2228.57%,177.94%,7.30%,4.15%,-,-,-,2.19%,-,-,-,-,-
Common Stock,"13,829.97","14,116.25","14,129.37","15,507.93","16,757.09","17,893.06","17,858.52","6,983.76","6,960.45","4,901.64","2,550.73","2,542.46","2,536.26","2,520.41","2,517.42","2,513.58",0.03,-,-,-,0.03,2.53
Retained Earnings,"7,079.42","6,120.64","5,366","4,724.31","4,152.47","3,653.66","3,038.45","2,504.56","1,342.26",809.8,408.08,171.59,16.74,-27.2,-48.05,-103.38,-148.93,-,-,-,-230.88,-187.33
Comprehensive Income,-47.85,-50.65,57.45,120.28,75.99,29.06,7.93,-1.52,4.97,-9.53,-8.74,-8.63,-4.45,0.76,-5.82,-0.2,-1.3,-,-,-,-2.05,-5.42
Shareholders' Equity,"20,861.54","20,186.24","19,552.82","20,352.53","20,985.56","21,575.78","20,904.9","9,486.81","8,307.69","5,701.92","2,950.07","2,705.43","2,548.55","2,493.96","2,463.54","2,409.99",-150.19,-,-,-,-232.9,-190.22
Total Liabilities and Equity,"94,502.6","98,021.65","109,758.28","105,191","101,538.51","104,979.05","129,735.36","112,597.78","71,337.77","75,508.09","42,961.56","30,685.42","21,399.92","17,300.74","16,881.25","17,192.49","14,812.46",-,-,-,"9,740.41","4,188.31"
Net Cash / Debt,"80,413.19","82,531.03","93,836.32","86,657.75","79,068.92","49,285.37","28,953.83","45,414.78","51,489.04","3,574.09","29,644.14","22,651.54","13,261.8","10,403.27","11,144.3","10,992.37","10,410.85",0,0,0,"6,009.39","3,330.98"
