Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.02,0.24,0.05,0.07,0.05,0.04,0.08,0.26,0
Cash & Cash Equivalents,0.02,0.24,0.05,0.07,0.05,0.04,0.08,0.26,0
Cash Growth,-59.27%,544.12%,-36.10%,-72.35%,9598.20%,-,-,-,-
Other Current Assets,0.11,0.41,0.71,0.83,0.11,0.37,0.63,0.79,0
Total Current Assets,0.13,0.66,0.76,0.9,0.15,0.4,0.71,1.04,0
Long-Term Investments,80.95,402.11,400.62,400.06,400.02,400.02,400.01,400,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.32
Total Long-Term Assets,80.95,402.11,400.62,400.06,400.02,400.02,400.01,400,0.32
Total Assets,81.07,402.77,401.38,400.96,400.18,400.42,400.72,401.05,0.32
Accounts Payable,0.28,0.17,0,0.09,0.05,0.27,0.46,0.02,0
Current Debt,2.33,2.82,2.82,2.32,0.92,0.57,0.1,0,0.14
Other Current Liabilities,5.53,3.23,1.7,2.04,2.55,1.91,2.25,0.16,0.16
Total Current Liabilities,8.14,6.21,4.52,4.45,3.52,2.75,2.81,0.17,0.3
Other Long-Term Liabilities,14.8,15,15.6,18,24.6,27.73,32.67,35.67,0
Total Long-Term Liabilities,14.8,15,15.6,18,24.6,27.73,32.67,35.67,0
Total Liabilities,22.94,21.21,20.12,22.45,28.12,30.48,35.48,35.84,0.3
Total Debt,2.33,2.82,2.82,2.32,0.92,0.57,0.1,0,0.14
Debt Growth,153.30%,394.74%,2720.00%,-,565.98%,-,-,-,-
Common Stock,0,0,0,0,0,0,0,0,0.03
Retained Earnings,-21.6,-19.95,-18.86,-21.49,-27.94,-30.06,5,5,-0
Shareholders' Equity,-21.6,-19.95,-18.85,-21.49,-27.94,-30.06,5,5,0.02
Total Liabilities and Equity,1.33,1.26,1.27,0.96,0.18,0.42,40.48,40.84,0.32
Net Cash / Debt,-2.31,-2.58,-2.77,-2.25,-0.87,-0.53,-0.02,0.26,-0.14
Net Cash Per Share,-0.05,-0.05,-0.06,-0.04,-0.02,-0.01,-0.00,0.01,-0.02
Working Capital,-8.01,-5.56,-3.76,-3.55,-3.37,-2.35,-2.1,0.87,-0.3
Book Value Per Share,-0.44,-0.40,-0.38,-0.43,-0.56,-0.60,0.10,0.14,0.00
