Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Cash & Equivalents,158.13,106.47,124.17,71.02,222.09,499.61,408.88,447.22,423.47,351.79,193.37,190.99,146.93,90.71,58.65,92.44,108.3,71.51,54.05,98.98,86.61,91.43,95.06,83.31,143.76,127.54,-,-,-,111.38
Cash & Cash Equivalents,158.13,106.47,124.17,71.02,222.09,499.61,408.88,447.22,423.47,351.79,193.37,190.99,146.93,90.71,58.65,92.44,108.3,71.51,54.05,98.98,86.61,91.43,95.06,83.31,143.76,127.54,0,0,0,111.38
Cash Growth,-28.80%,-78.69%,-69.63%,-84.12%,-47.55%,42.02%,111.45%,134.15%,188.22%,287.80%,229.71%,106.63%,35.66%,26.85%,8.50%,-6.61%,25.05%,-21.79%,-43.14%,18.81%,-39.75%,-28.32%,-,-,-,14.51%,-,-,-,-
"Property, Plant & Equipment",55.46,54.29,54.21,54.44,54.32,53.47,53.83,54.41,54.9,55.21,55.47,55.25,54.5,53.43,52.96,52.61,52.38,52.23,52.66,53.4,45.1,43.82,43.96,44.49,44.82,44.81,-,-,-,44.33
Goodwill and Intangibles,33.91,34.02,34.13,34.25,34.36,34.47,34.59,34.73,34.95,35.16,35.37,35.59,35.8,36.01,36.23,36.44,36.65,36.87,37.08,37.15,21.32,21.47,21.61,21.76,21.9,22.05,-,-,-,22.45
Total Assets,"3,356.29","3,351.5","3,390.27","3,280.91","3,189.83","3,086.07","2,968.27","2,932.96","2,891.3","2,740.83","2,662.68","2,667.2","2,390.98","2,318.44","2,326.02","2,332.63","2,308.99","2,266.97","2,242.58","2,244.64","1,997.89","1,962.62","1,924.05","1,912.47","1,901.2","1,828.34",-,-,-,"1,682.64"
Total Liabilities,"3,056.02","3,055.94","3,101.61","2,998.08","2,897.95","2,783.86","2,670.86","2,645.23","2,611.2","2,468.19","2,395.83","2,408.32","2,137.34","2,056.89","2,070.12","2,082.51","2,058.68","2,022.39","2,000.58","2,004.98","1,790.51","1,755.28","1,716.79","1,707.92","1,754.83","1,686.42",-,-,-,"1,544.9"
Total Debt,402.52,346.37,283.71,190.42,72.74,86.46,81.51,84.15,107.91,156.54,146.94,140.33,113.27,77.03,83.3,74.25,73.98,140.17,153.06,147.04,91.35,71.84,91.89,53.62,76.07,103.63,-,-,-,73.62
Debt Growth,453.40%,300.61%,248.09%,126.30%,-32.60%,-44.77%,-44.53%,-40.04%,-4.73%,103.23%,76.40%,89.00%,53.10%,-45.05%,-45.58%,-49.50%,-19.02%,95.11%,66.57%,174.21%,20.10%,-30.67%,-,-,-,40.77%,-,-,-,-
Common Stock,181.31,181.68,180.89,180.91,186.43,188.26,187.14,186.48,186.2,149.57,151.56,152.01,154.52,165.11,164.64,165.26,172.06,173.66,177.51,177.28,147.55,147.44,207.26,204.55,146.37,59.58,-,-,-,59.27
Retained Earnings,143.1,137.57,132.17,123.89,115.73,107.65,100.91,94.07,86.05,113.45,105.72,97.79,98.81,98.24,92.95,87.49,83.42,80.09,75.59,72.29,69.33,66.04,-,-,-,57.16,-,-,-,49.65
Comprehensive Income,-24.71,-24.26,-24.97,-22.54,-10.87,6.31,9.36,7.18,7.84,9.63,9.57,9.08,0.33,-1.79,-1.68,-2.63,-5.17,-9.16,-11.11,-9.92,-9.51,-6.13,0,0,0,-6.49,-,-,-,-6.57
Shareholders' Equity,299.7,294.98,288.08,282.26,291.28,302.21,297.41,287.73,280.1,272.64,266.85,258.88,253.65,261.55,255.91,250.12,250.31,244.58,242,239.66,207.37,207.35,207.26,204.55,146.37,110.25,-,-,-,102.35
Total Liabilities and Equity,"3,355.72","3,350.92","3,389.69","3,280.33","3,189.23","3,086.07","2,968.27","2,932.96","2,891.3","2,740.83","2,662.68","2,667.2","2,390.98","2,318.44","2,326.02","2,332.63","2,308.99","2,266.97","2,242.58","2,244.64","1,997.89","1,962.62","1,924.05","1,912.47","1,901.2","1,796.68",-,-,-,"1,647.26"
Net Cash / Debt,-244.4,-239.91,-159.54,-119.4,149.36,413.14,327.37,363.07,315.56,195.25,46.44,50.66,33.66,13.69,-24.65,18.18,34.32,-68.66,-99.01,-48.06,-4.74,19.59,3.17,29.68,67.69,23.92,0,0,0,37.76
Net Cash / Debt Growth,-,-,-,-,-52.67%,111.60%,604.99%,616.68%,837.46%,1326.63%,-,178.60%,-1.92%,-,-,-,-,-,-,-,-,-18.11%,-,-,-,-36.66%,-,-,-,-
Book Value Per Share,25.09,24.71,24.19,23.52,24.09,25.00,24.66,23.87,23.24,24.84,24.23,23.50,22.38,22.68,22.14,21.37,21.20,20.57,20.23,21.67,18.75,18.75,18.74,18.50,13.24,9.97,-,-,-,-
