Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Cash & Equivalents,82.97,107.28,132.7,129.98,115.46,188.15,128.69,127.52,106.31,87.98,112.22,111,86.04,89.11,83.11,65.8,77.73,95.79,61.25,69.9,63.25,-,-,-,20.13
Cash & Cash Equivalents,82.97,107.28,132.7,129.98,115.46,188.15,128.69,127.52,106.31,87.98,112.22,111,86.04,89.11,83.11,65.8,77.73,95.79,61.25,69.9,63.25,0,0,0,20.13
Cash Growth,-28.14%,-42.98%,3.12%,1.92%,8.61%,113.84%,14.68%,14.89%,23.56%,-1.26%,35.02%,68.70%,10.69%,-6.97%,35.69%,-5.87%,22.89%,-,-,-,214.27%,-,-,-,-
"Property, Plant & Equipment",13.5,12.65,12.53,13.04,13.26,13.47,10.34,10.81,11.33,11.91,12.4,13.03,13.48,13.97,14.3,12.82,4.63,4.76,4.82,4.71,4.48,-,-,-,5.07
Goodwill and Intangibles,12.76,12.89,12.71,12.34,12.72,12.39,12.9,7.49,7.36,7.22,6.97,6.96,7.02,6.96,7,7.05,6.99,7.1,6.99,6.72,6.77,-,-,-,6.78
Total Assets,"2,094.5","2,029.58","1,934.24","1,863.95","1,726.69","1,679.91","1,601.46","1,455.33","1,366.83","1,339.82","1,288.01","1,209.59","1,179.52","1,151.93","1,127.56","1,077.24","1,044.19","1,035.03",979.44,956.84,901,-,-,-,761.25
Total Liabilities,"1,917.58","1,859.48","1,764.75","1,697.95","1,561.47","1,521.29","1,449.5","1,308.34","1,223.46","1,198.27","1,148.88","1,071.49","1,038.94","1,014.34",992.07,944.86,914.4,910.05,858.05,839.58,809.52,-,-,-,679.97
Total Debt,10.21,19.49,9.34,9.84,10.31,10.7,7.57,13.02,13.43,18.86,19.28,9.7,10.13,10.34,10.74,9.57,0,0,25,10,25,-,-,-,10
Debt Growth,-0.91%,82.05%,23.36%,-24.41%,-23.25%,-43.24%,-60.76%,34.17%,32.62%,82.46%,79.58%,1.41%,-,-,-57.05%,-4.34%,-,-,-,-,150.00%,-,-,-,-
Common Stock,89.07,88.21,87.81,87.58,87.36,87.21,87.04,87.31,87.18,87.98,88.14,88.3,93.91,94.24,95.42,95.75,97.46,96.9,96.61,96.2,73.21,-,-,-,72.11
Retained Earnings,105.69,99.49,92.66,85.69,79.06,71.44,64.7,59.37,55.35,52.59,50.06,48.7,46.48,43.09,39.88,36.82,32.88,29.11,25.63,21.84,18.62,-,-,-,9.39
Comprehensive Income,-17.84,-17.6,-10.97,-7.28,-1.2,-0.02,0.22,0.31,0.84,0.98,0.94,1.1,0.19,0.27,0.18,-0.19,-0.55,-1.03,-0.85,-0.78,-0.35,-,-,-,-0.21
Shareholders' Equity,176.92,170.1,169.49,165.99,165.22,158.62,151.96,146.99,143.37,141.55,139.14,138.1,140.58,137.59,135.48,132.38,129.79,124.98,121.39,117.26,91.48,-,-,-,81.28
Total Liabilities and Equity,"2,094.5","2,029.58","1,934.24","1,863.95","1,726.69","1,679.91","1,601.46","1,455.33","1,366.83","1,339.82","1,288.01","1,209.59","1,179.52","1,151.93","1,127.56","1,077.24","1,044.19","1,035.03",979.44,956.84,901,-,-,-,761.25
Net Cash / Debt,72.76,87.8,123.36,120.14,105.15,177.44,121.12,114.51,92.88,69.13,92.94,101.3,75.91,78.77,72.37,56.23,77.73,95.79,36.25,59.9,38.25,0,0,0,10.13
Net Cash / Debt Growth,-30.81%,-50.52%,1.85%,4.92%,13.21%,156.69%,30.33%,13.04%,22.36%,-12.25%,28.41%,80.15%,-2.34%,-17.76%,99.64%,-6.13%,103.21%,-,-,-,277.74%,-,-,-,-
Book Value Per Share,11.64,11.20,11.20,10.96,10.92,10.48,10.10,9.78,9.50,9.32,9.24,9.05,8.95,8.68,8.65,8.44,8.22,7.93,7.80,7.72,6.02,-,-,-,-
