Metrics,2022-12-31,2022-06-30,2021-12-31,2020-12-31
Cash & Equivalents,121.81,6.37,11.69,7.88
Cash & Cash Equivalents,121.81,6.37,11.69,7.88
Receivables,2.09,5.65,5.18,2.77
Other Current Assets,2.15,3.31,2.92,2.66
Total Current Assets,126.05,15.33,19.79,13.31
"Property, Plant & Equipment",3.55,4.5,5.51,3.03
Long-Term Investments,14.5,0,0,0
Other Long-Term Assets,0,0.39,0.39,0
Total Long-Term Assets,18.05,4.89,5.9,3.03
Total Assets,144.11,20.23,25.7,16.34
Accounts Payable,1.07,9.91,11.23,6.74
Deferred Revenue,3.05,2.39,3.25,3.28
Current Debt,1.9,1.86,1.81,2.39
Other Current Liabilities,0,0.38,0.24,0
Total Current Liabilities,6.03,14.53,16.54,12.41
Long-Term Debt,1.75,2.71,3.65,0
Total Long-Term Liabilities,1.75,2.71,3.65,0
Total Liabilities,7.77,17.24,20.19,12.41
Total Debt,3.65,4.57,5.46,2.39
Common Stock,138.68,0.01,0.01,0.01
Retained Earnings,-2.35,2.97,5.5,3.92
Shareholders' Equity,136.33,2.99,5.51,3.93
Total Liabilities and Equity,144.11,20.23,25.7,16.34
Net Cash / Debt,118.16,1.8,6.22,5.49
Working Capital,120.03,0.8,3.26,0.9
Book Value Per Share,7.98,0.20,0.37,0.26
