Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.99,0.29,4.66,0.04,0.04,0.04,0.12,0.24,2,0
Cash & Cash Equivalents,0.99,0.29,4.66,0.04,0.04,0.04,0.12,0.24,2,0
Cash Growth,2619.08%,657.89%,3871.05%,-85.54%,-98.18%,-,-,-,-,-
Receivables,0,0,0,0,0.49,0.5,0.22,0,0,0
Other Current Assets,0.05,0.13,0.22,0.32,0.42,0.53,0.63,0.74,0,0.01
Total Current Assets,1.04,0.42,4.87,0.36,0.94,1.07,0.97,0.99,2,0.01
Long-Term Investments,21.12,282.28,279.82,278.47,278.05,278.02,278.02,278.01,278,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.56
Total Long-Term Assets,21.12,282.28,279.82,278.47,278.05,278.02,278.02,278.01,278,0.56
Total Assets,22.17,282.7,284.7,278.83,278.99,279.09,278.98,278.99,280,0.56
Accounts Payable,5.82,4.71,7.72,7.8,6.25,5.68,2.71,0.41,0,0.53
Current Debt,0.41,2.81,2.81,2.31,1.81,1.41,0.46,0.46,0.21,0.03
Other Current Liabilities,11.25,7.5,7.5,0,0,0,0,0,0.46,0
Total Current Liabilities,17.48,15.02,18.03,10.11,8.06,7.09,3.17,0.88,0.68,0.56
Other Long-Term Liabilities,0.73,0.47,6.36,7.45,19.77,21.85,28.02,29.46,25.26,0
Total Long-Term Liabilities,0.73,0.47,6.36,7.45,19.77,21.85,28.02,29.46,25.26,0
Total Liabilities,18.21,15.5,24.4,17.56,27.83,28.94,31.19,30.33,25.94,0.56
Total Debt,0.41,2.81,2.81,2.31,1.81,1.41,0.46,0.46,0.21,0.03
Debt Growth,-77.24%,99.14%,508.36%,400.20%,753.67%,5391.89%,-,-,-,-
Common Stock,0.08,18.39,20.54,21.73,13.69,13.69,13.69,28.24,28.24,0.03
Retained Earnings,1.7,2.19,-4.72,-3.75,-5.54,-6.55,-8.9,-7.66,-2.25,-0.02
Shareholders' Equity,1.77,20.58,15.82,17.98,8.16,7.15,4.79,20.57,25.98,0.01
Total Liabilities and Equity,19.99,36.08,40.22,35.54,35.99,36.09,35.98,50.91,51.92,0.56
Net Cash / Debt,0.58,-2.53,1.84,-2.28,-1.78,-1.37,-0.35,-0.22,1.79,-0.03
Net Cash Per Share,0.02,-0.07,0.05,-0.07,-0.05,-0.04,-0.01,-0.01,0.13,-0.00
Working Capital,-16.44,-14.61,-13.16,-9.75,-7.12,-6.03,-2.2,0.11,1.33,-0.55
Book Value Per Share,0.07,0.59,0.46,0.52,0.23,0.21,0.14,0.65,1.94,0.00
