Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,17.88,16.41,19.35,14.42,19.58,23.04,19.84,17.09,65.52,48.77,16.7,110.61,27.46,40.6,41.38,202.42,30.94,14.97,-,-,-,16.37
Cash & Cash Equivalents,17.88,16.41,19.35,14.42,19.58,23.04,19.84,17.09,65.52,48.77,16.7,110.61,27.46,40.6,41.38,202.42,30.94,14.97,0,0,0,16.37
Cash Growth,-8.67%,-28.76%,-2.45%,-15.61%,-70.12%,-52.76%,18.80%,-84.55%,138.65%,20.13%,-59.64%,-45.36%,-11.27%,171.17%,-,-,-,-8.54%,-,-,-,-
"Property, Plant & Equipment",13.49,13.67,13.78,14.01,14.15,14.35,14.23,14.44,14.72,14.89,14.76,14.44,14.01,14.09,14.01,13.94,13.98,14.03,-,-,-,13.59
Total Assets,"1,362.17","1,328.62","1,278.61","1,271.64","1,256.11","1,267.64","1,230.71","1,188.48","1,140.91","1,084.19","1,054.89","1,140.21","1,007.62",986.04,956.22,"1,083.02",882.8,849.62,-,-,-,753.62
Total Liabilities,"1,226.03","1,195.64","1,153.63","1,132.69","1,098.77","1,087.16","1,052.07","1,005.91",951.39,891.48,863.22,944.08,814.42,798.25,755.87,992.01,793.68,763.77,-,-,-,671.82
Total Debt,184.19,180.56,187.6,180.52,182.59,180.53,202.56,189.5,170.54,170.49,176.56,180.5,182.61,154.55,141.63,157.67,145.73,136.64,-,-,-,104.5
Debt Growth,0.88%,0.02%,-7.38%,-4.74%,7.07%,5.89%,14.72%,4.99%,-6.61%,10.32%,24.67%,14.48%,25.31%,13.10%,-,-,-,30.76%,-,-,-,-
Common Stock,93.41,94.01,93.69,93.76,100.64,101.54,101.67,104.95,109.47,110.71,112.2,118.67,118.52,118.34,118.14,12.75,12.75,12.75,-,-,-,12.76
Retained Earnings,86.31,88.72,86.5,84.42,82.04,80.16,78.24,75.96,80.01,78.29,76.37,74.45,72.56,70.11,82.65,79.19,78.85,77.48,-,-,-,71.77
Comprehensive Income,-43.58,-49.75,-55.21,-39.24,-25.34,-1.21,-1.27,1.66,0.05,3.71,3.1,3.02,2.11,-0.66,-0.44,-0.93,-2.48,-4.38,-,-,-,-2.73
Shareholders' Equity,136.15,132.98,124.97,138.94,157.34,180.48,178.64,182.57,189.52,192.71,191.67,196.14,193.2,187.79,200.35,91.01,89.12,85.85,-,-,-,81.8
Total Liabilities and Equity,"1,362.17","1,328.62","1,278.61","1,271.64","1,256.11","1,267.64","1,230.71","1,188.48","1,140.91","1,084.19","1,054.89","1,140.21","1,007.62",986.04,956.22,"1,083.02",882.8,849.62,-,-,-,753.62
Net Cash / Debt,-166.31,-164.15,-168.25,-166.1,-163.01,-157.49,-182.72,-172.41,-105.01,-121.72,-159.86,-69.89,-155.16,-113.95,-100.25,44.75,-114.79,-121.67,0,0,0,-88.13
Book Value Per Share,11.64,11.27,10.58,11.62,12.78,14.53,14.32,14.17,14.52,14.49,14.17,14.50,14.28,13.88,14.81,6.99,6.84,6.59,-,-,-,-
