Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Cash & Equivalents,11.03,13.36,15.06,17.54,19.43,24.76,64.24,21.33,21.78,15.6,16.44,13.63,20.96,25.05,45.56,73.47,45.12,8.2,44.52,26.01,31.29,20.75,34.32,48.18,30.54,22.06,52.5,66.23,28.16,32.84,63.71,60.82,85.09,111.9,116.68,164.48,199.75,139.32,108.69,102.73,Upgrade
Short-Term Investments,7.76,5.96,5.95,0,0,0,0,0,0,0,0,0,0,0,0,24.98,33.21,37.96,26.42,0.69,3.04,8.21,9.05,4.73,2.38,8.38,13.82,14.46,10.94,31.02,29.76,29.29,24.48,25.26,35.22,27,37.38,38.25,54.14,70.24,Upgrade
Cash & Cash Equivalents,18.79,19.31,21.01,17.54,19.43,24.76,64.24,21.33,21.78,15.6,16.44,13.63,20.96,25.05,45.56,98.45,78.33,46.16,70.94,26.69,34.34,28.96,43.37,52.91,32.92,30.44,66.31,80.69,39.1,63.86,93.47,90.12,109.56,137.16,151.9,191.48,237.14,177.57,162.83,172.97,Upgrade
Cash Growth,-3.29%,-22.02%,-67.29%,-17.79%,-10.76%,58.73%,290.80%,56.47%,3.90%,-37.73%,-63.93%,-86.15%,-73.24%,-45.72%,-35.77%,268.81%,128.11%,59.36%,63.58%,-49.55%,4.31%,-4.86%,-34.60%,-34.43%,-15.81%,-52.33%,-29.05%,-10.46%,-64.31%,-53.44%,-38.47%,-52.93%,-53.80%,-22.76%,-6.71%,10.70%,32.53%,-3.20%,-19.87%,-19.13%,Upgrade
Other Current Assets,1.35,2.11,2.8,3.53,3.47,5.51,12.14,23.92,0.59,0.46,0.57,0.54,0.63,1.3,2.76,3.12,3.38,0.58,2.1,3.6,2.86,4.64,3.69,3.32,2.33,2.11,1.91,2.35,5.16,5.81,2.01,2.44,1.72,1.68,1.49,1.48,1.25,1.56,1.28,1.33,Upgrade
Total Current Assets,20.14,21.42,23.81,21.07,22.9,30.28,76.37,45.25,22.36,16.06,17.01,14.18,21.59,26.35,48.33,101.57,81.71,46.74,73.04,30.3,37.19,33.61,47.06,56.23,35.24,32.55,68.22,83.04,44.26,69.67,95.48,92.56,111.28,138.84,153.4,192.95,238.39,179.13,164.11,174.3,Upgrade
"Property, Plant & Equipment",1.22,1.29,1.36,1.43,1.5,1.56,1.62,1.68,1.74,1.79,1.87,1.95,2.03,2.1,2.17,2.25,2.43,0.81,1.29,1.36,1.44,1.51,1.63,1.71,1.79,1.87,1.96,2.06,2.09,2.15,1.44,0.33,0.22,0.12,0.1,0.11,0.13,0.14,0.16,0.16,Upgrade
Long-Term Investments,11.99,14.55,17.87,23.19,21.57,21.97,25.49,37.39,62.59,50.4,55.84,61.41,66.8,77.13,79.65,76.75,85.6,95.59,103.7,110.43,132.28,141.03,145.28,155.05,171.01,197.11,183.27,189.58,188.73,183.99,176.33,190.75,189.93,177.41,176.66,148.24,126.51,162.8,154.65,158.57,Upgrade
Other Long-Term Assets,0.38,0.43,0.34,0.27,0.23,0.22,0.23,0.32,0.29,0.78,1.37,2,1.99,2,0.7,0.71,0.71,2.61,0.32,0.32,0.32,0.32,0.32,0.32,0.12,0.3,0.3,0.99,1.04,1.04,1.9,1.98,2.01,2.08,2.16,2.83,2.91,3.93,2.83,3.08,Upgrade
Total Long-Term Assets,13.59,16.27,19.58,24.89,23.3,23.75,27.35,39.39,64.62,52.97,59.08,65.35,70.82,81.23,82.52,79.7,88.75,99,105.31,112.11,134.03,142.86,147.23,157.08,172.92,199.28,185.52,192.63,191.85,187.18,179.67,193.06,192.16,179.61,178.91,151.19,129.54,166.87,157.64,161.82,Upgrade
Total Assets,33.73,37.69,43.39,45.96,46.2,54.03,103.72,84.64,86.98,69.04,76.09,79.53,92.41,107.58,130.85,181.27,170.45,145.74,178.35,142.4,171.22,176.46,194.29,213.31,208.16,231.83,253.74,275.67,236.11,256.84,275.15,285.62,303.44,318.45,332.31,344.14,367.93,346,321.74,336.12,Upgrade
Accounts Payable,0.07,0.02,0.01,0.06,0,0.04,0.08,0.03,0.02,0.06,0.04,0.04,0.14,0.04,0.12,0.14,0.11,0.17,0.02,0.26,0.24,0.16,0.17,0.15,0.23,0.14,0.11,0.16,0.22,0.29,0.25,0.24,0.23,0.23,0.26,0.27,0.39,0.25,0.37,0.2,Upgrade
Current Debt,0.44,0.43,0.42,0.4,0.38,0.38,0.36,0.35,0.34,0.33,0.34,0.36,0.38,0.4,0.4,47.55,73.01,27.16,22.06,0,40.83,40.49,40.15,42.32,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.47,0.47,0.47,Upgrade
Other Current Liabilities,0.64,1.37,1.45,0.69,0.64,1.32,3.46,2.94,3.62,3.09,2.24,1.67,2.66,1.99,3.2,3.87,3.82,5.62,6.27,5.77,5.24,5.17,5.34,4.57,3.79,5.72,6.4,5.11,5.06,6.13,6.78,4.96,4.74,6.33,6.41,4.68,4.78,7.46,7.09,7.27,Upgrade
Total Current Liabilities,1.15,1.82,1.87,1.14,1.01,1.73,3.9,3.32,3.98,3.47,2.61,2.07,3.19,2.43,3.71,51.56,76.94,32.94,28.34,6.03,46.31,45.81,45.66,47.04,4.02,5.86,6.51,5.26,5.28,6.42,7.03,5.2,4.97,6.56,6.67,4.95,5.62,8.17,7.94,7.94,Upgrade
Long-Term Debt,1.13,1.25,1.36,1.47,1.59,1.68,1.78,1.87,1.96,2.05,2.14,2.22,2.3,2.38,2.48,2.58,2.6,43.01,63.4,81.96,45.74,45.32,44.91,44.51,52.98,52.56,52.15,51.74,51.34,50.96,51.44,51.14,50.85,50.56,50.28,50.01,49.74,49.48,49.22,48.97,Upgrade
Other Long-Term Liabilities,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.64,1.11,0.92,1.11,1.03,1.73,1.92,2.04,2.8,3.11,3.2,3.34,3.54,3.5,3.58,3.58,3.63,3.95,4.01,4.03,3.97,3.93,3.47,3.56,3.51,3.47,3.52,3.54,3.68,3.81,3.86,Upgrade
Total Long-Term Liabilities,1.18,1.3,1.41,1.52,1.64,1.73,1.83,1.92,2.01,2.69,3.25,3.14,3.42,3.41,4.2,4.5,4.64,45.82,66.51,85.15,49.08,48.86,48.42,48.09,56.56,56.19,56.09,55.75,55.37,54.92,55.37,54.61,54.41,54.07,53.75,53.53,53.28,53.16,53.04,52.83,Upgrade
Total Liabilities,2.34,3.12,3.28,2.66,2.65,3.46,5.73,5.24,5.99,6.16,5.86,5.21,6.6,5.84,7.91,56.05,81.57,78.76,94.84,91.18,95.39,94.67,94.07,95.14,60.59,62.05,62.6,61.01,60.66,61.34,62.4,59.81,59.38,60.63,60.42,58.49,58.89,61.34,60.97,60.77,Upgrade
Total Debt,1.58,1.68,1.78,1.87,1.96,2.05,2.14,2.22,2.3,2.38,2.48,2.58,2.68,2.78,2.87,50.13,75.6,70.17,85.45,81.96,86.57,85.81,85.06,86.83,52.98,52.56,52.15,51.74,51.34,50.96,51.44,51.14,50.85,50.56,50.28,50.01,50.18,49.95,49.69,49.44,Upgrade
Debt Growth,-19.76%,-18.27%,-16.88%,-15.75%,-14.68%,-13.74%,-13.69%,-13.94%,-14.20%,-14.36%,-13.75%,-94.85%,-96.45%,-96.04%,-96.64%,-38.83%,-12.66%,-18.22%,0.46%,-5.62%,63.38%,63.25%,63.12%,67.83%,3.19%,3.15%,1.37%,1.17%,0.97%,0.78%,2.30%,2.27%,1.33%,1.23%,1.19%,1.15%,1.93%,1.95%,7.52%,7.39%,Upgrade
Common Stock,758.8,758.5,759.16,759.18,759.92,760.23,799.02,798.76,800.03,799.54,799.54,799.28,799.06,798.99,798.81,798.59,798.35,798.08,798,797.8,797.51,797.39,797.06,796.65,796.96,797.11,796.58,796.01,795.43,800.02,802.75,804.18,803.41,802.57,801.52,801.28,817.32,824.26,824.32,819.48,Upgrade
Retained Earnings,-727.38,-723.9,-719.03,-715.86,-716.34,-709.64,-701,-719.33,-719.01,-736.64,-729.29,-724.94,-713.23,-697.22,-675.85,-673.35,-709.44,-731.11,-714.48,-746.54,-721.65,-715.48,-696.75,-678.1,-649,-626.9,-605.2,-581.12,-619.72,-604.27,-590,-578.37,-559.35,-544.75,-529.63,-515.63,-508.28,-539.6,-563.56,-544.13,Upgrade
Comprehensive Income,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,0,-0.01,-0.03,-0.03,-0.11,-0.1,-0.38,-0.38,-0.43,-0.23,-0.24,-0.26,-0.25,0,0,0,0,0,0,0,0,0.01,0,Upgrade
Shareholders' Equity,31.39,34.58,40.11,43.3,43.55,50.57,97.99,79.4,80.99,62.88,70.23,74.31,85.81,101.74,122.94,125.22,88.88,66.98,83.51,51.22,75.84,81.8,100.21,118.17,147.58,169.78,191.14,214.66,175.45,195.51,212.75,225.81,244.06,257.83,271.89,285.66,309.04,284.66,260.77,275.35,Upgrade
Total Liabilities and Equity,33.73,37.69,43.39,45.96,46.2,54.03,103.72,84.64,86.98,69.04,76.09,79.53,92.41,107.58,130.85,181.27,170.45,145.74,178.35,142.4,171.22,176.46,194.29,213.31,208.16,231.83,253.74,275.67,236.11,256.84,275.15,285.62,303.44,318.45,332.31,344.14,367.93,346,321.74,336.12,Upgrade
Net Cash / Debt,17.22,17.63,19.23,15.66,17.47,22.71,62.1,19.11,19.47,13.22,13.96,11.05,18.28,22.27,42.69,48.32,2.73,-24.02,-14.51,-55.26,-52.23,-56.84,-41.69,-33.92,-20.06,-22.12,14.17,28.95,-12.25,12.9,42.03,38.98,58.71,86.6,101.62,141.47,186.95,127.62,113.14,123.53,Upgrade
Net Cash / Debt Growth,-1.44%,-22.35%,-69.03%,-18.03%,-10.30%,71.78%,344.83%,72.92%,6.56%,-40.64%,-67.30%,-77.13%,570.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.29%,-25.72%,-,-85.10%,-58.64%,-72.45%,-68.60%,-32.14%,-10.18%,14.52%,44.14%,-5.07%,-27.93%,-26.40%,Upgrade
Net Cash Per Share,1.07,1.09,1.18,0.96,1.05,1.35,2.99,0.92,0.93,0.64,0.67,0.53,0.88,1.08,2.07,2.34,0.13,-1.17,-0.71,-2.69,-2.55,-2.78,-2.04,-1.66,-0.98,-1.09,0.69,1.23,-0.60,0.62,2.01,1.87,2.81,4.41,4.91,6.81,7.44,5.88,5.26,5.85,Upgrade
Working Capital,18.99,19.61,21.94,19.93,21.89,28.54,72.47,41.93,18.39,12.59,14.4,12.1,18.41,23.92,44.62,50.01,4.77,13.8,44.7,24.27,-9.12,-12.2,1.4,9.19,31.22,26.69,61.71,77.78,38.98,63.25,88.45,87.36,106.31,132.29,146.73,188,232.77,170.96,156.17,166.37,Upgrade
Book Value Per Share,1.95,2.14,2.46,2.65,2.63,3.02,4.71,3.81,3.88,3.02,3.38,3.59,4.15,4.92,5.95,6.07,4.32,3.26,4.06,2.49,3.70,4.00,4.90,5.79,7.24,8.40,9.38,10.56,8.58,9.39,10.17,10.81,11.70,12.41,13.15,13.75,14.25,13.11,12.13,13.03,Upgrade
