Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,6.11,31.2,0.04,0.15,0.28,0.5,0.63,0.63,0.71,0.86,0.86,0,0.03
Short-Term Investments,0,0,41.55,41.5,47.39,-,-,-,46,-,-,-,-
Cash & Cash Equivalents,6.11,31.2,41.59,41.65,47.67,0.5,0.63,0.63,46.72,0.86,0.86,0,0.03
Cash Growth,-87.18%,6086.45%,6533.69%,6543.44%,2.04%,-41.39%,-27.16%,49579.32%,168555.44%,-,-,-,-
Receivables,0,0,0,0,0,0,0.46,0,0,0,0,0,0
Other Current Assets,0,0.05,0.1,0.16,0,-,-,-,0.01,-,-,-,-
Total Current Assets,6.11,31.25,41.69,41.81,47.67,-,-,-,46.73,-,-,-,-
Total Assets,6.11,31.25,41.69,41.81,47.67,47.45,47.11,46.66,46.73,46.86,46.86,0.25,0.21
Accounts Payable,1.29,1.21,0.78,0.8,0.31,0.14,0.05,0.03,0.03,0.06,0,0,0
Current Debt,2.68,2.61,2.26,2.26,1.62,1.16,0.7,0.24,0.24,0.24,0.24,0.23,0.18
Other Current Liabilities,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.07,0.01,0.02
Total Current Liabilities,3.97,3.82,3.04,3.06,1.93,1.31,0.82,0.33,0.33,0.36,0.31,0.24,0.21
Other Long-Term Liabilities,0.01,0.23,0.12,0.18,0.18,0.16,0.18,0.19,0.25,41.5,41.55,0,0
Total Long-Term Liabilities,0.01,0.23,0.12,0.18,0.18,0.16,0.18,0.19,0.25,41.5,41.55,0,0
Total Liabilities,3.98,4.05,3.16,3.24,2.12,1.46,1,0.53,0.58,41.86,41.86,0.24,0.21
Total Debt,2.68,2.61,2.26,2.26,1.62,1.16,0.7,0.24,0.24,0.24,0.24,0.23,0.18
Debt Growth,64.95%,124.27%,221.02%,826.63%,566.37%,377.72%,188.65%,4.28%,34.10%,-,-,-,-
Common Stock,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,5.07,5.02,0.03,0.03
Retained Earnings,-7.8,-7.84,-6.9,-4.8,-5.71,-3.89,-3.77,-3.75,-3.73,-0.07,-0.02,-0.02,-0.02
Shareholders' Equity,-3.92,-3.96,-3.02,-0.92,-1.83,-0.01,0.11,0.13,0.15,5,5,0,0
Total Liabilities and Equity,0.06,0.09,0.14,2.32,0.28,1.45,1.11,0.66,0.73,46.86,46.86,0.25,0.21
Net Cash / Debt,3.43,28.59,39.33,39.39,46.05,-0.66,-0.08,0.38,46.47,0.62,0.62,-0.23,-0.15
Net Cash / Debt Growth,-92.55%,-,-,10181.84%,-0.92%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.74,6.30,7.18,6.52,7.53,-0.11,-0.01,0.06,12.57,0.10,0.45,-0.20,-0.27
Working Capital,2.15,27.43,38.65,38.74,45.74,-,-,-,46.4,-,-,-,-
Book Value Per Share,-0.85,-0.87,-0.55,-0.15,-0.30,-0.00,0.02,0.02,0.04,0.82,3.66,0.00,0.01
